sin+,sin-,v_high,v_low,voltage
0,1,0,1,-2.047599e-04
1,2,1,2,-3.471834e-04
2,3,2,3,-4.424119e-04
3,4,3,4,-1.108922e-03
4,5,4,5,-1.416095e-03
5,6,5,6,-1.390717e-03
6,7,6,7,-1.379613e-03
7,8,7,8,-1.383757e-03
8,9,8,9,-1.393848e-03
9,10,9,10,-1.406877e-03
10,11,10,11,-1.422542e-03
11,12,11,12,-1.718928e-03
12,13,12,13,-8.259118e-04
13,14,13,14,-6.103856e-04
14,15,14,15,-5.588059e-04
15,16,15,16,-5.404134e-04
16,17,16,17,-5.318518e-04
17,18,17,18,-5.254651e-04
18,19,18,19,-5.241160e-04
19,20,19,20,-6.455280e-04
20,21,20,21,-5.838401e-04
21,22,21,22,-5.614727e-04
22,23,22,23,-5.488971e-04
23,24,23,24,-5.407594e-04
24,25,24,25,-5.339860e-04
25,26,25,26,-5.260010e-04
26,27,26,27,-5.170453e-04
27,28,27,28,-6.381118e-04
28,29,28,29,-5.848239e-04
29,30,29,30,-5.682580e-04
30,31,30,31,-5.741864e-04
31,0,31,0,-6.210875e-04
