sin+,sin-,v_high,v_low,voltage
0,1,18,2,1.457097e-04
0,1,19,3,1.497563e-04
0,1,20,4,1.644445e-04
0,1,21,5,1.736322e-04
0,1,22,6,1.810759e-04
0,1,23,7,1.871059e-04
0,1,24,8,1.905423e-04
0,1,25,9,1.932665e-04
0,1,26,10,1.947941e-04
0,1,27,11,1.958667e-04
0,1,28,12,1.968830e-04
0,1,29,13,1.969270e-04
0,1,30,14,1.976120e-04
0,1,31,15,1.984397e-04
0,1,2,18,2.009125e-04
0,1,3,19,2.011798e-04
0,1,4,20,2.018179e-04
0,1,5,21,2.024373e-04
0,1,6,22,2.035571e-04
0,1,7,23,2.044863e-04
0,1,8,24,2.060937e-04
0,1,9,25,2.081380e-04
0,1,10,26,2.102360e-04
0,1,11,27,2.122244e-04
0,1,12,28,2.142758e-04
0,1,13,29,2.173218e-04
0,1,14,30,2.228489e-04
0,1,15,31,2.349591e-04
1,2,16,0,1.886500e-04
1,2,19,3,2.414251e-04
1,2,20,4,2.739090e-04
1,2,21,5,2.839735e-04
1,2,22,6,2.875231e-04
1,2,23,7,2.877145e-04
1,2,24,8,2.867960e-04
1,2,25,9,2.855389e-04
1,2,26,10,2.844236e-04
1,2,27,11,2.834499e-04
1,2,28,12,2.830673e-04
1,2,29,13,2.828755e-04
1,2,30,14,2.824334e-04
1,2,31,15,2.816651e-04
1,2,0,16,2.806922e-04
1,2,3,19,2.790398e-04
1,2,4,20,2.784691e-04
1,2,5,21,2.777000e-04
1,2,6,22,2.768741e-04
1,2,7,23,2.755463e-04
1,2,8,24,2.735927e-04
1,2,9,25,2.712640e-04
1,2,10,26,2.689381e-04
1,2,11,27,2.665726e-04
1,2,12,28,2.633812e-04
1,2,13,29,2.596666e-04
1,2,14,30,2.515962e-04
1,2,15,31,2.338299e-04
2,3,16,0,1.638577e-04
2,3,17,1,4.166559e-04
2,3,20,4,3.686821e-04
2,3,21,5,3.773996e-04
2,3,22,6,3.704398e-04
2,3,23,7,3.598674e-04
2,3,24,8,3.513490e-04
2,3,25,9,3.449370e-04
2,3,26,10,3.407630e-04
2,3,27,11,3.383247e-04
2,3,28,12,3.359484e-04
2,3,29,13,3.353696e-04
2,3,30,14,3.338669e-04
2,3,31,15,3.318114e-04
2,3,0,16,3.295755e-04
2,3,1,17,3.268206e-04
2,3,4,20,3.221492e-04
2,3,5,21,3.207071e-04
2,3,6,22,3.184397e-04
2,3,7,23,3.152201e-04
2,3,8,24,3.108508e-04
2,3,9,25,3.058153e-04
2,3,10,26,3.001350e-04
2,3,11,27,2.951318e-04
2,3,12,28,2.893744e-04
2,3,13,29,2.821601e-04
2,3,14,30,2.673151e-04
2,3,15,31,2.365472e-04
3,4,16,0,2.023431e-04
3,4,17,1,5.073210e-04
3,4,18,2,8.360323e-04
3,4,21,5,3.901630e-04
3,4,22,6,4.276974e-04
3,4,23,7,4.368766e-04
3,4,24,8,4.347341e-04
3,4,25,9,4.303809e-04
3,4,26,10,4.270244e-04
3,4,27,11,4.244844e-04
3,4,28,12,4.224328e-04
3,4,29,13,4.217319e-04
3,4,30,14,4.198654e-04
3,4,31,15,4.174440e-04
3,4,0,16,4.144812e-04
3,4,1,17,4.115977e-04
3,4,2,18,4.096390e-04
3,4,5,21,4.042614e-04
3,4,6,22,4.014342e-04
3,4,7,23,3.973093e-04
3,4,8,24,3.919270e-04
3,4,9,25,3.854489e-04
3,4,10,26,3.783409e-04
3,4,11,27,3.719206e-04
3,4,12,28,3.643918e-04
3,4,13,29,3.553213e-04
3,4,14,30,3.366161e-04
3,4,15,31,2.969095e-04
4,5,16,0,1.514129e-04
4,5,17,1,3.494762e-04
4,5,18,2,5.235377e-04
4,5,19,3,7.033900e-04
4,5,22,6,3.449518e-04
4,5,23,7,3.503205e-04
4,5,24,8,3.500697e-04
4,5,25,9,3.467656e-04
4,5,26,10,3.434947e-04
4,5,27,11,3.415350e-04
4,5,28,12,3.393001e-04
4,5,29,13,3.387202e-04
4,5,30,14,3.372450e-04
4,5,31,15,3.349015e-04
4,5,0,16,3.325029e-04
4,5,1,17,3.298683e-04
4,5,2,18,3.275273e-04
4,5,3,19,3.261658e-04
4,5,6,22,3.204670e-04
4,5,7,23,3.167174e-04
4,5,8,24,3.118807e-04
4,5,9,25,3.059882e-04
4,5,10,26,2.997999e-04
4,5,11,27,2.943091e-04
4,5,12,28,2.875342e-04
4,5,13,29,2.796022e-04
4,5,14,30,2.633467e-04
4,5,15,31,2.293503e-04
5,6,16,0,1.534093e-04
5,6,17,1,3.364495e-04
5,6,18,2,4.716165e-04
5,6,19,3,5.719425e-04
5,6,20,4,1.028596e-03
5,6,23,7,3.653610e-04
5,6,24,8,3.746640e-04
5,6,25,9,3.803167e-04
5,6,26,10,3.802343e-04
5,6,27,11,3.790456e-04
5,6,28,12,3.777165e-04
5,6,29,13,3.772272e-04
5,6,30,14,3.755520e-04
5,6,31,15,3.729824e-04
5,6,0,16,3.699145e-04
5,6,1,17,3.671387e-04
5,6,2,18,3.643768e-04
5,6,3,19,3.625915e-04
5,6,4,20,3.606039e-04
5,6,7,23,3.507878e-04
5,6,8,24,3.448055e-04
5,6,9,25,3.376473e-04
5,6,10,26,3.299835e-04
5,6,11,27,3.229879e-04
5,6,12,28,3.149167e-04
5,6,13,29,3.053730e-04
5,6,14,30,2.856792e-04
5,6,15,31,2.453645e-04
6,7,16,0,1.513312e-04
6,7,17,1,3.128857e-04
6,7,18,2,4.166497e-04
6,7,19,3,4.752673e-04
6,7,20,4,7.059186e-04
6,7,21,5,9.966498e-04
6,7,24,8,3.822143e-04
6,7,25,9,4.004581e-04
6,7,26,10,4.097550e-04
6,7,27,11,4.121130e-04
6,7,28,12,4.130427e-04
6,7,29,13,4.129652e-04
6,7,30,14,4.111638e-04
6,7,31,15,4.080835e-04
6,7,0,16,4.038083e-04
6,7,1,17,4.001753e-04
6,7,2,18,3.967380e-04
6,7,3,19,3.942383e-04
6,7,4,20,3.914770e-04
6,7,5,21,3.889637e-04
6,7,8,24,3.713615e-04
6,7,9,25,3.622076e-04
6,7,10,26,3.525529e-04
6,7,11,27,3.440061e-04
6,7,12,28,3.337933e-04
6,7,13,29,3.219606e-04
6,7,14,30,2.989107e-04
6,7,15,31,2.526909e-04
7,8,16,0,1.472824e-04
7,8,17,1,2.902475e-04
7,8,18,2,3.732888e-04
7,8,19,3,4.116196e-04
7,8,20,4,5.439247e-04
7,8,21,5,6.972051e-04
7,8,22,6,1.003850e-03
7,8,25,9,4.017767e-04
7,8,26,10,4.268824e-04
7,8,27,11,4.393823e-04
7,8,28,12,4.467345e-04
7,8,29,13,4.478729e-04
7,8,30,14,4.461400e-04
7,8,31,15,4.420700e-04
7,8,0,16,4.368437e-04
7,8,1,17,4.314602e-04
7,8,2,18,4.266575e-04
