sin+,sin-,v_high,v_low,voltage
0,1,0,1,6.348997e-04
1,2,1,2,6.532398e-04
2,3,2,3,7.607788e-04
3,4,3,4,1.999750e-03
4,5,4,5,1.830656e-03
5,6,5,6,1.799362e-03
6,7,6,7,1.790348e-03
7,8,7,8,1.788782e-03
8,9,8,9,1.790095e-03
9,10,9,10,1.797572e-03
10,11,10,11,1.827192e-03
11,12,11,12,2.003096e-03
12,13,12,13,7.603296e-04
13,14,13,14,6.532164e-04
14,15,14,15,6.339424e-04
15,16,15,16,6.298635e-04
16,17,16,17,6.314473e-04
17,18,17,18,6.323070e-04
18,19,18,19,6.409507e-04
19,20,19,20,7.733101e-04
20,21,20,21,6.423356e-04
21,22,21,22,6.320305e-04
22,23,22,23,6.282098e-04
23,24,23,24,6.293646e-04
24,25,24,25,6.303176e-04
25,26,25,26,6.305687e-04
26,27,26,27,6.411746e-04
27,28,27,28,7.751164e-04
28,29,28,29,6.456452e-04
29,30,29,30,6.345002e-04
30,31,30,31,6.291636e-04
31,0,31,0,6.305787e-04
