sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.239043e-04
0,16,3,2,-3.995907e-05
0,16,4,3,-1.051931e-04
0,16,5,4,-8.492516e-05
0,16,6,5,-1.067036e-04
0,16,7,6,-1.119243e-04
0,16,8,7,-1.112123e-04
0,16,9,8,-1.040205e-04
0,16,10,9,-9.031016e-05
0,16,11,10,-6.889189e-05
0,16,12,11,-7.589749e-05
0,16,13,12,-2.737163e-05
0,16,14,13,-7.922842e-05
0,16,15,14,-1.555202e-04
0,16,18,17,1.548135e-04
0,16,19,18,8.266825e-05
0,16,20,19,7.267526e-05
0,16,21,20,6.316609e-05
0,16,22,21,7.965535e-05
0,16,23,22,8.650505e-05
0,16,24,23,8.629962e-05
0,16,25,24,8.123629e-05
0,16,26,25,7.119207e-05
0,16,27,26,5.255645e-05
0,16,28,27,5.732642e-05
0,16,29,28,6.158704e-05
0,16,30,29,1.069397e-04
0,16,31,30,1.797214e-04
1,17,3,2,-6.805376e-05
1,17,4,3,-1.632342e-04
1,17,5,4,-1.227901e-04
1,17,6,5,-1.322430e-04
1,17,7,6,-1.283564e-04
1,17,8,7,-1.167528e-04
1,17,9,8,-1.014640e-04
1,17,10,9,-8.303723e-05
1,17,11,10,-5.969925e-05
1,17,12,11,-6.286478e-05
1,17,13,12,-2.162061e-05
1,17,14,13,-5.908146e-05
1,17,15,14,-1.073519e-04
1,17,16,15,-1.813439e-04
1,17,19,18,1.307055e-04
1,17,20,19,1.077045e-04
1,17,21,20,8.527480e-05
1,17,22,21,9.780642e-05
1,17,23,22,9.889612e-05
1,17,24,23,9.210122e-05
1,17,25,24,8.381595e-05
1,17,26,25,6.701389e-05
1,17,27,26,4.774329e-05
1,17,28,27,4.997198e-05
1,17,29,28,5.290589e-05
1,17,30,29,8.561166e-05
1,17,31,30,1.318367e-04
1,17,0,31,2.090120e-04
2,18,1,0,2.477575e-04
2,18,4,3,-3.079679e-04
2,18,5,4,-1.868259e-04
2,18,6,5,-1.749472e-04
2,18,7,6,-1.506207e-04
2,18,8,7,-1.270315e-04
2,18,9,8,-1.034604e-04
2,18,10,9,-7.947242e-05
2,18,11,10,-5.519036e-05
2,18,12,11,-5.623950e-05
2,18,13,12,-1.858067e-05
2,18,14,13,-5.012632e-05
2,18,15,14,-8.513810e-05
2,18,16,15,-1.320173e-04
2,18,17,16,-2.056576e-04
2,18,20,19,1.867309e-04
2,18,21,20,1.258533e-04
2,18,22,21,1.270634e-04
2,18,23,22,1.162916e-04
2,18,24,23,1.026344e-04
2,18,25,24,8.644054e-05
2,18,26,25,6.815884e-05
2,18,27,26,4.695151e-05
2,18,28,27,4.851316e-05
2,18,29,28,5.014659e-05
2,18,30,29,7.949659e-05
2,18,31,30,1.140996e-04
2,18,0,31,1.644387e-04
3,19,1,0,2.203869e-04
3,19,2,1,3.419545e-04
3,19,5,4,-2.986985e-04
3,19,6,5,-2.281518e-04
3,19,7,6,-1.744428e-04
3,19,8,7,-1.358429e-04
3,19,9,8,-1.051977e-04
3,19,10,9,-7.791474e-05
3,19,11,10,-5.267691e-05
3,19,12,11,-5.264509e-05
3,19,13,12,-1.752931e-05
3,19,14,13,-4.480215e-05
3,19,15,14,-7.432017e-05
3,19,16,15,-1.095607e-04
3,19,17,16,-1.570310e-04
3,19,18,17,-2.340217e-04
3,19,21,20,1.966649e-04
3,19,22,21,1.683617e-04
3,19,23,22,1.398930e-04
3,19,24,23,1.152465e-04
3,19,25,24,9.387114e-05
3,19,26,25,7.062817e-05
3,19,27,26,4.851151e-05
3,19,28,27,4.886869e-05
3,19,29,28,5.021318e-05
3,19,30,29,7.825004e-05
3,19,31,30,1.108923e-04
3,19,0,31,1.538772e-04
4,20,1,0,1.590304e-04
4,20,2,1,1.978198e-04
4,20,3,2,2.311271e-04
4,20,6,5,-5.275796e-04
4,20,7,6,-3.027895e-04
4,20,8,7,-1.922104e-04
4,20,9,8,-1.295553e-04
4,20,10,9,-8.844727e-05
4,20,11,10,-5.600678e-05
