sin+,sin-,v_high,v_low,voltage
0,1,3,2,2.894080e-05
0,1,4,3,6.396411e-05
0,1,5,4,4.013773e-05
0,1,6,5,3.173787e-05
0,1,7,6,2.387256e-05
0,1,8,7,1.603609e-05
0,1,9,8,1.072843e-05
0,1,10,9,6.569843e-06
0,1,11,10,3.586628e-06
0,1,12,11,4.044926e-06
0,1,13,12,1.461854e-06
0,1,14,13,2.364793e-06
0,1,15,14,3.301098e-06
0,1,16,15,3.344765e-06
0,1,17,16,3.779503e-06
0,1,18,17,3.231539e-06
0,1,19,18,2.069399e-06
0,1,20,19,2.049756e-06
0,1,21,20,2.431229e-06
0,1,22,21,4.006407e-06
0,1,23,22,5.199062e-06
0,1,24,23,6.165159e-06
0,1,25,24,7.676448e-06
0,1,26,25,9.278998e-06
0,1,27,26,8.006438e-06
0,1,28,27,9.400482e-06
0,1,29,28,1.194180e-05
0,1,30,29,2.479532e-05
0,1,31,30,5.196323e-05
1,2,4,3,1.466132e-04
1,2,5,4,6.757016e-05
1,2,6,5,4.559936e-05
1,2,7,6,2.943668e-05
1,2,8,7,1.730450e-05
1,2,9,8,1.005913e-05
1,2,10,9,5.946129e-06
1,2,11,10,2.742630e-06
1,2,12,11,3.216883e-06
1,2,13,12,9.933144e-07
1,2,14,13,2.005778e-06
1,2,15,14,2.470102e-06
1,2,16,15,2.692348e-06
1,2,17,16,2.246225e-06
1,2,18,17,2.062336e-06
1,2,19,18,1.073593e-06
1,2,20,19,1.259285e-06
1,2,21,20,1.556022e-06
1,2,22,21,2.182751e-06
1,2,23,22,2.971778e-06
1,2,24,23,3.646288e-06
1,2,25,24,4.541290e-06
1,2,26,25,5.405749e-06
1,2,27,26,4.229743e-06
1,2,28,27,3.771607e-06
1,2,29,28,5.938355e-06
1,2,30,29,1.120634e-05
1,2,31,30,2.221784e-05
1,2,0,31,4.807166e-05
2,3,1,0,2.990451e-05
2,3,5,4,1.142773e-04
2,3,6,5,5.611922e-05
2,3,7,6,2.653708e-05
2,3,8,7,1.305877e-05
2,3,9,8,6.611498e-06
2,3,10,9,3.506845e-06
2,3,11,10,1.704883e-06
2,3,12,11,1.827579e-06
2,3,13,12,5.224067e-07
2,3,14,13,9.137360e-07
2,3,15,14,1.086326e-06
2,3,16,15,1.027659e-06
2,3,17,16,2.061583e-06
2,3,18,17,6.767967e-07
2,3,19,18,-2.292455e-07
2,3,20,19,7.228249e-07
2,3,21,20,7.384501e-07
2,3,22,21,4.411966e-07
2,3,23,22,1.872315e-06
2,3,24,23,1.774039e-06
2,3,25,24,1.788541e-06
2,3,26,25,2.352916e-06
2,3,27,26,1.689164e-06
2,3,28,27,5.807789e-07
2,3,29,28,1.988021e-06
2,3,30,29,3.577473e-06
2,3,31,30,6.785816e-06
2,3,0,31,1.357502e-05
3,4,1,0,6.401912e-05
3,4,2,1,1.467169e-04
3,4,6,5,2.998010e-04
3,4,7,6,1.309060e-04
3,4,8,7,6.001156e-05
3,4,9,8,2.908409e-05
3,4,10,9,1.455055e-05
3,4,11,10,7.250555e-06
3,4,12,11,6.570319e-06
3,4,13,12,1.902151e-06
3,4,14,13,3.175294e-06
3,4,15,14,3.681886e-06
3,4,16,15,2.886028e-06
3,4,17,16,4.431878e-06
3,4,18,17,2.716957e-06
3,4,19,18,4.693491e-06
3,4,20,19,2.116185e-06
3,4,21,20,2.017889e-06
3,4,22,21,2.769650e-06
3,4,23,22,4.086784e-06
3,4,24,23,4.586608e-06
3,4,25,24,3.985269e-06
3,4,26,25,5.472059e-06
3,4,27,26,3.964014e-06
3,4,28,27,5.337223e-06
3,4,29,28,5.399780e-06
3,4,30,29,9.922415e-06
3,4,31,30,1.686968e-05
3,4,0,31,3.200126e-05
4,5,1,0,3.916493e-05
4,5,2,1,7.077949e-05
4,5,3,2,1.143201e-04
4,5,7,6,1.804951e-04
4,5,8,7,8.016278e-05
4,5,9,8,3.758285e-05
4,5,10,9,1.830728e-05
4,5,11,10,9.218571e-06
4,5,12,11,7.988945e-06
4,5,13,12,2.025143e-06
4,5,14,13,3.521323e-06
4,5,15,14,3.851756e-06
4,5,16,15,4.508097e-06
4,5,17,16,2.561139e-06
4,5,18,17,2.594473e-06
4,5,19,18,1.523117e-06
4,5,20,19,1.649261e-06
4,5,21,20,1.955372e-06
4,5,22,21,2.624057e-06
4,5,23,22,3.077075e-06
4,5,24,23,4.511297e-06
4,5,25,24,3.925045e-06
4,5,26,25,3.972944e-06
4,5,27,26,3.580589e-06
4,5,28,27,4.122802e-06
4,5,29,28,3.932793e-06
4,5,30,29,9.052904e-06
4,5,31,30,1.277960e-05
4,5,0,31,2.260835e-05
5,6,1,0,3.245141e-05
5,6,2,1,4.692928e-05
5,6,3,2,5.572396e-05
5,6,4,3,3.017988e-04
5,6,8,7,1.872024e-04
5,6,9,8,8.403731e-05
5,6,10,9,3.924208e-05
5,6,11,10,1.795569e-05
5,6,12,11,1.504478e-05
5,6,13,12,4.155777e-06
5,6,14,13,6.249012e-06
5,6,15,14,7.477762e-06
5,6,16,15,6.564610e-06
5,6,17,16,6.329942e-06
5,6,18,17,4.249927e-06
5,6,19,18,3.518552e-06
5,6,20,19,2.609744e-06
5,6,21,20,2.797857e-06
5,6,22,21,3.524950e-06
5,6,23,22,4.951310e-06
5,6,24,23,5.859704e-06
5,6,25,24,5.783889e-06
5,6,26,25,6.213731e-06
5,6,27,26,4.451465e-06
5,6,28,27,5.130259e-06
5,6,29,28,5.072556e-06
5,6,30,29,9.557709e-06
5,6,31,30,1.515027e-05
5,6,0,31,2.251241e-05
6,7,1,0,2.383233e-05
6,7,2,1,2.862305e-05
6,7,3,2,2.706342e-05
6,7,4,3,1.323469e-04
6,7,5,4,1.818098e-04
6,7,9,8,1.897167e-04
6,7,10,9,8.354759e-05
6,7,11,10,3.745505e-05
6,7,12,11,2.962689e-05
6,7,13,12,7.078955e-06
6,7,14,13,1.025175e-05
6,7,15,14,1.059285e-05
6,7,16,15,1.043830e-05
6,7,17,16,6.886102e-06
6,7,18,17,5.924340e-06
6,7,19,18,4.542229e-06
6,7,20,19,3.808618e-06
6,7,21,20,3.606410e-06
6,7,22,21,5.288509e-06
6,7,23,22,7.704607e-06
6,7,24,23,6.977913e-06
6,7,25,24,6.755536e-06
6,7,26,25,6.041155e-06
6,7,27,26,4.625490e-06
6,7,28,27,4.593034e-06
6,7,29,28,4.937996e-06
6,7,30,29,8.098905e-06
6,7,31,30,1.222180e-05
6,7,0,31,1.829376e-05
7,8,1,0,1.608496e-05
7,8,2,1,1.731594e-05
7,8,3,2,1.475527e-05
7,8,4,3,6.017290e-05
7,8,5,4,8.150124e-05
7,8,6,5,1.898154e-04
7,8,10,9,1.880730e-04
7,8,11,10,8.019731e-05
7,8,12,11,6.139305e-05
7,8,13,12,1.357760e-05
7,8,14,13,1.718094e-05
7,8,15,14,1.728860e-05
7,8,16,15,1.347234e-05
7,8,17,16,1.135470e-05
7,8,18,17,7.198973e-06
7,8,19,18,4.532274e-06
7,8,20,19,4.608807e-06
7,8,21,20,4.415984e-06
7,8,22,21,5.724403e-06
7,8,23,22,7.293364e-06
7,8,24,23,8.296512e-06
7,8,25,24,4.173757e-06
7,8,26,25,6.487913e-06
7,8,27,26,4.381847e-06
7,8,28,27,4.933157e-06
7,8,29,28,4.772702e-06
7,8,30,29,7.259462e-06
7,8,31,30,1.000587e-05
7,8,0,31,1.361263e-05
8,9,1,0,1.073126e-05
8,9,2,1,1.092162e-05
8,9,3,2,6.203830e-06
8,9,4,3,3.089950e-05
8,9,5,4,3.807047e-05
8,9,6,5,8.528816e-05
8,9,7,6,1.914064e-04
8,9,11,10,1.807037e-04
8,9,12,11,1.314499e-04
8,9,13,12,2.736638e-05
8,9,14,13,2.791442e-05
8,9,15,14,2.512498e-05
8,9,16,15,1.776197e-05
8,9,17,16,1.281803e-05
8,9,18,17,8.380512e-06
8,9,19,18,6.158022e-06
8,9,20,19,4.875769e-06
8,9,21,20,4.769983e-06
8,9,22,21,6.674626e-06
8,9,23,22,7.786491e-06
8,9,24,23,7.283529e-06
8,9,25,24,5.608448e-06
8,9,26,25,5.580145e-06
8,9,27,26,3.694520e-06
8,9,28,27,3.678927e-06
8,9,29,28,4.088765e-06
8,9,30,29,6.003111e-06
8,9,31,30,7.821869e-06
8,9,0,31,9.228109e-06
9,10,1,0,6.809896e-06
9,10,2,1,5.943721e-06
9,10,3,2,3.382198e-06
9,10,4,3,1.565681e-05
9,10,5,4,1.931816e-05
9,10,6,5,3.968897e-05
9,10,7,6,8.511360e-05
9,10,8,7,1.902223e-04
9,10,12,11,3.009354e-04
9,10,13,12,5.584436e-05
9,10,14,13,4.592922e-05
9,10,15,14,3.240080e-05
9,10,16,15,2.185926e-05
9,10,17,16,1.517672e-05
9,10,18,17,8.876226e-06
9,10,19,18,6.504402e-06
9,10,20,19,5.122856e-06
9,10,21,20,4.320957e-06
9,10,22,21,5.989933e-06
9,10,23,22,5.844048e-06
9,10,24,23,6.277501e-06
9,10,25,24,4.389126e-06
9,10,26,25,5.119026e-06
9,10,27,26,2.436159e-06
9,10,28,27,1.925928e-06
9,10,29,28,2.844260e-06
9,10,30,29,4.304043e-06
9,10,31,30,5.875585e-06
9,10,0,31,6.694759e-06
10,11,1,0,4.342625e-06
10,11,2,1,3.733928e-06
10,11,3,2,1.349107e-06
10,11,4,3,6.852344e-06
10,11,5,4,9.736447e-06
10,11,6,5,1.859570e-05
10,11,7,6,3.862400e-05
10,11,8,7,8.180008e-05
10,11,9,8,1.829043e-04
10,11,13,12,1.128921e-04
10,11,14,13,6.723752e-05
10,11,15,14,3.819239e-05
10,11,16,15,2.206893e-05
10,11,17,16,1.243267e-05
10,11,18,17,7.770691e-06
10,11,19,18,4.346588e-06
10,11,20,19,4.674813e-06
10,11,21,20,3.649009e-06
10,11,22,21,4.565326e-06
10,11,23,22,4.896928e-06
10,11,24,23,3.932399e-06
10,11,25,24,2.136417e-06
10,11,26,25,2.131258e-06
10,11,27,26,1.735481e-06
10,11,28,27,2.153976e-06
10,11,29,28,1.616840e-06
10,11,30,29,2.785730e-06
10,11,31,30,4.234500e-06
10,11,0,31,4.404851e-06
11,12,1,0,3.575396e-06
11,12,2,1,2.657996e-06
11,12,3,2,1.930933e-06
11,12,4,3,6.188567e-06
11,12,5,4,8.926258e-06
11,12,6,5,1.517470e-05
11,12,7,6,2.972152e-05
11,12,8,7,6.174675e-05
11,12,9,8,1.326893e-04
11,12,10,9,3.027931e-04
11,12,14,13,1.453626e-04
11,12,15,14,6.330252e-05
11,12,16,15,3.113682e-05
11,12,17,16,1.539721e-05
11,12,18,17,9.208197e-06
11,12,19,18,4.223877e-06
11,12,20,19,4.217649e-06
11,12,21,20,3.948172e-06
11,12,22,21,4.840193e-06
11,12,23,22,5.927649e-06
11,12,24,23,4.201580e-06
11,12,25,24,4.246188e-06
11,12,26,25,2.237690e-06
11,12,27,26,1.781123e-06
11,12,28,27,2.271206e-06
11,12,29,28,1.631773e-06
11,12,30,29,2.934368e-06
11,12,31,30,3.547573e-06
11,12,0,31,3.732684e-06
12,13,1,0,2.996744e-07
12,13,2,1,1.004539e-06
12,13,3,2,6.390973e-07
12,13,4,3,7.999810e-07
12,13,5,4,1.740824e-06
12,13,6,5,3.660185e-06
12,13,7,6,7.568447e-06
12,13,8,7,1.390324e-05
12,13,9,8,2.727609e-05
12,13,10,9,5.613378e-05
12,13,11,10,1.138705e-04
12,13,15,14,2.897644e-05
12,13,16,15,1.263253e-05
12,13,17,16,6.135653e-06
12,13,18,17,3.601900e-06
12,13,19,18,1.820821e-06
12,13,20,19,1.697775e-06
12,13,21,20,1.442253e-06
12,13,22,21,1.628844e-06
12,13,23,22,2.168041e-06
12,13,24,23,1.097446e-06
12,13,25,24,1.789634e-06
12,13,26,25,-5.773127e-07
12,13,27,26,3.269579e-07
12,13,28,27,7.209535e-07
12,13,29,28,6.328835e-07
12,13,30,29,8.531352e-07
12,13,31,30,1.838305e-06
12,13,0,31,6.492599e-07
13,14,1,0,1.719368e-06
13,14,2,1,9.352260e-07
13,14,3,2,9.615063e-07
13,14,4,3,3.218029e-06
13,14,5,4,4.183179e-06
13,14,6,5,7.531406e-06
13,14,7,6,1.050859e-05
13,14,8,7,1.757180e-05
13,14,9,8,2.879138e-05
13,14,10,9,4.687664e-05
13,14,11,10,6.795912e-05
13,14,12,11,1.465110e-04
13,14,16,15,4.745441e-05
13,14,17,16,2.290133e-05
13,14,18,17,1.060570e-05
13,14,19,18,6.151682e-06
13,14,20,19,5.097557e-06
13,14,21,20,4.150741e-06
13,14,22,21,4.152126e-06
13,14,23,22,3.789760e-06
13,14,24,23,3.896037e-06
13,14,25,24,3.697254e-06
13,14,26,25,1.816492e-06
13,14,27,26,1.109425e-06
13,14,28,27,5.188181e-07
13,14,29,28,1.273899e-06
13,14,30,29,1.493508e-06
13,14,31,30,1.808498e-06
13,14,0,31,2.160676e-06
14,15,1,0,3.793266e-06
14,15,2,1,3.147109e-06
14,15,3,2,6.660698e-07
14,15,4,3,3.050384e-06
14,15,5,4,4.391181e-06
14,15,6,5,6.643410e-06
14,15,7,6,1.077285e-05
14,15,8,7,1.698188e-05
14,15,9,8,2.392496e-05
14,15,10,9,3.206016e-05
14,15,11,10,3.867194e-05
14,15,12,11,6.445228e-05
14,15,13,12,2.954271e-05
14,15,17,16,5.211664e-05
14,15,18,17,2.421892e-05
14,15,19,18,1.146806e-05
14,15,20,19,9.688575e-06
14,15,21,20,7.947897e-06
14,15,22,21,8.705572e-06
14,15,23,22,8.332745e-06
14,15,24,23,6.712517e-06
14,15,25,24,5.327496e-06
14,15,26,25,3.433266e-06
14,15,27,26,2.416547e-06
14,15,28,27,2.485228e-06
14,15,29,28,2.352088e-06
14,15,30,29,3.900286e-06
14,15,31,30,3.103819e-06
14,15,0,31,4.051378e-06
15,16,1,0,3.192727e-06
15,16,2,1,4.541408e-06
15,16,3,2,1.074641e-06
15,16,4,3,4.310226e-06
15,16,5,4,4.475412e-06
15,16,6,5,6.679946e-06
15,16,7,6,9.840975e-06
15,16,8,7,1.375553e-05
15,16,9,8,1.840251e-05
15,16,10,9,2.221309e-05
15,16,11,10,2.227987e-05
15,16,12,11,3.183233e-05
15,16,13,12,1.330976e-05
15,16,14,13,4.720508e-05
15,16,18,17,5.191672e-05
15,16,19,18,2.325095e-05
15,16,20,19,1.884549e-05
15,16,21,20,1.406575e-05
15,16,22,21,1.434914e-05
15,16,23,22,1.104396e-05
15,16,24,23,9.535625e-06
15,16,25,24,7.182472e-06
15,16,26,25,4.775522e-06
15,16,27,26,3.127722e-06
15,16,28,27,3.419415e-06
15,16,29,28,2.915247e-06
15,16,30,29,4.020288e-06
15,16,31,30,4.368174e-06
15,16,0,31,4.532756e-06
16,17,1,0,2.780689e-06
16,17,2,1,2.512010e-06
16,17,3,2,6.919006e-07
16,17,4,3,2.915366e-06
16,17,5,4,3.656216e-06
16,17,6,5,5.172722e-06
16,17,7,6,7.595043e-06
16,17,8,7,1.048994e-05
16,17,9,8,1.301520e-05
16,17,10,9,1.416818e-05
16,17,11,10,1.321096e-05
16,17,12,11,1.720270e-05
16,17,13,12,7.001169e-06
16,17,14,13,2.270077e-05
16,17,15,14,5.206502e-05
16,17,19,18,4.983398e-05
16,17,20,19,3.701016e-05
16,17,21,20,2.443740e-05
16,17,22,21,2.195039e-05
16,17,23,22,1.770397e-05
16,17,24,23,1.218772e-05
16,17,25,24,9.029518e-06
16,17,26,25,5.843066e-06
16,17,27,26,3.420192e-06
16,17,28,27,3.593820e-06
16,17,29,28,3.106560e-06
16,17,30,29,3.817306e-06
16,17,31,30,3.715468e-06
16,17,0,31,4.301132e-06
17,18,1,0,3.070726e-06
17,18,2,1,2.031918e-06
17,18,3,2,1.213689e-06
17,18,4,3,3.375745e-06
17,18,5,4,2.570456e-06
17,18,6,5,4.627577e-06
17,18,7,6,5.564917e-06
17,18,8,7,7.492625e-06
17,18,9,8,8.909027e-06
17,18,10,9,9.679944e-06
17,18,11,10,8.059984e-06
17,18,12,11,9.645382e-06
