sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.238744e-04
0,16,3,2,-3.966521e-05
0,16,4,3,-1.023318e-04
0,16,5,4,-8.934563e-05
0,16,6,5,-1.058414e-04
0,16,7,6,-1.126344e-04
0,16,8,7,-1.110466e-04
0,16,9,8,-1.037634e-04
0,16,10,9,-9.030682e-05
0,16,11,10,-6.880565e-05
0,16,12,11,-7.575900e-05
0,16,13,12,-2.722546e-05
0,16,14,13,-7.884383e-05
0,16,15,14,-1.551679e-04
0,16,18,17,1.543940e-04
0,16,19,18,8.143990e-05
0,16,20,19,7.253895e-05
0,16,21,20,6.331284e-05
0,16,22,21,7.936392e-05
0,16,23,22,8.612446e-05
0,16,24,23,8.681991e-05
0,16,25,24,8.101477e-05
0,16,26,25,6.863451e-05
0,16,27,26,5.213253e-05
0,16,28,27,5.707869e-05
0,16,29,28,6.173561e-05
0,16,30,29,1.063123e-04
0,16,31,30,1.806772e-04
1,17,3,2,-6.809494e-05
1,17,4,3,-1.637976e-04
1,17,5,4,-1.222680e-04
1,17,6,5,-1.328128e-04
1,17,7,6,-1.281787e-04
1,17,8,7,-1.173053e-04
1,17,9,8,-1.019344e-04
1,17,10,9,-8.295491e-05
1,17,11,10,-5.941226e-05
1,17,12,11,-6.264286e-05
1,17,13,12,-2.199089e-05
1,17,14,13,-5.932300e-05
1,17,15,14,-1.070103e-04
1,17,16,15,-1.817619e-04
1,17,19,18,1.300433e-04
1,17,20,19,1.076638e-04
1,17,21,20,8.501982e-05
1,17,22,21,9.757576e-05
1,17,23,22,9.767826e-05
1,17,24,23,9.206789e-05
1,17,25,24,8.117728e-05
1,17,26,25,6.677658e-05
1,17,27,26,4.773793e-05
1,17,28,27,5.097701e-05
1,17,29,28,5.280416e-05
1,17,30,29,8.615352e-05
1,17,31,30,1.327335e-04
1,17,0,31,2.066054e-04
2,18,1,0,2.471886e-04
2,18,4,3,-3.081138e-04
2,18,5,4,-1.894217e-04
2,18,6,5,-1.749053e-04
2,18,7,6,-1.511962e-04
2,18,8,7,-1.267365e-04
2,18,9,8,-1.025952e-04
2,18,10,9,-7.999266e-05
2,18,11,10,-5.511142e-05
2,18,12,11,-5.637491e-05
2,18,13,12,-1.918661e-05
2,18,14,13,-5.000389e-05
2,18,15,14,-8.511494e-05
2,18,16,15,-1.314070e-04
2,18,17,16,-2.060098e-04
2,18,20,19,1.867935e-04
2,18,21,20,1.261185e-04
2,18,22,21,1.269093e-04
2,18,23,22,1.171560e-04
2,18,24,23,1.032696e-04
2,18,25,24,8.677856e-05
2,18,26,25,6.809800e-05
2,18,27,26,4.712457e-05
2,18,28,27,4.945604e-05
2,18,29,28,5.007840e-05
2,18,30,29,7.896383e-05
2,18,31,30,1.149970e-04
2,18,0,31,1.646863e-04
3,19,1,0,2.203996e-04
3,19,2,1,3.415594e-04
3,19,5,4,-2.978852e-04
3,19,6,5,-2.276623e-04
3,19,7,6,-1.741583e-04
3,19,8,7,-1.355682e-04
3,19,9,8,-1.050482e-04
3,19,10,9,-7.744965e-05
3,19,11,10,-5.308801e-05
3,19,12,11,-5.272389e-05
3,19,13,12,-1.739697e-05
3,19,14,13,-4.485398e-05
3,19,15,14,-7.424424e-05
3,19,16,15,-1.096513e-04
3,19,17,16,-1.567093e-04
3,19,18,17,-2.340806e-04
3,19,21,20,1.967150e-04
3,19,22,21,1.682148e-04
3,19,23,22,1.401484e-04
3,19,24,23,1.150111e-04
3,19,25,24,9.290170e-05
