sin+,sin-,v_high,v_low,voltage
0,16,17,1,-1.284905e-03
0,16,18,2,-1.007767e-03
0,16,19,3,-8.851542e-04
0,16,20,4,-7.049785e-04
0,16,21,5,-5.581386e-04
0,16,22,6,-3.727943e-04
0,16,23,7,-1.757078e-04
0,16,24,8,2.414522e-05
0,16,25,9,2.080380e-04
0,16,26,10,3.685634e-04
0,16,27,11,4.896900e-04
0,16,28,12,6.224018e-04
0,16,29,13,7.103052e-04
0,16,30,14,8.964146e-04
0,16,31,15,1.231984e-03
0,16,1,17,1.285820e-03
0,16,2,18,1.006833e-03
0,16,3,19,8.845468e-04
0,16,4,20,7.084890e-04
0,16,5,21,5.581833e-04
0,16,6,22,3.731467e-04
0,16,7,23,1.738518e-04
0,16,8,24,-2.329880e-05
0,16,9,25,-2.084872e-04
0,16,10,26,-3.689396e-04
0,16,11,27,-4.891946e-04
0,16,12,28,-6.216035e-04
0,16,13,29,-7.109077e-04
0,16,14,30,-8.967064e-04
0,16,15,31,-1.231436e-03
1,17,16,0,-1.285619e-03
1,17,18,2,-1.459970e-03
1,17,19,3,-1.262633e-03
1,17,20,4,-9.901031e-04
1,17,21,5,-7.836307e-04
1,17,22,6,-5.529068e-04
1,17,23,7,-3.272121e-04
1,17,24,8,-1.173185e-04
1,17,25,9,6.612694e-05
1,17,26,10,2.163547e-04
1,17,27,11,3.252026e-04
1,17,28,12,4.357689e-04
1,17,29,13,5.109002e-04
1,17,30,14,6.563137e-04
1,17,31,15,8.965813e-04
1,17,0,16,1.285530e-03
1,17,2,18,1.462758e-03
1,17,3,19,1.262855e-03
1,17,4,20,9.910717e-04
1,17,5,21,7.830601e-04
1,17,6,22,5.531503e-04
1,17,7,23,3.265435e-04
1,17,8,24,1.171866e-04
1,17,9,25,-6.631312e-05
1,17,10,26,-2.156873e-04
1,17,11,27,-3.226754e-04
1,17,12,28,-4.359993e-04
1,17,13,29,-5.105363e-04
1,17,14,30,-6.563358e-04
1,17,15,31,-8.961801e-04
2,18,16,0,-1.006452e-03
2,18,17,1,-1.459454e-03
2,18,19,3,-1.839394e-03
2,18,20,4,-1.344721e-03
2,18,21,5,-1.031313e-03
2,18,22,6,-7.290050e-04
2,18,23,7,-4.614087e-04
2,18,24,8,-2.325106e-04
2,18,25,9,-4.198205e-05
2,18,26,10,1.068529e-04
2,18,27,11,2.078042e-04
2,18,28,12,3.122618e-04
2,18,29,13,3.820400e-04
2,18,30,14,5.100629e-04
2,18,31,15,7.099335e-04
2,18,0,16,1.006582e-03
2,18,1,17,1.459856e-03
2,18,3,19,1.839314e-03
2,18,4,20,1.344615e-03
2,18,5,21,1.030309e-03
2,18,6,22,7.284074e-04
2,18,7,23,4.605191e-04
2,18,8,24,2.331079e-04
2,18,9,25,4.224132e-05
2,18,10,26,-1.066053e-04
2,18,11,27,-2.081007e-04
2,18,12,28,-3.134203e-04
2,18,13,29,-3.816240e-04
2,18,14,30,-5.109906e-04
2,18,15,31,-7.126051e-04
3,19,16,0,-8.835356e-04
3,19,17,1,-1.260189e-03
3,19,18,2,-1.838898e-03
3,19,20,4,-1.763970e-03
3,19,21,5,-1.266597e-03
3,19,22,6,-8.698231e-04
3,19,23,7,-5.558926e-04
3,19,24,8,-3.035944e-04
3,19,25,9,-1.073244e-04
3,19,26,10,4.221931e-05
3,19,27,11,1.424947e-04
