sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.240423e-04
0,16,3,2,-3.923595e-05
0,16,4,3,-1.061929e-04
0,16,5,4,-8.880056e-05
0,16,6,5,-1.058977e-04
0,16,7,6,-1.119460e-04
0,16,8,7,-1.108703e-04
0,16,9,8,-1.038210e-04
0,16,10,9,-9.030267e-05
0,16,11,10,-6.882582e-05
0,16,12,11,-7.560576e-05
0,16,13,12,-2.762963e-05
0,16,14,13,-7.928465e-05
0,16,15,14,-1.551966e-04
0,16,18,17,1.550362e-04
0,16,19,18,8.199799e-05
0,16,20,19,7.281711e-05
0,16,21,20,6.332128e-05
0,16,22,21,8.045826e-05
0,16,23,22,8.449896e-05
0,16,24,23,8.648905e-05
0,16,25,24,8.203793e-05
0,16,26,25,6.968634e-05
0,16,27,26,5.220874e-05
0,16,28,27,5.606518e-05
0,16,29,28,6.161040e-05
0,16,30,29,1.065368e-04
0,16,31,30,1.811120e-04
5,21,1,0,1.225735e-04
5,21,2,1,1.315864e-04
5,21,3,2,1.179485e-04
5,21,4,3,5.750016e-04
5,21,7,6,-4.808235e-04
5,21,8,7,-2.687736e-04
5,21,9,8,-1.631878e-04
5,21,10,9,-1.026593e-04
5,21,11,10,-6.175302e-05
5,21,12,11,-5.779004e-05
5,21,13,12,-1.815942e-05
5,21,14,13,-4.199383e-05
5,21,15,14,-6.382991e-05
5,21,16,15,-8.468362e-05
5,21,17,16,-1.047073e-04
5,21,18,17,-1.163347e-04
5,21,19,18,-1.186584e-04
5,21,20,19,-1.794009e-04
5,21,23,22,2.193810e-04
5,21,24,23,1.491807e-04
5,21,25,24,1.057350e-04
5,21,26,25,7.467220e-05
5,21,27,26,4.809523e-05
5,21,28,27,4.763865e-05
5,21,29,28,4.585902e-05
5,21,30,29,6.712545e-05
5,21,31,30,8.711084e-05
5,21,0,31,1.055186e-04
10,26,1,0,6.395076e-05
10,26,2,1,4.243055e-05
10,26,3,2,1.763226e-05
10,26,4,3,5.813636e-05
10,26,5,4,6.079832e-05
10,26,6,5,1.014249e-04
10,26,7,6,1.624737e-04
10,26,8,7,2.683559e-04
10,26,9,8,4.805978e-04
10,26,12,11,-5.765291e-04
10,26,13,12,-1.179557e-04
10,26,14,13,-1.317558e-04
10,26,15,14,-1.223317e-04
10,26,16,15,-1.062941e-04
10,26,17,16,-8.753987e-05
10,26,18,17,-6.747519e-05
10,26,19,18,-4.602616e-05
10,26,20,19,-4.708510e-05
10,26,21,20,-4.784119e-05
10,26,22,21,-7.433288e-05
10,26,23,22,-1.063511e-04
10,26,24,23,-1.486610e-04
10,26,25,24,-2.214927e-04
10,26,28,27,1.799262e-04
10,26,29,28,1.184357e-04
10,26,30,29,1.155995e-04
10,26,31,30,1.030287e-04
10,26,0,31,8.488583e-05
15,31,1,0,1.556151e-04
15,31,2,1,7.897443e-05
15,31,3,2,2.721195e-05
15,31,4,3,7.588054e-05
15,31,5,4,6.804804e-05
15,31,6,5,8.959707e-05
15,31,7,6,1.038539e-04
15,31,8,7,1.107313e-04
15,31,9,8,1.122439e-04
15,31,10,9,1.057214e-04
15,31,11,10,8.718266e-05
15,31,12,11,1.041489e-04
15,31,13,12,3.999904e-05
15,31,14,13,1.242017e-04
15,31,17,16,-1.799716e-04
15,31,18,17,-1.065079e-04
15,31,19,18,-6.118693e-05
15,31,20,19,-5.685419e-05
15,31,21,20,-5.242555e-05
15,31,22,21,-7.009831e-05
15,31,23,22,-8.043748e-05
15,31,24,23,-8.621759e-05
15,31,25,24,-8.625689e-05
15,31,26,25,-7.902022e-05
15,31,27,26,-6.329102e-05
15,31,28,27,-7.201391e-05
15,31,29,28,-8.241323e-05
15,31,30,29,-1.550416e-04
1,17,3,2,-6.829789e-05
1,17,4,3,-1.656012e-04
1,17,5,4,-1.226474e-04
1,17,6,5,-1.328855e-04
1,17,7,6,-1.287632e-04
1,17,8,7,-1.171350e-04
1,17,9,8,-1.017301e-04
1,17,10,9,-8.290946e-05
1,17,11,10,-5.964349e-05
1,17,12,11,-6.269194e-05
1,17,13,12,-2.180255e-05
1,17,14,13,-6.005527e-05
1,17,15,14,-1.069633e-04
1,17,16,15,-1.818521e-04
1,17,19,18,1.303915e-04
1,17,20,19,1.075996e-04
1,17,21,20,8.501508e-05
1,17,22,21,9.752655e-05
1,17,23,22,9.764518e-05
1,17,24,23,9.268336e-05
1,17,25,24,8.232860e-05
1,17,26,25,6.682771e-05
1,17,27,26,4.794343e-05
1,17,28,27,5.072691e-05
1,17,29,28,5.280031e-05
1,17,30,29,8.684686e-05
1,17,31,30,1.332527e-04
1,17,0,31,2.083686e-04
6,22,1,0,9.346510e-05
6,22,2,1,8.864489e-05
6,22,3,2,6.330849e-05
6,22,4,3,2.774263e-04
6,22,5,4,3.626973e-04
6,22,8,7,-4.518296e-04
6,22,9,8,-2.414935e-04
6,22,10,9,-1.365172e-04
6,22,11,10,-7.583371e-05
6,22,12,11,-6.800333e-05
6,22,13,12,-2.021178e-05
6,22,14,13,-4.418781e-05
6,22,15,14,-6.243589e-05
6,22,16,15,-7.694850e-05
6,22,17,16,-8.597050e-05
6,22,18,17,-8.858641e-05
6,22,19,18,-7.821939e-05
6,22,20,19,-1.016254e-04
6,22,21,20,-1.241636e-04
6,22,24,23,1.963747e-04
6,22,25,24,1.251724e-04
6,22,26,25,8.244198e-05
6,22,27,26,5.021898e-05
6,22,28,27,4.792454e-05
6,22,29,28,4.610313e-05
6,22,30,29,6.437860e-05
6,22,31,30,7.988443e-05
6,22,0,31,8.848350e-05
11,27,1,0,6.827560e-05
11,27,2,1,4.234921e-05
11,27,3,2,1.727480e-05
11,27,4,3,5.322959e-05
11,27,5,4,5.615696e-05
11,27,6,5,9.261546e-05
11,27,7,6,1.295104e-04
11,27,8,7,1.923423e-04
11,27,9,8,3.025714e-04
11,27,10,9,5.265200e-04
11,27,13,12,-2.306228e-04
11,27,14,13,-1.985797e-04
11,27,15,14,-1.586304e-04
11,27,16,15,-1.259581e-04
11,27,17,16,-9.720381e-05
11,27,18,17,-7.151782e-05
11,27,19,18,-4.792205e-05
11,27,20,19,-4.759711e-05
11,27,21,20,-4.799292e-05
11,27,22,21,-7.185393e-05
11,27,23,22,-9.899641e-05
11,27,24,23,-1.297542e-04
11,27,25,24,-1.745496e-04
11,27,26,25,-2.460893e-04
11,27,29,28,1.879578e-04
11,27,30,29,1.559000e-04
11,27,31,30,1.236125e-04
11,27,0,31,9.450689e-05
2,18,1,0,2.480128e-04
2,18,4,3,-3.082865e-04
2,18,5,4,-1.857514e-04
2,18,6,5,-1.736582e-04
2,18,7,6,-1.503438e-04
2,18,8,7,-1.268004e-04
2,18,9,8,-1.034536e-04
2,18,10,9,-8.002351e-05
2,18,11,10,-5.513554e-05
2,18,12,11,-5.624451e-05
2,18,13,12,-1.877295e-05
2,18,14,13,-5.071454e-05
2,18,15,14,-8.530124e-05
2,18,16,15,-1.322121e-04
2,18,17,16,-2.094714e-04
2,18,20,19,1.870814e-04
2,18,21,20,1.256635e-04
2,18,22,21,1.263702e-04
2,18,23,22,1.169990e-04
2,18,24,23,1.027098e-04
2,18,25,24,8.705798e-05
2,18,26,25,6.790734e-05
2,18,27,26,4.697805e-05
2,18,28,27,4.982618e-05
2,18,29,28,4.984869e-05
2,18,30,29,7.900206e-05
2,18,31,30,1.139117e-04
2,18,0,31,1.654582e-04
7,23,1,0,7.480343e-05
7,23,2,1,6.061266e-05
7,23,3,2,3.713632e-05
7,23,4,3,1.487323e-04
7,23,5,4,1.853562e-04
7,23,6,5,3.972590e-04
7,23,9,8,-4.246821e-04
7,23,10,9,-2.146901e-04
7,23,11,10,-1.091914e-04
7,23,12,11,-9.254979e-05
7,23,13,12,-2.521044e-05
7,23,14,13,-4.892149e-05
7,23,15,14,-6.501400e-05
7,23,16,15,-7.439315e-05
7,23,17,16,-7.736062e-05
7,23,18,17,-7.233629e-05
7,23,19,18,-5.775618e-05
7,23,20,19,-6.762866e-05
7,23,21,20,-7.776058e-05
7,23,22,21,-1.485827e-04
7,23,25,24,1.730694e-04
7,23,26,25,1.014388e-04
7,23,27,26,5.813107e-05
7,23,28,27,5.505148e-05
7,23,29,28,4.923219e-05
7,23,30,29,6.511610e-05
7,23,31,30,7.462499e-05
7,23,0,31,7.834508e-05
12,28,1,0,7.445001e-05
12,28,2,1,4.599499e-05
12,28,3,2,1.709949e-05
12,28,4,3,5.326645e-05
12,28,5,4,5.290388e-05
12,28,6,5,7.819051e-05
12,28,7,6,1.052255e-04
12,28,8,7,1.354874e-04
12,28,9,8,1.744861e-04
12,28,10,9,2.277402e-04
12,28,11,10,2.988424e-04
12,28,14,13,-3.429082e-04
12,28,15,14,-2.199957e-04
12,28,16,15,-1.546934e-04
12,28,17,16,-1.108587e-04
12,28,18,17,-7.807024e-05
12,28,19,18,-5.199102e-05
12,28,20,19,-5.031204e-05
12,28,21,20,-4.850074e-05
12,28,22,21,-7.119223e-05
12,28,23,22,-9.267039e-05
12,28,24,23,-1.150907e-04
12,28,25,24,-1.419638e-04
12,28,26,25,-1.685356e-04
12,28,27,26,-1.967377e-04
12,28,30,29,2.338297e-04
12,28,31,30,1.569701e-04
12,28,0,31,1.091926e-04
19,20,18,21,3.633160e-04
19,20,18,28,2.056932e-04
19,20,18,27,2.072526e-04
19,20,18,29,2.019854e-04
19,20,18,26,2.107204e-04
19,20,18,25,2.170046e-04
19,20,18,30,1.990635e-04
19,20,18,24,2.271034e-04
19,20,18,31,1.951134e-04
19,20,18,22,2.827795e-04
19,20,18,23,2.459497e-04
19,20,17,21,2.819120e-04
19,20,17,28,1.237528e-04
19,20,17,27,1.258995e-04
19,20,17,29,1.199776e-04
3,4,2,5,8.779765e-04
3,4,1,5,7.297611e-04
3,4,2,6,5.783436e-04
3,4,0,5,6.668384e-04
3,4,2,7,4.478300e-04
3,4,2,8,3.872208e-04
3,4,2,28,2.761476e-04
3,4,2,9,3.586393e-04
3,4,2,27,2.790048e-04
3,4,2,10,3.446318e-04
3,4,2,13,3.283923e-04
3,4,2,11,3.368103e-04
3,4,2,12,3.322304e-04
3,4,2,26,2.843266e-04
3,4,2,25,2.895648e-04
18,20,17,21,5.281852e-04
18,20,16,21,4.383808e-04
18,20,17,22,4.030744e-04
18,20,15,21,3.953279e-04
18,20,17,19,2.329235e-04
18,20,14,21,3.742625e-04
18,20,13,21,3.635192e-04
18,20,12,21,3.592928e-04
18,20,11,21,3.490731e-04
18,20,10,21,3.415982e-04
18,20,9,21,3.301017e-04
18,20,8,21,3.181840e-04
18,20,2,21,2.892868e-04
18,20,17,23,3.408667e-04
18,20,7,21,3.106277e-04
11,12,10,13,8.789155e-04
11,12,10,14,7.327087e-04
11,12,9,13,5.759426e-04
11,12,10,15,6.697442e-04
11,12,10,16,6.393981e-04
11,12,10,17,6.211909e-04
11,12,10,18,6.132651e-04
11,12,10,19,6.066785e-04
11,12,10,20,6.036042e-04
11,12,10,21,5.994192e-04
11,12,10,22,5.948477e-04
11,12,8,13,4.429722e-04
11,12,10,27,5.778457e-04
11,12,10,28,5.749963e-04
11,12,10,23,5.895478e-04
11,13,10,14,9.164526e-04
11,13,10,15,8.237978e-04
11,13,10,16,7.794962e-04
11,13,10,28,6.923167e-04
11,13,10,27,6.946116e-04
11,13,10,17,7.552283e-04
11,13,10,18,7.435025e-04
11,13,10,26,6.964835e-04
11,13,10,20,7.303905e-04
11,13,10,25,7.006261e-04
11,13,10,24,7.061557e-04
11,13,10,19,7.362993e-04
11,13,10,21,7.249631e-04
11,13,10,29,6.898270e-04
11,13,10,22,7.180244e-04
10,12,9,13,1.118021e-03
10,12,8,13,8.039973e-04
10,12,7,13,6.604565e-04
10,12,6,13,5.928781e-04
10,12,5,13,5.586612e-04
10,12,9,14,9.051111e-04
10,12,4,13,5.425202e-04
10,12,3,13,5.292034e-04
10,12,2,13,5.260446e-04
10,12,1,13,5.192320e-04
10,12,0,13,5.111356e-04
10,12,9,11,3.525599e-04
10,12,9,15,8.000486e-04
10,12,9,16,7.502701e-04
10,12,8,14,5.898255e-04
8,14,7,15,1.337309e-03
8,14,7,13,1.353752e-03
8,14,9,15,1.182650e-03
8,14,6,15,9.778587e-04
8,14,9,13,1.199622e-03
8,14,7,16,1.183858e-03
8,14,5,15,8.087382e-04
8,14,6,13,9.940494e-04
8,14,4,15,7.316180e-04
8,14,7,12,1.253554e-03
8,14,3,15,6.692219e-04
8,14,2,15,6.530377e-04
8,14,5,13,8.256792e-04
8,14,1,15,6.272150e-04
8,14,7,17,1.097298e-03
9,11,8,12,1.081272e-03
9,11,7,12,8.105712e-04
9,11,6,12,6.871144e-04
9,11,5,12,6.278081e-04
9,11,4,12,5.999701e-04
9,11,3,12,5.782122e-04
9,11,2,12,5.714428e-04
9,11,1,12,5.633883e-04
9,11,0,12,5.526788e-04
9,11,8,13,9.127979e-04
9,11,8,10,7.260637e-04
9,11,8,14,7.985980e-04
9,11,7,13,6.416731e-04
9,11,10,12,3.552416e-04
9,11,6,13,5.187583e-04
5,6,4,7,9.117197e-04
5,6,3,7,6.095326e-04
5,6,4,8,7.245408e-04
5,6,2,7,5.534212e-04
5,6,1,7,5.063593e-04
5,6,4,9,6.404021e-04
5,6,0,7,4.737893e-04
5,6,4,10,6.013253e-04
5,6,4,11,5.847735e-04
5,6,4,12,5.682645e-04
5,6,3,8,4.219181e-04
5,6,4,13,5.640815e-04
5,6,4,14,5.570761e-04
5,6,4,15,5.513119e-04
5,6,4,16,5.462571e-04
3,4,2,24,2.953361e-04
3,4,2,18,3.098056e-04
19,20,16,21,2.452700e-04
19,20,15,21,2.275855e-04
19,20,14,21,2.165660e-04
11,12,7,13,3.817289e-04
11,12,6,13,3.514111e-04
11,12,5,13,3.365822e-04
11,12,3,13,3.221774e-04
11,12,4,13,3.288081e-04
11,12,1,13,3.183918e-04
11,12,0,13,3.148474e-04
11,12,2,13,3.209759e-04
2,4,1,5,9.149855e-04
2,4,0,5,8.205848e-04
2,4,1,6,5.584151e-04
2,4,1,3,1.500592e-04
2,4,1,7,4.017824e-04
2,4,0,6,4.652998e-04
2,4,1,8,3.267272e-04
2,4,0,3,5.548813e-05
2,4,1,11,2.636443e-04
2,4,0,7,3.076178e-04
2,4,1,14,2.493226e-04
2,4,1,12,2.560006e-04
2,4,1,10,2.737845e-04
2,4,1,15,2.442563e-04
2,4,1,9,2.910135e-04
18,20,6,21,3.033178e-04
18,20,4,21,2.939129e-04
18,20,5,21,2.976559e-04
19,21,18,22,5.259465e-04
19,21,18,23,4.390242e-04
19,21,17,22,4.023532e-04
19,21,18,24,3.961735e-04
19,21,20,22,2.340749e-04
19,21,18,25,3.730803e-04
19,21,18,26,3.603222e-04
19,21,16,22,3.396882e-04
19,21,18,27,3.533279e-04
19,21,18,29,3.418805e-04
19,21,18,28,3.476576e-04
19,21,18,30,3.345049e-04
19,21,18,31,3.282598e-04
