sin+,sin-,v_high,v_low,voltage
0,1,3,2,7.890067e+00
0,1,4,3,3.637597e+01
0,1,5,4,2.225920e+01
0,1,6,5,5.994156e+01
0,1,7,6,5.708272e+01
0,1,8,7,1.590291e+00
0,1,9,8,5.575118e+01
0,1,10,9,-4.714039e-01
0,1,11,10,3.813806e+01
0,1,12,11,2.515215e+01
0,1,13,12,1.193987e-01
0,1,14,13,1.005135e+01
0,1,15,14,6.829242e+01
0,1,16,15,6.183516e+01
0,1,17,16,5.190440e+01
0,1,18,17,-2.764445e+01
0,1,19,18,7.705720e+01
0,1,20,19,4.722302e+01
0,1,21,20,1.397931e+00
0,1,22,21,1.894967e+01
0,1,23,22,7.188197e+01
0,1,24,23,5.962367e+01
0,1,25,24,1.970043e-01
0,1,26,25,6.490045e+01
0,1,27,26,5.984763e+01
0,1,28,27,8.562485e-01
0,1,29,28,7.390208e+01
0,1,30,29,3.635996e+00
0,1,31,30,2.755207e+01
1,2,4,3,6.397000e+01
1,2,5,4,6.441647e+01
1,2,6,5,2.021071e+01
1,2,7,6,3.240780e+01
1,2,8,7,8.564886e-01
1,2,9,8,5.068126e+01
1,2,10,9,2.541589e+01
1,2,11,10,-1.256360e+01
1,2,12,11,7.559312e-01
1,2,13,12,9.742997e+00
1,2,14,13,1.154623e+00
1,2,15,14,1.477760e+00
1,2,16,15,3.303025e+01
1,2,17,16,6.919390e+01
1,2,18,17,3.123967e-01
1,2,19,18,4.139133e+01
1,2,20,19,6.080374e+00
1,2,21,20,5.895871e+01
1,2,22,21,1.213044e+01
1,2,23,22,6.177824e+01
1,2,24,23,6.653873e+01
1,2,25,24,-5.852421e+00
1,2,26,25,-3.111816e-02
1,2,27,26,1.796118e+00
1,2,28,27,1.123859e+01
1,2,29,28,6.658233e+01
1,2,30,29,8.569031e+01
1,2,31,30,9.584322e+01
1,2,0,31,6.741192e+01
2,3,1,0,1.053414e+01
2,3,5,4,8.269484e+01
2,3,6,5,6.219205e+01
2,3,7,6,9.420928e+01
2,3,8,7,8.028516e+01
2,3,9,8,7.620592e-01
2,3,10,9,9.215617e+01
2,3,11,10,3.129995e+01
2,3,12,11,9.227493e+01
2,3,13,12,8.859484e+01
2,3,14,13,9.465500e+01
2,3,15,14,5.207906e+01
2,3,16,15,-1.636171e+01
2,3,17,16,2.888383e+01
2,3,18,17,-2.092194e-01
2,3,19,18,6.898301e+01
2,3,20,19,8.717647e+01
2,3,21,20,7.197881e-01
2,3,22,21,9.130695e+01
2,3,23,22,8.148045e+01
2,3,24,23,8.605981e+01
2,3,25,24,-4.718485e-01
2,3,26,25,5.713496e+01
2,3,27,26,9.952127e+01
2,3,28,27,9.236387e-01
2,3,29,28,2.331175e+01
2,3,30,29,6.843891e+01
2,3,31,30,6.468398e+01
2,3,0,31,1.289107e+02
3,4,1,0,1.281594e+02
3,4,2,1,8.209600e+01
3,4,6,5,1.564335e+02
3,4,7,6,9.829290e+01
3,4,8,7,1.398869e+02
3,4,9,8,1.318859e+02
3,4,10,9,1.161027e+02
3,4,11,10,2.067515e+00
3,4,12,11,9.785917e+01
3,4,13,12,5.627329e-01
3,4,14,13,8.144968e-01
3,4,15,14,1.604010e+01
3,4,16,15,1.451933e+02
3,4,17,16,2.053277e+00
3,4,18,17,1.416923e+02
3,4,19,18,4.839624e+01
3,4,20,19,1.495364e+02
3,4,21,20,1.499807e+02
3,4,22,21,9.081435e-01
3,4,23,22,1.506914e+02
3,4,24,23,1.429295e+02
3,4,25,24,2.813334e+00
3,4,26,25,1.646369e+02
3,4,27,26,1.326647e+01
3,4,28,27,1.535691e+02
