sin+,sin-,v_high,v_low,voltage
0,1,3,2,1.737238e+00
0,1,4,3,7.108335e+00
0,1,5,4,3.164088e+00
0,1,6,5,2.051428e+00
0,1,7,6,1.862190e+00
0,1,8,7,3.825809e-01
0,1,9,8,1.221693e+00
0,1,10,9,-3.289574e-01
0,1,11,10,-6.569043e-01
0,1,12,11,3.598564e-01
0,1,13,12,3.222713e-02
0,1,14,13,4.023342e-01
0,1,15,14,5.153041e-01
0,1,16,15,2.825080e-01
0,1,17,16,-5.708863e-02
0,1,18,17,-1.613624e-01
0,1,19,18,1.060806e+00
0,1,20,19,1.417957e+00
0,1,21,20,2.884551e-01
0,1,22,21,3.090298e-01
0,1,23,22,4.355028e-01
0,1,24,23,6.990740e-01
0,1,25,24,7.741929e-01
0,1,26,25,8.247702e-01
0,1,27,26,1.412512e+00
0,1,28,27,1.197639e+00
0,1,29,28,1.047784e+00
0,1,30,29,5.475283e-03
0,1,31,30,4.182452e+00
1,2,4,3,1.472124e+01
1,2,5,4,7.930872e+00
1,2,6,5,4.790405e+00
1,2,7,6,4.055648e+00
1,2,8,7,2.068999e+00
1,2,9,8,2.026233e+00
1,2,10,9,1.995397e-01
1,2,11,10,-1.190073e-01
1,2,12,11,-3.332559e-01
1,2,13,12,1.148360e-01
1,2,14,13,-3.862028e-01
1,2,15,14,2.583279e-01
1,2,16,15,-6.165823e-01
1,2,17,16,1.065575e-01
1,2,18,17,1.095948e+00
1,2,19,18,6.523017e-01
1,2,20,19,-1.438615e+00
1,2,21,20,-7.536194e-01
1,2,22,21,-2.819379e-01
1,2,23,22,-4.492462e-01
1,2,24,23,1.570587e-01
1,2,25,24,-2.153094e-01
1,2,26,25,-2.596406e-01
1,2,27,26,1.939864e+00
1,2,28,27,2.442315e-01
1,2,29,28,4.471563e-01
1,2,30,29,1.153127e+00
1,2,31,30,2.222443e+00
1,2,0,31,5.249465e+00
2,3,1,0,2.368385e+00
2,3,5,4,1.089276e+01
2,3,6,5,6.757691e+00
