sin+,sin-,v_high,v_low,voltage
0,1,3,2,2.523262e-05
0,1,4,3,6.346719e-05
0,1,5,4,4.510625e-05
0,1,6,5,3.837511e-05
0,1,7,6,2.461793e-05
0,1,8,7,2.431736e-05
0,1,9,8,8.293798e-06
0,1,10,9,1.277541e-06
0,1,11,10,5.121176e-06
0,1,12,11,8.951208e-06
0,1,13,12,-1.496016e-06
0,1,14,13,1.965081e-06
0,1,15,14,-7.241122e-07
0,1,16,15,1.256642e-05
0,1,17,16,6.502629e-06
0,1,18,17,4.338665e-07
0,1,19,18,-6.794908e-07
0,1,20,19,3.487106e-06
0,1,21,20,6.311544e-06
0,1,22,21,3.733144e-06
0,1,23,22,1.061799e-05
0,1,24,23,9.124004e-06
0,1,25,24,1.384099e-05
0,1,26,25,1.077159e-05
0,1,27,26,7.011899e-06
0,1,28,27,3.656121e-05
0,1,29,28,1.910188e-05
0,1,30,29,2.457056e-05
0,1,31,30,5.186624e-05
1,2,4,3,1.399321e-04
1,2,5,4,7.173427e-05
1,2,6,5,4.381797e-05
1,2,7,6,2.646085e-05
1,2,8,7,1.223232e-05
1,2,9,8,1.136537e-05
1,2,10,9,1.141284e-05
1,2,11,10,3.325395e-06
1,2,12,11,6.309443e-06
1,2,13,12,-4.555282e-06
1,2,14,13,1.293860e-06
1,2,15,14,4.706902e-07
1,2,16,15,2.400876e-06
1,2,17,16,9.780149e-07
1,2,18,17,3.601697e-07
1,2,19,18,-3.340372e-07
1,2,20,19,3.945100e-06
1,2,21,20,2.383258e-06
1,2,22,21,6.551772e-06
1,2,23,22,6.739079e-06
1,2,24,23,7.752747e-06
1,2,25,24,1.294259e-06
1,2,26,25,-3.539384e-07
1,2,27,26,8.228940e-06
1,2,28,27,2.065638e-05
1,2,29,28,7.127584e-06
1,2,30,29,-2.615280e-07
1,2,31,30,2.381050e-05
1,2,0,31,5.661284e-05
2,3,1,0,3.153729e-05
2,3,5,4,1.126701e-04
2,3,6,5,5.850431e-05
2,3,7,6,2.896618e-05
2,3,8,7,1.516623e-05
2,3,9,8,1.123521e-05
2,3,10,9,8.631351e-06
2,3,11,10,7.258399e-06
2,3,12,11,1.245651e-06
2,3,13,12,-8.456173e-06
2,3,14,13,-8.367724e-06
2,3,15,14,-1.041366e-05
2,3,16,15,1.751906e-06
2,3,17,16,-6.226054e-06
2,3,18,17,-5.546976e-07
2,3,19,18,-1.059261e-06
2,3,20,19,1.527974e-06
2,3,21,20,-3.613710e-06
2,3,22,21,6.783576e-07
2,3,23,22,4.135198e-06
2,3,24,23,2.257055e-06
2,3,25,24,1.759265e-06
2,3,26,25,3.037321e-06
2,3,27,26,1.872792e-06
2,3,28,27,6.487979e-06
2,3,29,28,5.139701e-06
2,3,30,29,9.046192e-06
2,3,31,30,7.450843e-06
2,3,0,31,1.448096e-05
3,4,1,0,7.094315e-05
3,4,2,1,1.571864e-04
3,4,6,5,3.021059e-04
3,4,7,6,1.256817e-04
3,4,8,7,6.755538e-05
3,4,9,8,3.512399e-05
3,4,10,9,8.216382e-06
3,4,11,10,-8.255004e-08
3,4,12,11,1.406242e-05
3,4,13,12,-2.167323e-07
3,4,14,13,7.001341e-06
3,4,15,14,9.163427e-06
3,4,16,15,1.247866e-06
3,4,17,16,-6.009947e-07
3,4,18,17,3.041103e-06
3,4,19,18,1.283634e-05
3,4,20,19,-3.570021e-06
3,4,21,20,2.172838e-06
3,4,22,21,2.475553e-06
3,4,23,22,-1.587054e-06
3,4,24,23,4.398343e-06
3,4,25,24,4.310077e-06
3,4,26,25,-2.473954e-07
3,4,27,26,5.996787e-06
3,4,28,27,-9.681407e-06
3,4,29,28,1.625922e-05
3,4,30,29,2.518606e-05
3,4,31,30,1.423197e-05
3,4,0,31,2.758305e-05
4,5,1,0,5.230421e-05
4,5,2,1,7.328670e-05
4,5,3,2,1.037731e-04
4,5,7,6,1.840201e-04
4,5,8,7,8.042373e-05
4,5,9,8,3.910357e-05
4,5,10,9,1.832364e-05
4,5,11,10,8.705560e-06
4,5,12,11,8.108766e-06
4,5,13,12,2.390753e-06
4,5,14,13,5.263337e-06
4,5,15,14,4.405983e-06
4,5,16,15,7.335827e-08
4,5,17,16,2.347582e-06
4,5,18,17,8.820421e-07
4,5,19,18,1.490485e-05
4,5,20,19,4.465597e-06
4,5,21,20,-1.294312e-06
4,5,22,21,7.219544e-07
4,5,23,22,4.376471e-06
4,5,24,23,4.872689e-06
4,5,25,24,2.955813e-06
4,5,26,25,4.201835e-06
4,5,27,26,-4.228597e-06
4,5,28,27,7.750550e-07
4,5,29,28,3.598373e-06
4,5,30,29,9.761949e-06
4,5,31,30,1.240217e-05
4,5,0,31,3.666264e-05
5,6,1,0,3.854312e-05
5,6,2,1,4.423045e-05
5,6,3,2,4.421517e-05
5,6,4,3,2.916912e-04
5,6,8,7,1.962025e-04
5,6,9,8,8.427999e-05
5,6,10,9,4.114368e-05
5,6,11,10,1.673457e-05
5,6,12,11,1.603534e-05
5,6,13,12,2.492884e-06
5,6,14,13,6.455878e-06
5,6,15,14,8.128764e-06
5,6,16,15,6.609906e-06
