sin+,sin-,v_high,v_low,voltage
0,16,17,1,-1.263407e-03
0,16,18,2,-1.029222e-03
0,16,19,3,-8.720784e-04
0,16,20,4,-7.142754e-04
0,16,21,5,-5.631893e-04
0,16,22,6,-3.808808e-04
0,16,23,7,-1.805900e-04
0,16,24,8,7.114862e-06
0,16,25,9,2.216865e-04
0,16,26,10,3.518232e-04
0,16,27,11,4.996415e-04
0,16,28,12,6.273107e-04
0,16,29,13,7.221620e-04
0,16,30,14,8.977717e-04
0,16,31,15,1.247872e-03
0,16,1,17,1.275978e-03
0,16,2,18,9.823209e-04
0,16,3,19,8.654866e-04
0,16,4,20,7.034111e-04
0,16,5,21,5.797264e-04
0,16,6,22,3.652998e-04
0,16,7,23,1.788138e-04
0,16,8,24,-1.384626e-05
0,16,9,25,-2.014019e-04
0,16,10,26,-3.808151e-04
0,16,11,27,-4.835711e-04
0,16,12,28,-6.335273e-04
0,16,13,29,-7.092425e-04
0,16,14,30,-9.027739e-04
0,16,15,31,-1.225624e-03
1,17,16,0,-1.272826e-03
1,17,18,2,-1.459958e-03
1,17,19,3,-1.262463e-03
1,17,20,4,-1.000191e-03
1,17,21,5,-7.732689e-04
1,17,22,6,-5.654781e-04
1,17,23,7,-3.407310e-04
1,17,24,8,-1.011983e-04
1,17,25,9,5.693145e-05
1,17,26,10,2.146013e-04
1,17,27,11,3.321686e-04
1,17,28,12,4.489298e-04
1,17,29,13,5.166922e-04
1,17,30,14,6.463149e-04
1,17,31,15,9.022017e-04
1,17,0,16,1.283907e-03
1,17,2,18,1.460384e-03
1,17,3,19,1.265131e-03
1,17,4,20,9.965406e-04
1,17,5,21,7.825550e-04
1,17,6,22,5.546674e-04
1,17,7,23,3.307585e-04
1,17,8,24,1.239990e-04
1,17,9,25,-7.033779e-05
1,17,10,26,-2.153350e-04
1,17,11,27,-3.215221e-04
1,17,12,28,-4.379662e-04
1,17,13,29,-5.030637e-04
1,17,14,30,-6.584236e-04
1,17,15,31,-8.961524e-04
2,18,16,0,-1.005674e-03
2,18,17,1,-1.460444e-03
2,18,19,3,-1.832827e-03
2,18,20,4,-1.343159e-03
2,18,21,5,-1.025402e-03
2,18,22,6,-7.263827e-04
2,18,23,7,-4.605649e-04
2,18,24,8,-2.307535e-04
2,18,25,9,-4.045542e-05
2,18,26,10,9.927493e-05
2,18,27,11,2.058373e-04
2,18,28,12,3.117896e-04
2,18,29,13,3.891310e-04
2,18,30,14,4.985039e-04
2,18,31,15,7.220239e-04
2,18,0,16,1.013579e-03
2,18,1,17,1.457656e-03
2,18,3,19,1.840233e-03
2,18,4,20,1.344490e-03
2,18,5,21,1.033889e-03
2,18,6,22,7.317376e-04
2,18,7,23,4.665031e-04
2,18,8,24,2.325056e-04
2,18,9,25,4.716420e-05
2,18,10,26,-1.046468e-04
2,18,11,27,-2.135649e-04
2,18,12,28,-3.235474e-04
2,18,13,29,-3.801348e-04
2,18,14,30,-5.088968e-04
2,18,15,31,-7.168936e-04
3,19,16,0,-8.816810e-04
3,19,17,1,-1.263329e-03
3,19,18,2,-1.831891e-03
3,19,20,4,-1.762787e-03
3,19,21,5,-1.267062e-03
3,19,22,6,-8.662489e-04
3,19,23,7,-5.564205e-04
3,19,24,8,-3.163416e-04
3,19,25,9,-9.837720e-05
3,19,26,10,4.434677e-05
3,19,27,11,1.439512e-04
3,19,28,12,2.474074e-04
3,19,29,13,3.119044e-04
3,19,30,14,4.338440e-04
3,19,31,15,6.221447e-04
3,19,0,16,8.821699e-04
3,19,1,17,1.260053e-03
3,19,2,18,1.839987e-03
3,19,4,20,1.764034e-03
3,19,5,21,1.266505e-03
3,19,6,22,8.670446e-04
3,19,7,23,5.589380e-04
3,19,8,24,3.087560e-04
3,19,9,25,1.119390e-04
3,19,10,26,-4.844116e-05
3,19,11,27,-1.415597e-04
3,19,12,28,-2.381610e-04
3,19,13,29,-3.285680e-04
3,19,14,30,-4.350346e-04
3,19,15,31,-6.184659e-04
4,20,16,0,-7.175260e-04
4,20,17,1,-9.877819e-04
4,20,18,2,-1.345526e-03
4,20,19,3,-1.765592e-03
4,20,21,5,-2.019586e-03
4,20,22,6,-1.249810e-03
4,20,23,7,-7.769677e-04
4,20,24,8,-4.516462e-04
4,20,25,9,-2.261521e-04
4,20,26,10,-5.450500e-05
4,20,27,11,4.765625e-05
4,20,28,12,1.426751e-04
4,20,29,13,2.083900e-04
4,20,30,14,3.230740e-04
4,20,31,15,4.896376e-04
4,20,0,16,6.896998e-04
4,20,1,17,1.009568e-03
4,20,2,18,1.341282e-03
4,20,3,19,1.777754e-03
4,20,5,21,2.005008e-03
4,20,6,22,1.230122e-03
4,20,7,23,7.893384e-04
4,20,8,24,4.459876e-04
4,20,9,25,2.336100e-04
4,20,10,26,5.312164e-05
4,20,11,27,-4.621508e-05
4,20,12,28,-1.282095e-04
4,20,13,29,-1.912110e-04
4,20,14,30,-3.232591e-04
4,20,15,31,-4.719018e-04
5,21,16,0,-5.373230e-04
5,21,17,1,-7.956854e-04
5,21,18,2,-1.069314e-03
5,21,19,3,-1.292806e-03
5,21,20,4,-2.057892e-03
5,21,22,6,-1.708701e-03
5,21,23,7,-1.003958e-03
5,21,24,8,-5.967545e-04
5,21,25,9,-3.462726e-04
5,21,26,10,-1.975557e-04
5,21,27,11,-6.669553e-05
5,21,28,12,3.518206e-05
5,21,29,13,9.907411e-05
5,21,30,14,2.059684e-04
5,21,31,15,3.723511e-04
5,21,0,16,5.749386e-04
5,21,1,17,8.010233e-04
5,21,2,18,1.016088e-03
5,21,3,19,1.279609e-03
5,21,4,20,2.027727e-03
5,21,6,22,1.733272e-03
5,21,7,23,1.028292e-03
5,21,8,24,6.194351e-04
5,21,9,25,3.567007e-04
5,21,10,26,1.775635e-04
5,21,11,27,6.444863e-05
5,21,12,28,-4.060616e-05
5,21,13,29,-1.113263e-04
5,21,14,30,-2.064499e-04
5,21,15,31,-3.652732e-04
6,22,16,0,-3.714848e-04
6,22,17,1,-5.530773e-04
6,22,18,2,-7.394717e-04
6,22,19,3,-8.702267e-04
6,22,20,4,-1.242717e-03
6,22,21,5,-1.739154e-03
6,22,23,7,-1.581136e-03
6,22,24,8,-9.384987e-04
6,22,25,9,-5.729728e-04
6,22,26,10,-3.506471e-04
6,22,27,11,-2.179674e-04
6,22,28,12,-1.115301e-04
6,22,29,13,-3.943089e-05
6,22,30,14,6.379934e-05
6,22,31,15,1.957182e-04
6,22,0,16,3.717364e-04
6,22,1,17,5.642942e-04
6,22,2,18,7.183210e-04
6,22,3,19,8.757164e-04
6,22,4,20,1.246228e-03
6,22,5,21,1.735479e-03
6,22,7,23,1.583931e-03
6,22,8,24,9.338367e-04
6,22,9,25,5.637713e-04
6,22,10,26,3.497966e-04
6,22,11,27,2.177306e-04
6,22,12,28,1.073113e-04
6,22,13,29,4.236667e-05
6,22,14,30,-6.484710e-05
6,22,15,31,-2.081551e-04
7,23,16,0,-1.718910e-04
7,23,17,1,-3.256056e-04
7,23,18,2,-4.617340e-04
7,23,19,3,-5.530750e-04
7,23,20,4,-7.751350e-04
7,23,21,5,-1.039995e-03
7,23,22,6,-1.580633e-03
7,23,24,8,-1.527532e-03
7,23,25,9,-9.368493e-04
7,23,26,10,-6.049086e-04
7,23,27,11,-4.460285e-04
7,23,28,12,-3.233767e-04
7,23,29,13,-2.206705e-04
7,23,30,14,-1.273070e-04
7,23,31,15,3.667764e-05
7,23,0,16,1.674128e-04
7,23,1,17,3.321231e-04
7,23,2,18,4.638112e-04
7,23,3,19,5.618933e-04
7,23,4,20,7.758023e-04
7,23,5,21,1.042001e-03
7,23,6,22,1.583458e-03
7,23,8,24,1.524175e-03
7,23,9,25,9.372437e-04
7,23,10,26,6.184903e-04
7,23,11,27,4.639835e-04
7,23,12,28,2.978969e-04
7,23,13,29,2.341069e-04
7,23,14,30,1.123874e-04
7,23,15,31,-3.019015e-05
8,24,16,0,1.797421e-05
8,24,17,1,-1.224741e-04
8,24,18,2,-2.321820e-04
8,24,19,3,-3.053452e-04
8,24,20,4,-4.560814e-04
8,24,21,5,-6.178210e-04
8,24,22,6,-9.360467e-04
8,24,23,7,-1.531046e-03
8,24,25,9,-1.577032e-03
8,24,26,10,-1.038860e-03
8,24,27,11,-7.714796e-04
8,24,28,12,-5.470169e-04
8,24,29,13,-4.738144e-04
8,24,30,14,-3.249029e-04
8,24,31,15,-1.670118e-04
8,24,0,16,-1.741689e-05
8,24,1,17,1.246602e-04
8,24,2,18,2.225807e-04
8,24,3,19,3.043993e-04
8,24,4,20,4.470086e-04
8,24,5,21,6.235090e-04
8,24,6,22,9.344263e-04
8,24,7,23,1.536724e-03
8,24,9,25,1.584854e-03
8,24,10,26,1.037358e-03
8,24,11,27,7.757945e-04
8,24,12,28,5.585396e-04
8,24,13,29,4.628747e-04
8,24,14,30,3.275050e-04
8,24,15,31,1.789215e-04
9,25,16,0,2.073009e-04
9,25,17,1,6.479600e-05
9,25,18,2,-4.126308e-05
9,25,19,3,-1.078586e-04
9,25,20,4,-2.231127e-04
9,25,21,5,-3.487085e-04
9,25,22,6,-5.678246e-04
9,25,23,7,-9.344708e-04
9,25,24,8,-1.590942e-03
9,25,26,10,-1.739188e-03
9,25,27,11,-1.248832e-03
9,25,28,12,-8.710440e-04
9,25,29,13,-7.192318e-04
9,25,30,14,-5.497077e-04
