sin+,sin-,v_high,v_low,voltage
0,1,18,2,2.468256e-04
0,1,19,3,2.292205e-04
0,1,20,4,1.516581e-04
0,1,21,5,1.239566e-04
0,1,22,6,9.764070e-05
0,1,23,7,7.404018e-05
0,1,24,8,6.238132e-05
0,1,25,9,6.108086e-05
0,1,26,10,6.353549e-05
0,1,27,11,6.793541e-05
0,1,28,12,7.335224e-05
0,1,29,13,9.111821e-05
0,1,30,14,1.173996e-04
0,1,31,15,1.547422e-04
0,1,2,18,-2.556737e-04
0,1,3,19,-2.205420e-04
0,1,4,20,-1.585165e-04
0,1,5,21,-1.226177e-04
0,1,6,22,-9.152733e-05
0,1,7,23,-7.249908e-05
0,1,8,24,-6.515042e-05
0,1,9,25,-6.277967e-05
0,1,10,26,-6.545139e-05
0,1,11,27,-7.133348e-05
0,1,12,28,-7.283984e-05
0,1,13,29,-9.078723e-05
0,1,14,30,-1.041916e-04
0,1,15,31,-1.548673e-04
1,2,16,0,-1.248770e-04
1,2,19,3,3.497771e-04
1,2,20,4,1.965339e-04
1,2,21,5,1.344141e-04
1,2,22,6,8.489641e-05
1,2,23,7,5.872996e-05
1,2,24,8,4.061157e-05
1,2,25,9,4.128994e-05
1,2,26,10,4.437209e-05
1,2,27,11,4.026161e-05
1,2,28,12,4.046815e-05
1,2,29,13,6.661763e-05
1,2,30,14,5.773259e-05
1,2,31,15,8.070713e-05
1,2,0,16,1.285710e-04
1,2,3,19,-3.402930e-04
1,2,4,20,-2.005816e-04
1,2,5,21,-1.332481e-04
1,2,6,22,-9.322335e-05
1,2,7,23,-5.810708e-05
1,2,8,24,-4.451199e-05
1,2,9,25,-4.293317e-05
1,2,10,26,-4.780744e-05
1,2,11,27,-5.113272e-05
1,2,12,28,-5.032518e-05
1,2,13,29,-4.740444e-05
1,2,14,30,-6.330331e-05
1,2,15,31,-8.247106e-05
2,3,16,0,-4.010093e-05
2,3,17,1,-6.959338e-05
2,3,20,4,2.306876e-04
2,3,21,5,1.207158e-04
2,3,22,6,6.377884e-05
2,3,23,7,3.616141e-05
2,3,24,8,2.772759e-05
2,3,25,9,1.631499e-05
2,3,26,10,1.923162e-05
2,3,27,11,2.360048e-05
2,3,28,12,2.419358e-05
