sin+,sin-,v_high,v_low,voltage
0,1,3,2,5.381556e-01
0,1,4,3,6.795604e+00
0,1,5,4,3.916583e+00
0,1,6,5,4.521463e+00
0,1,7,6,2.358398e+00
0,1,8,7,4.451333e-01
0,1,9,8,5.365565e-01
0,1,10,9,1.191907e+00
0,1,11,10,6.450055e-01
0,1,12,11,1.128460e-01
0,1,13,12,2.987757e-02
0,1,14,13,-1.438834e+00
0,1,15,14,5.276339e-01
0,1,16,15,8.770317e-01
0,1,17,16,1.358404e+00
0,1,18,17,-1.450291e+00
0,1,19,18,1.345586e+00
0,1,20,19,8.867582e-01
0,1,21,20,1.852488e+00
0,1,22,21,-2.060647e-02
0,1,23,22,8.470230e-01
0,1,24,23,5.993915e-01
0,1,25,24,1.101702e+00
0,1,26,25,1.900129e+00
0,1,27,26,1.568609e+00
0,1,28,27,-1.225434e+00
0,1,29,28,1.821798e-01
0,1,30,29,2.892311e+00
0,1,31,30,6.449355e+00
1,2,4,3,1.499846e+01
1,2,5,4,5.075915e+00
1,2,6,5,3.531828e+00
1,2,7,6,1.754023e+00
1,2,8,7,2.428413e+00
1,2,9,8,1.996775e+00
1,2,10,9,-5.056925e-01
1,2,11,10,1.838623e-01
1,2,12,11,1.568763e+00
1,2,13,12,6.557829e-01
1,2,14,13,-9.460791e-01
1,2,15,14,-3.943780e-01
1,2,16,15,1.014062e+00
1,2,17,16,7.412194e-01
1,2,18,17,1.030859e+00
1,2,19,18,-6.876772e-01
1,2,20,19,-1.893688e-01
1,2,21,20,-9.250895e-01
1,2,22,21,-9.960130e-02
1,2,23,22,-4.790255e-01
1,2,24,23,9.672050e-02
1,2,25,24,9.278934e-01
1,2,26,25,-5.709997e-01
1,2,27,26,8.242600e-01
1,2,28,27,6.536923e-01
1,2,29,28,1.695750e-01
1,2,30,29,1.720202e+00
1,2,31,30,2.694565e+00
1,2,0,31,5.001326e+00
2,3,1,0,2.614792e+00
2,3,5,4,1.157183e+01
2,3,6,5,5.841030e+00
2,3,7,6,3.142933e+00
2,3,8,7,1.362787e+00
2,3,9,8,1.869307e+00
2,3,10,9,-7.166321e-01
2,3,11,10,-1.185423e-02
2,3,12,11,-2.579331e-01
2,3,13,12,1.117288e+00
2,3,14,13,9.543328e-01
2,3,15,14,-6.355024e-01
2,3,16,15,4.663136e-02
2,3,17,16,1.150089e-01
2,3,18,17,9.025300e-02
2,3,19,18,7.602007e-02
2,3,20,19,2.792013e-01
2,3,21,20,4.688805e-01
2,3,22,21,8.368972e-02
2,3,23,22,8.737299e-01
2,3,24,23,-2.468638e-01
2,3,25,24,-7.366596e-01
2,3,26,25,1.223874e-01
2,3,27,26,2.066443e+00
2,3,28,27,5.444638e-02
2,3,29,28,-1.031163e+00
2,3,30,29,1.844884e+00
2,3,31,30,1.753212e+00
2,3,0,31,2.948080e-01
3,4,1,0,5.451733e+00
3,4,2,1,1.322252e+01
3,4,6,5,2.894134e+01
3,4,7,6,1.350334e+01
3,4,8,7,5.104376e+00
3,4,9,8,2.173731e+00
3,4,10,9,9.877330e-01
3,4,11,10,-8.043928e-01
3,4,12,11,7.564318e-02
3,4,13,12,-4.995426e-01
3,4,14,13,4.596669e-01
3,4,15,14,6.097776e-01
3,4,16,15,-1.068895e-01
3,4,17,16,5.171647e-01
3,4,18,17,-5.247375e-02
3,4,19,18,-3.936085e-01
3,4,20,19,-1.098021e+00
3,4,21,20,9.051141e-02
3,4,22,21,5.000488e-02
3,4,23,22,2.715015e-01
3,4,24,23,-9.283521e-02
3,4,25,24,-1.179271e-01
3,4,26,25,3.270042e-02
3,4,27,26,1.266019e-01
3,4,28,27,2.527880e-01
3,4,29,28,-9.051693e-02
3,4,30,29,6.271598e-01
3,4,31,30,2.427152e+00
3,4,0,31,3.971931e+00
4,5,1,0,3.245518e+00
4,5,2,1,7.989579e+00
4,5,3,2,1.165070e+01
4,5,7,6,1.839426e+01
4,5,8,7,8.209798e+00
4,5,9,8,4.314728e+00
4,5,10,9,1.213539e+00
4,5,11,10,2.363977e+00
4,5,12,11,1.960972e-01
4,5,13,12,6.966592e-01
4,5,14,13,3.240541e-01
4,5,15,14,-3.110853e-01
4,5,16,15,-3.976529e-01
4,5,17,16,1.089933e+00
4,5,18,17,-8.436855e-02
4,5,19,18,9.284294e-01
4,5,20,19,1.502917e-01
4,5,21,20,-1.847520e-02
4,5,22,21,-6.349392e-02
