sin+,sin-,v_high,v_low,voltage
0,31,2,1,-4.636664e+00
0,31,3,2,-1.039529e+00
0,31,4,3,-3.454009e+00
0,31,5,4,-2.021724e+00
0,31,6,5,-1.666811e+00
0,31,7,6,-2.008980e+00
0,31,8,7,-1.327051e+00
0,31,9,8,-5.527045e-01
0,31,10,9,-3.997141e-02
0,31,11,10,1.804204e-01
0,31,12,11,-1.207544e+00
0,31,13,12,1.763608e+00
0,31,14,13,1.334193e+00
0,31,15,14,1.174621e+00
0,31,16,15,-6.462184e-01
0,31,17,16,2.650812e-01
0,31,18,17,1.888298e-01
0,31,19,18,2.677741e+00
0,31,20,19,1.918696e+00
0,31,21,20,1.545878e+00
0,31,22,21,3.116761e+00
0,31,23,22,-1.692724e+00
0,31,24,23,-4.128981e+00
0,31,25,24,3.517981e-01
0,31,26,25,-3.127147e+00
0,31,27,26,-3.838300e+00
0,31,28,27,-2.495845e+00
0,31,29,28,-1.558118e+00
0,31,30,29,-5.301093e+00
24,25,1,0,9.438901e-01
24,25,2,1,1.108875e+00
24,25,3,2,-9.361117e-01
24,25,4,3,4.854570e-01
24,25,5,4,-6.281831e-01
24,25,6,5,-1.325845e+00
24,25,7,6,1.331807e+00
24,25,8,7,4.071423e-01
24,25,9,8,7.179466e-01
24,25,10,9,1.803877e+00
24,25,11,10,4.472061e-01
24,25,12,11,-1.281365e+00
24,25,13,12,-1.297715e+00
24,25,14,13,1.794402e+00
24,25,15,14,1.637790e+00
24,25,16,15,2.289323e+00
24,25,17,16,2.072113e-01
24,25,18,17,6.234925e-01
24,25,19,18,-2.941981e-01
24,25,20,19,-1.222334e-01
24,25,21,20,-2.520422e-01
24,25,22,21,1.393245e+00
24,25,23,22,6.277771e+00
24,25,27,26,3.954758e+00
24,25,28,27,4.991893e+00
24,25,29,28,1.434578e+00
24,25,30,29,9.130707e-01
24,25,31,30,2.493966e+00
24,25,0,31,1.315250e+00
19,20,1,0,1.051866e+00
19,20,2,1,-8.051371e-01
19,20,3,2,1.053724e+00
19,20,4,3,1.617343e+00
19,20,5,4,5.831823e-01
19,20,6,5,2.427268e+00
19,20,7,6,-6.127176e-01
19,20,8,7,-8.505150e-01
19,20,9,8,1.143632e+00
19,20,10,9,-6.336700e-01
19,20,11,10,3.305744e-01
19,20,12,11,-7.602009e-01
19,20,13,12,5.983832e-01
19,20,14,13,-6.236937e-01
19,20,15,14,1.933370e-01
19,20,16,15,1.865015e+00
19,20,17,16,5.540467e+00
19,20,18,17,7.536629e+00
19,20,22,21,8.426863e+00
19,20,23,22,3.084448e+00
19,20,24,23,3.391746e+00
19,20,25,24,3.458508e-01
19,20,26,25,9.567705e-01
19,20,27,26,-3.663422e-01
19,20,28,27,1.888112e+00
19,20,29,28,1.285225e+00
19,20,30,29,1.882625e+00
19,20,31,30,2.336414e-01
19,20,0,31,5.071719e-01
9,10,1,0,3.296008e-01
9,10,2,1,6.385188e-01
9,10,3,2,1.280976e+00
9,10,4,3,2.414439e+00
9,10,5,4,1.865357e+00
9,10,6,5,3.281678e+00
9,10,7,6,8.899647e+00
9,10,8,7,1.848116e+01
9,10,12,11,3.003779e+01
9,10,13,12,5.621024e+00
9,10,14,13,4.575767e+00
9,10,15,14,3.311055e+00
9,10,16,15,1.271704e+00
9,10,17,16,1.822309e+00
9,10,18,17,1.704900e+00
9,10,19,18,9.544571e-01
9,10,20,19,-4.894369e-01
9,10,21,20,8.434292e-01
9,10,22,21,6.883984e-01
9,10,23,22,6.629888e-01
9,10,24,23,8.571605e-01
9,10,25,24,5.964069e-01
9,10,26,25,1.137265e-01
9,10,27,26,1.400638e-01
9,10,28,27,6.077333e-01
9,10,29,28,2.074871e-01
9,10,30,29,-4.925476e-01
9,10,31,30,5.934079e-01
9,10,0,31,4.190517e-01
4,5,1,0,3.825586e+00
4,5,2,1,6.969400e+00
4,5,3,2,1.270725e+01
4,5,7,6,1.864000e+01
4,5,8,7,7.969471e+00
4,5,9,8,3.816217e+00
4,5,10,9,1.727817e+00
4,5,11,10,5.696419e-01
4,5,12,11,2.697113e+00
4,5,13,12,-3.733978e-01
4,5,14,13,-1.066933e-01
4,5,15,14,1.093379e+00
4,5,16,15,2.249217e-01
4,5,17,16,-5.300431e-01
4,5,18,17,-1.176210e+00
4,5,19,18,-3.599265e-01
4,5,20,19,2.313909e+00
4,5,21,20,1.287262e+00
4,5,22,21,4.176734e-01
4,5,23,22,1.407761e+00
4,5,24,23,1.963858e-01
4,5,25,24,1.167456e+00
4,5,26,25,7.210252e-01
4,5,27,26,4.813975e-01
4,5,28,27,1.647224e-01
4,5,29,28,1.698646e-01
4,5,30,29,1.390921e+00
4,5,31,30,1.286623e+00
4,5,0,31,2.323492e+00
14,15,1,0,8.000417e-01
14,15,2,1,3.199176e-01
14,15,3,2,1.667179e-01
14,15,4,3,-2.727392e-01
14,15,5,4,7.396215e-01
14,15,6,5,1.353081e+00
14,15,7,6,1.327252e+00
14,15,8,7,1.516754e+00
14,15,9,8,2.562275e+00
14,15,10,9,3.165988e+00
14,15,11,10,4.190193e+00
14,15,12,11,6.548213e+00
14,15,13,12,2.952925e+00
14,15,17,16,5.496762e+00
