sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.268047e+01
0,16,3,2,-4.264740e+00
0,16,4,3,-9.656376e+00
0,16,5,4,-8.665358e+00
0,16,6,5,-9.895243e+00
0,16,7,6,-1.130301e+01
0,16,8,7,-1.175056e+01
0,16,9,8,-1.043989e+01
0,16,10,9,-9.065621e+00
0,16,11,10,-6.106201e+00
0,16,12,11,-7.374860e+00
0,16,13,12,-3.714043e+00
0,16,14,13,-7.762964e+00
0,16,15,14,-1.630138e+01
0,16,18,17,1.549929e+01
0,16,19,18,9.295296e+00
0,16,20,19,7.048172e+00
0,16,21,20,6.764017e+00
0,16,22,21,7.964162e+00
0,16,23,22,8.505421e+00
0,16,24,23,8.803514e+00
0,16,25,24,7.976309e+00
0,16,26,25,7.420915e+00
0,16,27,26,5.228617e+00
0,16,28,27,5.907001e+00
0,16,29,28,6.692907e+00
0,16,30,29,1.071231e+01
0,16,31,30,1.808182e+01
5,21,1,0,1.209913e+01
5,21,2,1,1.326233e+01
5,21,3,2,1.160141e+01
5,21,4,3,5.762294e+01
5,21,7,6,-4.817419e+01
5,21,8,7,-2.627913e+01
5,21,9,8,-1.616266e+01
5,21,10,9,-9.853933e+00
5,21,11,10,-7.503970e+00
5,21,12,11,-5.284090e+00
5,21,13,12,-3.590752e+00
5,21,14,13,-5.253399e+00
5,21,15,14,-6.016401e+00
5,21,16,15,-5.559532e+00
5,21,17,16,-1.143483e+01
5,21,18,17,-8.396324e+00
5,21,19,18,-9.142464e+00
5,21,20,19,-1.600974e+01
5,21,23,22,2.188813e+01
5,21,24,23,1.364915e+01
5,21,25,24,1.073735e+01
5,21,26,25,7.998929e+00
5,21,27,26,3.139583e+00
5,21,28,27,3.541335e+00
5,21,29,28,5.082359e+00
5,21,30,29,5.901616e+00
5,21,31,30,9.649903e+00
5,21,0,31,1.049080e+01
10,26,1,0,8.227993e+00
10,26,2,1,5.582006e+00
10,26,3,2,3.485223e+00
10,26,4,3,7.146256e+00
10,26,5,4,5.736343e+00
10,26,6,5,1.079808e+01
10,26,7,6,1.533694e+01
10,26,8,7,2.592131e+01
10,26,9,8,4.678598e+01
10,26,12,11,-5.666498e+01
10,26,13,12,-1.098142e+01
10,26,14,13,-1.267982e+01
10,26,15,14,-1.094832e+01
10,26,16,15,-1.024727e+01
10,26,17,16,-9.213324e+00
10,26,18,17,-7.414447e+00
10,26,19,18,-4.735948e+00
10,26,20,19,-4.053077e+00
10,26,21,20,-5.388076e+00
10,26,22,21,-7.380154e+00
10,26,23,22,-1.116486e+01
10,26,24,23,-1.514864e+01
10,26,25,24,-2.156038e+01
10,26,28,27,1.732982e+01
10,26,29,28,1.233905e+01
10,26,30,29,1.097153e+01
10,26,31,30,1.060087e+01
10,26,0,31,8.494090e+00
15,31,1,0,1.582183e+01
15,31,2,1,7.515631e+00
15,31,3,2,2.696210e+00
15,31,4,3,7.615800e+00
15,31,5,4,8.257086e+00
15,31,6,5,8.289486e+00
15,31,7,6,1.027356e+01
15,31,8,7,1.093442e+01
15,31,9,8,1.104247e+01
15,31,10,9,1.049929e+01
15,31,11,10,7.947692e+00
15,31,12,11,1.062764e+01
15,31,13,12,3.973283e+00
15,31,14,13,1.213721e+01
15,31,17,16,-1.783655e+01
