sin+,sin-,v_high,v_low,voltage
0,16,17,1,-1.283434e+02
0,16,18,2,-1.003409e+02
0,16,19,3,-8.955559e+01
0,16,20,4,-7.119379e+01
0,16,21,5,-5.565090e+01
0,16,22,6,-3.751256e+01
0,16,23,7,-1.757044e+01
0,16,24,8,2.203605e+00
0,16,25,9,2.188320e+01
0,16,26,10,3.724949e+01
0,16,27,11,4.896054e+01
0,16,28,12,6.236300e+01
0,16,29,13,7.062810e+01
0,16,30,14,8.961482e+01
0,16,31,15,1.232647e+02
0,16,1,17,1.284643e+02
0,16,2,18,1.010254e+02
0,16,3,19,8.852968e+01
0,16,4,20,7.068062e+01
0,16,5,21,5.548483e+01
0,16,6,22,3.721668e+01
0,16,7,23,1.750561e+01
0,16,8,24,-2.593956e+00
0,16,9,25,-2.078856e+01
0,16,10,26,-3.674881e+01
0,16,11,27,-4.885049e+01
0,16,12,28,-6.285334e+01
0,16,13,29,-7.143025e+01
0,16,14,30,-9.005376e+01
0,16,15,31,-1.225271e+02
5,21,16,0,-5.583114e+01
5,21,17,1,-7.884607e+01
5,21,18,2,-1.025554e+02
5,21,19,3,-1.263964e+02
5,21,20,4,-2.016946e+02
5,21,22,6,-1.734785e+02
5,21,23,7,-1.040872e+02
5,21,24,8,-6.016315e+01
5,21,25,9,-3.362887e+01
5,21,26,10,-1.666348e+01
5,21,27,11,-6.362576e+00
5,21,28,12,5.143772e+00
5,21,29,13,1.032034e+01
5,21,30,14,2.279583e+01
5,21,31,15,3.627701e+01
5,21,0,16,5.691392e+01
5,21,1,17,7.919072e+01
5,21,2,18,1.034552e+02
5,21,3,19,1.268377e+02
5,21,4,20,2.025671e+02
5,21,6,22,1.732147e+02
5,21,7,23,1.037313e+02
5,21,8,24,6.210578e+01
5,21,9,25,3.511507e+01
5,21,10,26,1.622706e+01
5,21,11,27,6.350583e+00
5,21,12,28,-4.801312e+00
5,21,13,29,-1.076381e+01
5,21,14,30,-2.138358e+01
5,21,15,31,-3.670804e+01
10,26,16,0,3.667939e+01
10,26,17,1,2.159001e+01
10,26,18,2,1.006633e+01
10,26,19,3,4.146144e+00
10,26,20,4,-6.115829e+00
10,26,21,5,-1.700491e+01
10,26,22,6,-3.513191e+01
10,26,23,7,-6.213970e+01
10,26,24,8,-1.034841e+02
10,26,25,9,-1.739494e+02
10,26,27,11,-2.020504e+02
10,26,28,12,-1.255499e+02
10,26,29,13,-1.029439e+02
10,26,30,14,-7.844942e+01
10,26,31,15,-5.658136e+01
10,26,0,16,-3.720581e+01
10,26,1,17,-1.841956e+01
10,26,2,18,-1.056229e+01
10,26,3,19,-3.175786e+00
10,26,4,20,4.868939e+00
10,26,5,21,1.578435e+01
10,26,6,22,3.675482e+01
10,26,7,23,6.377083e+01
10,26,8,24,1.047444e+02
10,26,9,25,1.751018e+02
10,26,11,27,2.037100e+02
10,26,12,28,1.277004e+02
10,26,13,29,1.016677e+02
10,26,14,30,7.746473e+01
10,26,15,31,5.482332e+01
15,31,16,0,1.240541e+02
15,31,17,1,9.072325e+01
15,31,18,2,7.108463e+01
15,31,19,3,6.375113e+01
15,31,20,4,4.680014e+01
15,31,21,5,3.853356e+01
15,31,22,6,2.297760e+01
15,31,23,7,9.846221e-01
15,31,24,8,-1.888557e+01
15,31,25,9,-3.672047e+01
15,31,26,10,-5.657714e+01
15,31,27,11,-7.183714e+01
15,31,28,12,-8.933418e+01
15,31,29,13,-9.966014e+01
15,31,30,14,-1.276828e+02
15,31,0,16,-1.230358e+02
15,31,1,17,-9.106316e+01
15,31,2,18,-6.929291e+01
15,31,3,19,-6.399860e+01
15,31,4,20,-4.929075e+01
15,31,5,21,-3.567205e+01
15,31,6,22,-1.947372e+01
15,31,7,23,7.468844e-02
15,31,8,24,1.620654e+01
15,31,9,25,3.526553e+01
15,31,10,26,5.521832e+01
15,31,11,27,6.941266e+01
15,31,12,28,8.919438e+01
15,31,13,29,1.006044e+02
15,31,14,30,1.301862e+02
1,17,16,0,-1.273234e+02
1,17,18,2,-1.450325e+02
1,17,19,3,-1.259644e+02
1,17,20,4,-9.971838e+01
1,17,21,5,-7.900851e+01
1,17,22,6,-5.417668e+01
1,17,23,7,-3.161266e+01
1,17,24,8,-1.081683e+01
1,17,25,9,6.919871e+00
1,17,26,10,2.069768e+01
1,17,27,11,3.324223e+01
1,17,28,12,4.351034e+01
1,17,29,13,4.968976e+01
1,17,30,14,6.671328e+01
1,17,31,15,9.098989e+01
1,17,0,16,1.268898e+02
1,17,2,18,1.448226e+02
1,17,3,19,1.277089e+02
1,17,4,20,9.814173e+01
1,17,5,21,7.776439e+01
1,17,6,22,5.653384e+01
1,17,7,23,3.207264e+01
1,17,8,24,1.023199e+01
1,17,9,25,-7.648659e+00
1,17,10,26,-2.277494e+01
1,17,11,27,-3.157454e+01
1,17,12,28,-4.419859e+01
1,17,13,29,-4.966487e+01
1,17,14,30,-6.576418e+01
1,17,15,31,-8.864208e+01
6,22,16,0,-3.838031e+01
6,22,17,1,-5.475461e+01
6,22,18,2,-7.222580e+01
6,22,19,3,-8.675071e+01
6,22,20,4,-1.240403e+02
6,22,21,5,-1.747589e+02
6,22,23,7,-1.581684e+02
6,22,24,8,-9.402510e+01
6,22,25,9,-5.668380e+01
6,22,26,10,-3.537020e+01
6,22,27,11,-1.966073e+01
6,22,28,12,-1.116051e+01
6,22,29,13,-4.944711e+00
6,22,30,14,6.943940e+00
6,22,31,15,2.025143e+01
6,22,0,16,3.764382e+01
6,22,1,17,5.585079e+01
6,22,2,18,7.476321e+01
6,22,3,19,8.756222e+01
6,22,4,20,1.266660e+02
6,22,5,21,1.755656e+02
6,22,7,23,1.566796e+02
6,22,8,24,9.267939e+01
6,22,9,25,5.522309e+01
6,22,10,26,3.442259e+01
6,22,11,27,2.102028e+01
6,22,12,28,1.229858e+01
6,22,13,29,4.487422e+00
6,22,14,30,-5.543355e+00
6,22,15,31,-2.098201e+01
11,27,16,0,4.822611e+01
11,27,17,1,3.289755e+01
11,27,18,2,2.112802e+01
11,27,19,3,1.458248e+01
11,27,20,4,4.459952e+00
11,27,21,5,-6.301180e+00
11,27,22,6,-2.286020e+01
11,27,23,7,-4.517714e+01
11,27,24,8,-7.677693e+01
11,27,25,9,-1.246947e+02
11,27,26,10,-2.018801e+02
11,27,28,12,-1.731978e+02
11,27,29,13,-1.349145e+02
11,27,30,14,-9.851917e+01
11,27,31,15,-7.159231e+01
11,27,0,16,-4.749197e+01
11,27,1,17,-3.152974e+01
11,27,2,18,-1.907190e+01
11,27,3,19,-1.455099e+01
11,27,4,20,-3.634543e+00
11,27,5,21,5.491068e+00
11,27,6,22,2.190857e+01
11,27,7,23,4.605596e+01
11,27,8,24,7.822229e+01
11,27,9,25,1.258522e+02
11,27,10,26,2.016796e+02
