sin+,sin-,v_high,v_low,voltage
0,31,17,1,-2.103518e+01
0,31,18,2,-1.668531e+01
0,31,19,3,-1.597612e+01
0,31,20,4,-1.190484e+01
0,31,21,5,-1.010867e+01
0,31,22,6,-8.926709e+00
0,31,23,7,-8.310073e+00
0,31,24,8,-9.686984e+00
0,31,25,9,-8.141488e+00
0,31,26,10,-8.114160e+00
0,31,27,11,-8.204589e+00
0,31,28,12,-1.160591e+01
0,31,29,13,-1.437250e+01
0,31,30,14,-1.873169e+01
0,31,1,17,2.037619e+01
0,31,2,18,1.645762e+01
0,31,3,19,1.637704e+01
0,31,4,20,1.319538e+01
0,31,5,21,1.012344e+01
0,31,6,22,9.294466e+00
0,31,7,23,6.772137e+00
0,31,8,24,7.437944e+00
0,31,9,25,9.149194e+00
0,31,10,26,7.946697e+00
0,31,11,27,9.488649e+00
0,31,12,28,1.224043e+01
0,31,13,29,1.366890e+01
0,31,14,30,1.753525e+01
24,25,16,0,8.277479e+00
24,25,17,1,7.357702e+00
24,25,18,2,7.247590e+00
24,25,19,3,8.396513e+00
24,25,20,4,9.133682e+00
24,25,21,5,9.850676e+00
24,25,22,6,1.332896e+01
24,25,23,7,1.824129e+01
24,25,26,10,-2.204647e+01
24,25,27,11,-1.796098e+01
24,25,28,12,-1.434981e+01
24,25,29,13,-1.190048e+01
24,25,30,14,-8.974040e+00
24,25,31,15,-7.886903e+00
24,25,0,16,-7.365310e+00
24,25,1,17,-9.226142e+00
24,25,2,18,-7.187100e+00
24,25,3,19,-8.132618e+00
24,25,4,20,-1.080520e+01
24,25,5,21,-9.561532e+00
24,25,6,22,-1.232680e+01
24,25,7,23,-1.792916e+01
24,25,10,26,2.201913e+01
24,25,11,27,1.667383e+01
24,25,12,28,1.286989e+01
24,25,13,29,1.152415e+01
24,25,14,30,1.078626e+01
24,25,15,31,9.578090e+00
19,20,16,0,6.057415e+00
19,20,17,1,1.144930e+01
19,20,18,2,1.899226e+01
19,20,21,5,-1.840469e+01
19,20,22,6,-1.011623e+01
19,20,23,7,-6.180986e+00
19,20,24,8,-6.133674e+00
19,20,25,9,-4.842759e+00
19,20,26,10,-5.553529e+00
19,20,27,11,-3.536582e+00
19,20,28,12,-5.508080e+00
19,20,29,13,-5.309119e+00
19,20,30,14,-3.956343e+00
19,20,31,15,-4.961165e+00
19,20,0,16,-6.042962e+00
19,20,1,17,-1.040222e+01
19,20,2,18,-1.891399e+01
19,20,5,21,1.842710e+01
19,20,6,22,1.027176e+01
19,20,7,23,6.797236e+00
19,20,8,24,5.201037e+00
19,20,9,25,4.483933e+00
19,20,10,26,5.154999e+00
19,20,11,27,5.258857e+00
19,20,12,28,4.555538e+00
19,20,13,29,4.217036e+00
19,20,14,30,5.367197e+00
19,20,15,31,5.379438e+00
9,10,16,0,-9.330155e+00
9,10,17,1,-8.028355e+00
9,10,18,2,-7.989952e+00
9,10,19,3,-7.139085e+00
9,10,20,4,-8.830288e+00
9,10,21,5,-1.073925e+01
9,10,22,6,-1.359992e+01
9,10,23,7,-2.171678e+01
9,10,24,8,-4.003295e+01
9,10,27,11,5.355526e+01
9,10,28,12,2.231459e+01
9,10,29,13,1.670682e+01
9,10,30,14,1.233448e+01
9,10,31,15,1.099213e+01
9,10,0,16,1.019939e+01
9,10,1,17,8.274626e+00
9,10,2,18,7.414781e+00
9,10,3,19,7.081725e+00
9,10,4,20,9.020311e+00
