sin+,sin-,v_high,v_low,voltage
0,1,3,2,3.830168e-05
0,1,4,3,6.463873e-05
0,1,5,4,2.967424e-05
0,1,6,5,2.991177e-05
0,1,7,6,1.971649e-05
0,1,8,7,1.559700e-05
0,1,9,8,1.088402e-05
0,1,10,9,5.315548e-06
0,1,11,10,-6.894275e-06
0,1,12,11,5.312018e-06
0,1,13,12,-2.194626e-06
0,1,14,13,3.064509e-06
0,1,15,14,3.612000e-06
0,1,16,15,-3.899833e-07
0,1,17,16,2.393326e-06
0,1,18,17,3.127213e-06
0,1,19,18,3.205877e-06
0,1,20,19,1.032705e-05
0,1,21,20,3.182405e-06
0,1,22,21,8.405521e-06
0,1,23,22,4.352040e-06
0,1,24,23,6.920531e-06
0,1,25,24,8.892113e-06
0,1,26,25,8.795975e-06
0,1,27,26,9.000765e-06
0,1,28,27,5.253979e-06
0,1,29,28,2.922859e-06
0,1,30,29,3.084096e-05
0,1,31,30,4.354555e-05
1,2,4,3,1.413686e-04
1,2,5,4,5.991367e-05
1,2,6,5,4.697245e-05
1,2,7,6,3.038821e-05
1,2,8,7,1.428071e-05
1,2,9,8,6.142782e-06
1,2,10,9,9.914419e-06
1,2,11,10,-9.470411e-06
1,2,12,11,-1.723363e-06
1,2,13,12,4.376140e-07
1,2,14,13,1.169088e-06
1,2,15,14,3.540200e-06
1,2,16,15,-6.098797e-06
1,2,17,16,5.771018e-06
1,2,18,17,1.188711e-06
1,2,19,18,1.784909e-06
1,2,20,19,9.498459e-07
1,2,21,20,1.767275e-08
1,2,22,21,-3.786073e-06
1,2,23,22,5.532463e-06
1,2,24,23,5.091624e-06
1,2,25,24,3.250685e-06
1,2,26,25,4.503338e-06
1,2,27,26,3.197554e-06
1,2,28,27,4.865667e-06
1,2,29,28,1.220371e-05
1,2,30,29,1.408236e-05
1,2,31,30,1.431893e-05
1,2,0,31,4.547659e-05
2,3,1,0,2.161371e-05
2,3,5,4,1.194092e-04
2,3,6,5,6.377702e-05
2,3,7,6,3.450412e-05
2,3,8,7,1.056348e-05
2,3,9,8,4.006337e-06
2,3,10,9,2.856630e-06
2,3,11,10,-1.148596e-05
2,3,12,11,9.383595e-06
2,3,13,12,4.343140e-06
2,3,14,13,-5.187038e-07
2,3,15,14,1.250807e-06
2,3,16,15,1.907168e-06
2,3,17,16,1.099808e-06
2,3,18,17,1.545080e-07
2,3,19,18,-2.555000e-06
2,3,20,19,-5.923075e-06
2,3,21,20,1.658745e-06
2,3,22,21,3.007551e-06
2,3,23,22,-1.726006e-06
2,3,24,23,6.704695e-06
2,3,25,24,5.218639e-06
2,3,26,25,4.142109e-06
2,3,27,26,1.163770e-06
2,3,28,27,-6.466044e-06
2,3,29,28,3.283540e-06
2,3,30,29,5.150377e-06
2,3,31,30,5.937023e-06
2,3,0,31,1.255854e-05
3,4,1,0,6.506593e-05
3,4,2,1,1.540499e-04
3,4,6,5,3.009415e-04
3,4,7,6,1.298718e-04
3,4,8,7,6.291964e-05
3,4,9,8,2.937297e-05
3,4,10,9,1.450018e-05
3,4,11,10,-2.260469e-07
3,4,12,11,7.643808e-06
3,4,13,12,2.611763e-06
3,4,14,13,2.748737e-06
3,4,15,14,3.620393e-06
3,4,16,15,3.732986e-06
3,4,17,16,5.255626e-06
3,4,18,17,4.293396e-06
3,4,19,18,8.390933e-07
3,4,20,19,-7.268948e-06
3,4,21,20,-7.016534e-07
3,4,22,21,4.602988e-06
3,4,23,22,5.138301e-06
3,4,24,23,8.530283e-06
3,4,25,24,1.376035e-05
3,4,26,25,4.618149e-06
3,4,27,26,5.109291e-06
3,4,28,27,5.055630e-06
3,4,29,28,1.118308e-05
3,4,30,29,8.671598e-06
3,4,31,30,2.308277e-05
3,4,0,31,2.864833e-05
4,5,1,0,4.316122e-05
4,5,2,1,6.756416e-05
4,5,3,2,1.145289e-04
4,5,7,6,1.759084e-04
4,5,8,7,7.999192e-05
4,5,9,8,4.244970e-05
4,5,10,9,1.864730e-05
4,5,11,10,6.530214e-06
4,5,12,11,7.459034e-06
4,5,13,12,-3.893117e-06
4,5,14,13,-5.285484e-06
4,5,15,14,1.421950e-05
4,5,16,15,-1.088598e-06
4,5,17,16,-2.419965e-05
4,5,18,17,-1.485706e-05
4,5,19,18,7.805830e-06
4,5,20,19,-1.429245e-05
4,5,21,20,-6.659897e-06
4,5,22,21,-5.602877e-06
4,5,23,22,-3.396536e-06
4,5,24,23,-2.933745e-05
4,5,25,24,2.425157e-05
4,5,26,25,3.282141e-05
4,5,27,26,3.558405e-05
4,5,28,27,2.589980e-05
4,5,29,28,-1.190057e-05
4,5,30,29,3.589673e-05
4,5,31,30,3.682816e-05
4,5,0,31,3.407434e-05
5,6,1,0,9.292623e-06
5,6,2,1,3.639628e-05
5,6,3,2,6.977018e-05
5,6,4,3,2.714268e-04
5,6,8,7,2.015358e-04
5,6,9,8,9.734851e-05
5,6,10,9,6.393127e-05
5,6,11,10,3.533292e-05
5,6,12,11,8.394300e-06
5,6,13,12,-1.613820e-05
5,6,14,13,-1.548774e-05
5,6,15,14,-6.869316e-06
5,6,16,15,-2.036332e-05
5,6,17,16,-2.908508e-07
5,6,18,17,3.404899e-06
5,6,19,18,-2.149590e-05
5,6,20,19,1.144392e-05
5,6,21,20,-1.354031e-05
5,6,22,21,-4.777961e-06
5,6,23,22,-4.527058e-06
5,6,24,23,3.995934e-06
5,6,25,24,1.891931e-05
5,6,26,25,1.347898e-05
5,6,27,26,8.006568e-06
5,6,28,27,-2.290754e-05
5,6,29,28,1.950893e-05
5,6,30,29,5.122145e-06
5,6,31,30,-4.228945e-06
5,6,0,31,2.651936e-05
6,7,1,0,1.029031e-05
6,7,2,1,1.587071e-05
6,7,3,2,1.997434e-05
6,7,4,3,1.396270e-04
6,7,5,4,1.792281e-04
6,7,9,8,1.834242e-04
6,7,10,9,9.493546e-05
6,7,11,10,3.483519e-05
6,7,12,11,3.757391e-05
6,7,13,12,9.664804e-06
6,7,14,13,1.339292e-05
6,7,15,14,1.154913e-05
6,7,16,15,1.024548e-05
6,7,17,16,8.404721e-06
6,7,18,17,1.256651e-05
6,7,19,18,8.351194e-06
6,7,20,19,5.935943e-06
6,7,21,20,4.739612e-06
6,7,22,21,1.260987e-06
6,7,23,22,5.644535e-06
6,7,24,23,5.693356e-06
6,7,25,24,8.419932e-06
6,7,26,25,8.297414e-06
6,7,27,26,6.248314e-06
6,7,28,27,-1.800964e-05
6,7,29,28,-2.245270e-06
6,7,30,29,3.165703e-05
6,7,31,30,1.360242e-05
6,7,0,31,1.100495e-05
7,8,1,0,1.948008e-05
7,8,2,1,1.600448e-05
7,8,3,2,8.384434e-06
7,8,4,3,6.515742e-05
7,8,5,4,8.905639e-05
7,8,6,5,1.978228e-04
7,8,10,9,2.003116e-04
7,8,11,10,8.408012e-05
7,8,12,11,5.160882e-05
7,8,13,12,1.664093e-05
7,8,14,13,9.315317e-06
7,8,15,14,8.710030e-06
7,8,16,15,-8.478069e-06
7,8,17,16,3.621022e-06
7,8,18,17,1.463479e-05
7,8,19,18,3.720628e-06
7,8,20,19,-5.784746e-09
7,8,21,20,9.519574e-07
7,8,22,21,1.435089e-05
7,8,23,22,1.611717e-05
7,8,24,23,1.253462e-05
7,8,25,24,1.810498e-05
7,8,26,25,5.177629e-06
7,8,27,26,4.845351e-06
7,8,28,27,8.692384e-07
7,8,29,28,4.914306e-06
7,8,30,29,3.768945e-06
7,8,31,30,1.093880e-05
7,8,0,31,1.229136e-05
8,9,1,0,1.396562e-05
8,9,2,1,1.047905e-05
8,9,3,2,4.962821e-06
8,9,4,3,3.081289e-05
8,9,5,4,4.232346e-05
8,9,6,5,8.627177e-05
8,9,7,6,1.935646e-04
8,9,11,10,1.798982e-04
8,9,12,11,1.318740e-04
8,9,13,12,2.597327e-05
8,9,14,13,2.895280e-05
8,9,15,14,2.125510e-05
8,9,16,15,1.264779e-05
8,9,17,16,1.295044e-05
8,9,18,17,3.596184e-06
8,9,19,18,9.946682e-06
8,9,20,19,5.207808e-06
8,9,21,20,1.159462e-06
8,9,22,21,1.267783e-05
8,9,23,22,2.282366e-06
8,9,24,23,1.087823e-05
8,9,25,24,2.912479e-06
8,9,26,25,4.556794e-06
8,9,27,26,2.083626e-06
8,9,28,27,4.168774e-06
8,9,29,28,5.408952e-06
8,9,30,29,-9.224078e-07
8,9,31,30,1.257695e-05
8,9,0,31,3.021019e-06
9,10,1,0,2.935824e-06
9,10,2,1,1.558442e-05
9,10,3,2,9.196613e-06
9,10,4,3,4.291770e-06
9,10,5,4,4.052586e-06
9,10,6,5,3.397408e-05
9,10,7,6,7.572085e-05
9,10,8,7,1.961906e-04
9,10,12,11,3.007711e-04
9,10,13,12,6.077457e-05
9,10,14,13,4.452993e-05
9,10,15,14,3.404415e-05
9,10,16,15,1.484708e-05
9,10,17,16,1.462594e-05
9,10,18,17,1.267786e-05
9,10,19,18,7.323790e-06
9,10,20,19,2.473540e-06
9,10,21,20,4.459343e-06
9,10,22,21,6.205468e-06
9,10,23,22,7.866300e-06
9,10,24,23,7.680362e-06
9,10,25,24,8.687122e-06
9,10,26,25,1.326594e-06
9,10,27,26,7.500274e-07
9,10,28,27,1.795244e-06
9,10,29,28,6.976779e-06
9,10,30,29,1.405204e-05
9,10,31,30,1.329783e-05
9,10,0,31,9.439465e-06
10,11,1,0,1.189728e-05
10,11,2,1,-6.620101e-06
10,11,3,2,-5.296431e-06
10,11,4,3,1.513053e-05
10,11,5,4,-1.676211e-06
10,11,6,5,1.137735e-05
10,11,7,6,4.231662e-05
10,11,8,7,9.243049e-05
10,11,9,8,1.805944e-04
10,11,13,12,1.029420e-04
10,11,14,13,6.045030e-05
