sin+,sin-,v_high,v_low,voltage
0,1,18,2,2.504435e-04
0,1,19,3,2.333834e-04
0,1,20,4,1.466497e-04
0,1,21,5,1.234938e-04
0,1,22,6,8.547891e-05
0,1,23,7,6.787471e-05
0,1,24,8,6.697169e-05
0,1,25,9,6.471128e-05
0,1,26,10,5.135084e-05
0,1,27,11,7.880648e-05
0,1,28,12,7.901477e-05
0,1,29,13,1.062179e-04
0,1,30,14,9.878734e-05
0,1,31,15,1.644483e-04
0,1,2,18,-2.519455e-04
0,1,3,19,-2.146281e-04
0,1,4,20,-1.544478e-04
0,1,5,21,-1.196632e-04
0,1,6,22,-1.014933e-04
0,1,7,23,-7.822456e-05
0,1,8,24,-6.470776e-05
0,1,9,25,-6.671396e-05
0,1,10,26,-7.116650e-05
0,1,11,27,-5.360070e-05
0,1,12,28,-8.409445e-05
0,1,13,29,-7.860154e-05
0,1,14,30,-1.102857e-04
0,1,15,31,-1.487132e-04
1,2,16,0,-1.180181e-04
1,2,19,3,3.428523e-04
1,2,20,4,1.937507e-04
1,2,21,5,1.287593e-04
1,2,22,6,8.423105e-05
1,2,23,7,5.981779e-05
1,2,24,8,5.483178e-05
1,2,25,9,3.775418e-05
1,2,26,10,3.988152e-05
1,2,27,11,5.064953e-05
1,2,28,12,4.107820e-05
1,2,29,13,6.299720e-05
1,2,30,14,6.107926e-05
1,2,31,15,7.850419e-05
1,2,0,16,1.244394e-04
1,2,3,19,-3.424269e-04
1,2,4,20,-1.955057e-04
1,2,5,21,-1.257532e-04
1,2,6,22,-8.883732e-05
1,2,7,23,-6.130907e-05
1,2,8,24,-4.877071e-05
1,2,9,25,-4.045655e-05
1,2,10,26,-4.826940e-05
1,2,11,27,-4.403125e-05
1,2,12,28,-4.828954e-05
1,2,13,29,-5.064022e-05
1,2,14,30,-6.112787e-05
1,2,15,31,-7.996429e-05
2,3,16,0,-4.214353e-05
2,3,17,1,-6.935985e-05
2,3,20,4,2.309704e-04
2,3,21,5,1.138530e-04
2,3,22,6,6.405997e-05
2,3,23,7,3.805646e-05
2,3,24,8,2.647236e-05
