sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.297107e-04
0,16,3,2,-3.275455e-05
0,16,4,3,-1.069216e-04
0,16,5,4,-8.803465e-05
0,16,6,5,-9.433112e-05
0,16,7,6,-1.004022e-04
0,16,8,7,-8.920445e-05
0,16,9,8,-9.088073e-05
0,16,10,9,-9.376899e-05
0,16,11,10,-7.622210e-05
0,16,12,11,-7.063914e-05
0,16,13,12,-2.827358e-05
0,16,14,13,-8.054079e-05
0,16,15,14,-1.480918e-04
0,16,18,17,1.578730e-04
0,16,19,18,7.778407e-05
0,16,20,19,9.169549e-05
0,16,21,20,7.634862e-05
0,16,22,21,9.054691e-05
0,16,23,22,9.224456e-05
0,16,24,23,1.017159e-04
0,16,25,24,7.540021e-05
0,16,26,25,8.107990e-05
0,16,27,26,6.160248e-05
0,16,28,27,2.990296e-05
0,16,29,28,3.984506e-05
0,16,30,29,8.607410e-05
0,16,31,30,1.702057e-04
1,17,3,2,-8.679600e-05
1,17,4,3,-1.890214e-04
1,17,5,4,-9.663279e-05
1,17,6,5,-1.407059e-04
1,17,7,6,-1.206532e-04
1,17,8,7,-1.081769e-04
1,17,9,8,-8.678529e-05
1,17,10,9,-8.796906e-05
1,17,11,10,-4.841911e-05
1,17,12,11,-7.803997e-05
1,17,13,12,-2.886942e-05
1,17,14,13,-6.765924e-05
1,17,15,14,-1.118801e-04
1,17,16,15,-1.848191e-04
1,17,19,18,1.444954e-04
1,17,20,19,1.128582e-04
1,17,21,20,9.549414e-05
1,17,22,21,1.081809e-04
1,17,23,22,1.069847e-04
1,17,24,23,8.025436e-05
1,17,25,24,7.655848e-05
1,17,26,25,5.594768e-05
1,17,27,26,4.657484e-05
1,17,28,27,5.296810e-05
1,17,29,28,5.927165e-05
1,17,30,29,7.791525e-05
1,17,31,30,1.237561e-04
1,17,0,31,2.023509e-04
2,18,1,0,2.395397e-04
2,18,4,3,-3.175602e-04
2,18,5,4,-1.853368e-04
2,18,6,5,-1.718196e-04
2,18,7,6,-1.545556e-04
2,18,8,7,-1.345414e-04
2,18,9,8,-1.095046e-04
2,18,10,9,-8.590046e-05
2,18,11,10,-5.856937e-05
2,18,12,11,-6.193806e-05
