sin+,sin-,v_high,v_low,voltage
0,16,17,1,-1.274948e-03
0,16,18,2,-1.013758e-03
0,16,19,3,-8.759503e-04
0,16,20,4,-7.194135e-04
0,16,21,5,-5.520409e-04
0,16,22,6,-3.810253e-04
0,16,23,7,-1.776525e-04
0,16,24,8,1.961570e-05
0,16,25,9,2.200613e-04
0,16,26,10,3.530136e-04
0,16,27,11,4.908197e-04
0,16,28,12,6.202185e-04
0,16,29,13,7.012126e-04
0,16,30,14,9.017488e-04
0,16,31,15,1.235114e-03
0,16,1,17,1.277030e-03
0,16,2,18,1.000242e-03
0,16,3,19,8.856818e-04
0,16,4,20,7.143909e-04
0,16,5,21,5.594331e-04
0,16,6,22,3.642366e-04
0,16,7,23,1.710051e-04
0,16,8,24,-1.962834e-05
0,16,9,25,-2.115158e-04
0,16,10,26,-3.670618e-04
0,16,11,27,-4.887137e-04
0,16,12,28,-6.209092e-04
0,16,13,29,-7.072645e-04
0,16,14,30,-8.976691e-04
0,16,15,31,-1.230430e-03
1,17,16,0,-1.283710e-03
1,17,18,2,-1.463157e-03
1,17,19,3,-1.267335e-03
1,17,20,4,-9.904382e-04
1,17,21,5,-7.778187e-04
1,17,22,6,-5.522274e-04
1,17,23,7,-3.266502e-04
1,17,24,8,-1.133265e-04
1,17,25,9,6.363062e-05
1,17,26,10,2.165736e-04
1,17,27,11,3.188192e-04
1,17,28,12,4.344698e-04
1,17,29,13,5.099975e-04
1,17,30,14,6.512103e-04
1,17,31,15,9.031743e-04
1,17,0,16,1.285770e-03
1,17,2,18,1.459436e-03
1,17,3,19,1.253353e-03
1,17,4,20,9.890364e-04
1,17,5,21,7.851729e-04
1,17,6,22,5.613216e-04
1,17,7,23,3.313783e-04
1,17,8,24,1.206769e-04
1,17,9,25,-5.676820e-05
1,17,10,26,-2.104131e-04
1,17,11,27,-3.226391e-04
1,17,12,28,-4.328608e-04
1,17,13,29,-5.077753e-04
1,17,14,30,-6.532623e-04
1,17,15,31,-8.973873e-04
2,18,16,0,-1.004551e-03
2,18,17,1,-1.460942e-03
2,18,19,3,-1.841853e-03
2,18,20,4,-1.344167e-03
2,18,21,5,-1.030170e-03
2,18,22,6,-7.282154e-04
2,18,23,7,-4.602905e-04
2,18,24,8,-2.374010e-04
2,18,25,9,-3.939244e-05
2,18,26,10,1.057486e-04
2,18,27,11,2.053535e-04
2,18,28,12,3.199083e-04
2,18,29,13,3.922544e-04
2,18,30,14,5.221157e-04
2,18,31,15,7.008714e-04
2,18,0,16,1.008951e-03
2,18,1,17,1.461277e-03
2,18,3,19,1.835062e-03
2,18,4,20,1.338956e-03
2,18,5,21,1.035190e-03
2,18,6,22,7.352915e-04
2,18,7,23,4.605908e-04
2,18,8,24,2.214462e-04
2,18,9,25,3.973019e-05
2,18,10,26,-1.038115e-04
2,18,11,27,-2.014590e-04
2,18,12,28,-3.135164e-04
2,18,13,29,-3.706584e-04
2,18,14,30,-5.107999e-04
2,18,15,31,-7.074437e-04
3,19,16,0,-8.820494e-04
3,19,17,1,-1.263340e-03
3,19,18,2,-1.832244e-03
3,19,20,4,-1.759912e-03
3,19,21,5,-1.259597e-03
3,19,22,6,-8.721120e-04
3,19,23,7,-5.543994e-04
3,19,24,8,-3.108742e-04
3,19,25,9,-1.060938e-04
3,19,26,10,3.424251e-05
3,19,27,11,1.429219e-04
3,19,28,12,2.440890e-04
3,19,29,13,3.148246e-04
