sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.431929e+01
0,16,3,2,-2.338331e+00
0,16,4,3,-1.103228e+01
0,16,5,4,-8.469661e+00
0,16,6,5,-9.786513e+00
0,16,7,6,-1.164385e+01
0,16,8,7,-1.068372e+01
0,16,9,8,-1.063883e+01
0,16,10,9,-7.632475e+00
0,16,11,10,-6.216138e+00
0,16,12,11,-6.906744e+00
0,16,13,12,-2.941161e+00
0,16,14,13,-2.376341e+01
0,16,15,14,1.672379e+01
0,16,18,17,1.502469e+01
0,16,19,18,7.465445e+00
0,16,20,19,5.347389e+00
0,16,21,20,2.335358e+00
0,16,22,21,2.051215e+01
0,16,23,22,6.036644e+00
0,16,24,23,7.440175e+00
0,16,25,24,8.370110e+00
0,16,26,25,7.541940e+00
0,16,27,26,5.118516e+00
0,16,28,27,5.305668e+00
0,16,29,28,6.325651e+00
0,16,30,29,1.005366e+01
0,16,31,30,1.739529e+01
1,17,3,2,-6.999495e+00
1,17,4,3,-1.604128e+01
1,17,5,4,-1.230475e+01
1,17,6,5,-1.283834e+01
1,17,7,6,-1.233697e+01
1,17,8,7,-1.087345e+01
1,17,9,8,-1.014089e+01
1,17,10,9,-7.856860e+00
1,17,11,10,-6.156920e+00
1,17,12,11,-6.303634e+00
1,17,13,12,-1.776372e+00
1,17,14,13,-1.634500e+01
1,17,15,14,1.070163e+01
1,17,16,15,-2.975646e+01
1,17,19,18,1.171110e+01
1,17,20,19,8.269504e+00
1,17,21,20,4.659028e+00
1,17,22,21,2.600970e+01
1,17,23,22,6.097277e+00
1,17,24,23,7.732429e+00
1,17,25,24,8.138353e+00
1,17,26,25,7.125461e+00
1,17,27,26,5.358208e+00
1,17,28,27,5.424075e+00
1,17,29,28,5.656910e+00
1,17,30,29,8.673243e+00
1,17,31,30,1.289195e+01
1,17,0,31,2.059533e+01
2,18,1,0,2.424998e+01
2,18,4,3,-3.082266e+01
2,18,5,4,-1.924045e+01
2,18,6,5,-1.741317e+01
2,18,7,6,-1.533806e+01
2,18,8,7,-1.273861e+01
2,18,9,8,-9.536640e+00
2,18,10,9,-7.613598e+00
2,18,11,10,-5.297875e+00
2,18,12,11,-5.302919e+00
2,18,13,12,-1.793070e+00
2,18,14,13,-1.338702e+01
2,18,15,14,8.335793e+00
2,18,16,15,-2.316328e+01
2,18,17,16,-2.183126e+01
2,18,20,19,1.508155e+01
2,18,21,20,7.806987e+00
2,18,22,21,3.459125e+01
2,18,23,22,6.948244e+00
2,18,24,23,8.068444e+00
2,18,25,24,8.520606e+00
2,18,26,25,6.813696e+00
2,18,27,26,4.866431e+00
2,18,28,27,5.086442e+00
2,18,29,28,5.295250e+00
2,18,30,29,8.915161e+00
2,18,31,30,1.079363e+01
2,18,0,31,1.498244e+01
3,19,1,0,2.157152e+01
3,19,2,1,3.389821e+01
3,19,5,4,-3.021318e+01
3,19,6,5,-2.317090e+01
3,19,7,6,-1.759085e+01
3,19,8,7,-1.365893e+01
