sin+,sin-,v_high,v_low,voltage
0,1,0,1,6.370293e-04
1,2,1,2,6.506866e-04
2,3,2,3,7.603335e-04
3,4,3,4,2.001000e-03
4,5,4,5,1.823361e-03
5,6,5,6,1.796167e-03
6,7,6,7,1.787852e-03
7,8,7,8,1.784223e-03
8,9,8,9,1.788529e-03
9,10,9,10,1.795576e-03
10,11,10,11,1.822178e-03
11,12,11,12,1.999555e-03
12,13,12,13,7.584658e-04
13,14,13,14,1.047927e-03
14,15,14,15,6.308948e-04
15,16,15,16,1.012116e-03
16,17,16,17,6.324373e-04
17,18,17,18,6.309493e-04
18,19,18,19,6.472478e-04
19,20,19,20,7.951192e-04
20,21,20,21,6.835192e-04
21,22,21,22,1.779906e-03
22,23,22,23,6.807883e-04
23,24,23,24,6.427388e-04
24,25,24,25,6.390222e-04
25,26,25,26,6.362571e-04
26,27,26,27,6.427414e-04
27,28,27,28,7.756926e-04
28,29,28,29,6.428123e-04
29,30,29,30,6.360799e-04
30,31,30,31,6.320100e-04
31,0,31,0,6.325773e-04
