sin+,sin-,v_high,v_low,voltage
0,1,3,2,1.859814e-05
0,1,4,3,5.610166e-05
0,1,5,4,4.595030e-05
0,1,6,5,2.565284e-05
0,1,7,6,1.484236e-05
0,1,8,7,1.162450e-05
0,1,9,8,1.069206e-05
0,1,10,9,1.223134e-05
0,1,11,10,3.996705e-06
0,1,12,11,4.108525e-06
0,1,13,12,1.332110e-06
0,1,14,13,2.602409e-06
0,1,15,14,-3.188591e-06
0,1,16,15,6.651895e-06
0,1,17,16,-2.757017e-06
0,1,18,17,2.349435e-06
0,1,19,18,2.588815e-06
0,1,20,19,7.000037e-06
0,1,21,20,-2.778771e-07
0,1,22,21,1.459386e-05
0,1,23,22,3.805873e-06
0,1,24,23,3.356638e-06
0,1,25,24,8.821997e-06
0,1,26,25,6.540808e-06
0,1,27,26,1.534156e-05
0,1,28,27,9.720654e-06
0,1,29,28,6.218983e-06
0,1,30,29,2.483086e-05
0,1,31,30,5.387127e-05
1,2,4,3,1.433227e-04
1,2,5,4,6.702596e-05
1,2,6,5,4.530972e-05
1,2,7,6,2.871276e-05
1,2,8,7,1.721006e-05
1,2,9,8,8.363228e-06
1,2,10,9,5.544523e-06
1,2,11,10,6.844649e-06
1,2,12,11,2.593405e-06
1,2,13,12,3.184533e-06
1,2,14,13,4.342523e-06
1,2,15,14,-1.962630e-06
1,2,16,15,6.368016e-06
1,2,17,16,-6.575264e-07
1,2,18,17,8.391259e-07
1,2,19,18,3.914178e-06
1,2,20,19,-6.992826e-07
1,2,21,20,6.498478e-07
1,2,22,21,6.725889e-06
1,2,23,22,2.584174e-06
1,2,24,23,6.077141e-06
1,2,25,24,-2.110666e-06
1,2,26,25,4.084695e-06
1,2,27,26,6.520747e-06
1,2,28,27,9.959364e-06
1,2,29,28,5.443082e-06
1,2,30,29,1.616296e-05
1,2,31,30,2.217728e-05
1,2,0,31,5.094760e-05
2,3,1,0,2.844365e-05
2,3,5,4,1.125806e-04
2,3,6,5,5.471415e-05
2,3,7,6,3.045354e-05
2,3,8,7,1.401010e-05
2,3,9,8,1.122076e-05
2,3,10,9,9.156213e-06
2,3,11,10,-8.444633e-06
2,3,12,11,-6.453156e-06
2,3,13,12,-4.322344e-06
2,3,14,13,-1.027047e-06
2,3,15,14,3.898665e-06
2,3,16,15,-1.480909e-05
2,3,17,16,-2.861978e-06
2,3,18,17,1.223009e-06
2,3,19,18,1.000322e-05
2,3,20,19,1.102563e-05
2,3,21,20,1.265108e-07
2,3,22,21,-8.486560e-06
2,3,23,22,-8.135364e-06
2,3,24,23,1.601739e-05
2,3,25,24,8.213173e-06
2,3,26,25,1.448601e-05
2,3,27,26,-4.197316e-06
2,3,28,27,-1.209567e-06
2,3,29,28,6.214471e-06
2,3,30,29,-3.415430e-06
2,3,31,30,1.008004e-05
2,3,0,31,1.809231e-05
3,4,1,0,6.075647e-05
3,4,2,1,1.420862e-04
3,4,6,5,3.021636e-04
3,4,7,6,1.245240e-04
3,4,8,7,6.804631e-05
3,4,9,8,3.093610e-05
3,4,10,9,5.828660e-06
3,4,11,10,1.091089e-05
3,4,12,11,1.340397e-05
3,4,13,12,-4.438456e-07
3,4,14,13,2.915195e-06
3,4,15,14,-1.158582e-05
3,4,16,15,7.482753e-06
3,4,17,16,-1.835613e-06
