sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.297533e-04
0,16,3,2,-4.041071e-05
0,16,4,3,-1.073522e-04
0,16,5,4,-9.195170e-05
0,16,6,5,-1.112106e-04
0,16,7,6,-1.128794e-04
0,16,8,7,-1.025712e-04
0,16,9,8,-9.809620e-05
0,16,10,9,-8.679699e-05
0,16,11,10,-6.506875e-05
0,16,12,11,-7.102873e-05
0,16,13,12,-2.300365e-05
0,16,14,13,-2.305220e-04
0,16,15,14,1.491760e-04
0,16,18,17,1.409861e-04
0,16,19,18,7.125617e-05
0,16,20,19,4.120223e-05
0,16,21,20,3.872108e-05
0,16,22,21,2.114257e-04
0,16,23,22,5.538485e-05
0,16,24,23,7.484214e-05
0,16,25,24,8.045931e-05
0,16,26,25,7.187019e-05
0,16,27,26,5.579260e-05
0,16,28,27,5.878277e-05
0,16,29,28,6.640510e-05
0,16,30,29,1.073467e-04
0,16,31,30,1.709313e-04
1,17,3,2,-6.897773e-05
1,17,4,3,-1.677648e-04
1,17,5,4,-1.258919e-04
1,17,6,5,-1.352127e-04
1,17,7,6,-1.339340e-04
1,17,8,7,-1.142635e-04
1,17,9,8,-1.038571e-04
1,17,10,9,-7.669770e-05
1,17,11,10,-5.279173e-05
1,17,12,11,-5.553071e-05
1,17,13,12,-2.305005e-05
1,17,14,13,-1.653261e-04
1,17,15,14,1.060867e-04
1,17,16,15,-3.008386e-04
1,17,19,18,1.164668e-04
1,17,20,19,7.749665e-05
1,17,21,20,4.947541e-05
1,17,22,21,2.669641e-04
1,17,23,22,5.631869e-05
1,17,24,23,7.355182e-05
1,17,25,24,8.243538e-05
1,17,26,25,7.531245e-05
1,17,27,26,5.453319e-05
1,17,28,27,5.310374e-05
1,17,29,28,6.371976e-05
1,17,30,29,8.974526e-05
1,17,31,30,1.255621e-04
1,17,0,31,1.968343e-04
2,18,1,0,2.427810e-04
2,18,4,3,-3.078093e-04
2,18,5,4,-1.906322e-04
2,18,6,5,-1.732091e-04
2,18,7,6,-1.531309e-04
2,18,8,7,-1.237450e-04
2,18,9,8,-1.036890e-04
2,18,10,9,-7.324398e-05
2,18,11,10,-5.262267e-05
2,18,12,11,-5.369279e-05
2,18,13,12,-2.069639e-05
2,18,14,13,-1.334179e-04
2,18,15,14,8.682760e-05
2,18,16,15,-2.328208e-04
2,18,17,16,-2.194754e-04
2,18,20,19,1.600559e-04
2,18,21,20,7.806402e-05
2,18,22,21,3.467204e-04
2,18,23,22,7.287630e-05
2,18,24,23,8.233851e-05
2,18,25,24,8.396622e-05
2,18,26,25,6.638591e-05
2,18,27,26,5.093322e-05
2,18,28,27,5.431025e-05
2,18,29,28,5.188809e-05
2,18,30,29,8.297695e-05
2,18,31,30,1.109479e-04
2,18,0,31,1.635502e-04
3,19,1,0,2.162782e-04
3,19,2,1,3.397089e-04
3,19,5,4,-3.012527e-04
3,19,6,5,-2.328027e-04
3,19,7,6,-1.794882e-04
3,19,8,7,-1.386489e-04
3,19,9,8,-1.019177e-04
3,19,10,9,-7.580373e-05
3,19,11,10,-5.174484e-05
3,19,12,11,-5.081663e-05
3,19,13,12,-2.017080e-05
3,19,14,13,-1.218768e-04
3,19,15,14,7.241164e-05
3,19,16,15,-2.043430e-04
3,19,17,16,-1.816291e-04
3,19,18,17,-2.567516e-04
3,19,21,20,1.383577e-04
3,19,22,21,4.643160e-04
3,19,23,22,7.608470e-05
3,19,24,23,8.951434e-05
3,19,25,24,8.010244e-05
3,19,26,25,7.455733e-05
3,19,27,26,4.956105e-05
3,19,28,27,5.108556e-05
3,19,29,28,5.598039e-05
3,19,30,29,7.869002e-05
3,19,31,30,1.120621e-04
3,19,0,31,1.520928e-04
4,20,1,0,1.536595e-04
4,20,2,1,1.915625e-04
4,20,3,2,2.303989e-04
4,20,6,5,-5.318088e-04
4,20,7,6,-3.087915e-04
4,20,8,7,-1.922934e-04
4,20,9,8,-1.224458e-04
4,20,10,9,-9.011044e-05
4,20,11,10,-5.625020e-05
4,20,12,11,-5.467079e-05
4,20,13,12,-1.816968e-05
4,20,14,13,-1.181855e-04
4,20,15,14,7.320787e-05
4,20,16,15,-1.842135e-04
4,20,17,16,-1.469044e-04
4,20,18,17,-1.816276e-04
4,20,19,18,-2.182419e-04
4,20,22,21,6.872610e-04
4,20,23,22,8.501641e-05
4,20,24,23,9.295517e-05
4,20,25,24,8.419112e-05
4,20,26,25,6.671235e-05
4,20,27,26,4.395801e-05
4,20,28,27,5.249232e-05
4,20,29,28,5.504645e-05
4,20,30,29,7.539032e-05
4,20,31,30,9.268596e-05
4,20,0,31,1.111215e-04
5,21,1,0,1.224012e-04
5,21,2,1,1.394666e-04
5,21,3,2,1.138023e-04
5,21,4,3,5.694287e-04
5,21,7,6,-4.868508e-04
5,21,8,7,-2.713669e-04
5,21,9,8,-1.509342e-04
5,21,10,9,-9.403815e-05
5,21,11,10,-6.811724e-05
5,21,12,11,-5.035428e-05
5,21,13,12,-4.237130e-06
5,21,14,13,-1.266385e-04
5,21,15,14,6.258797e-05
5,21,16,15,-2.045418e-04
5,21,17,16,-1.495979e-04
5,21,18,17,-1.613315e-04
5,21,19,18,-1.548039e-04
5,21,20,19,-2.629117e-04
5,21,23,22,8.506231e-05
5,21,24,23,9.072628e-05
5,21,25,24,7.413127e-05
5,21,26,25,6.872440e-05
5,21,27,26,4.373137e-05
5,21,28,27,4.625596e-05
5,21,29,28,4.526179e-05
5,21,30,29,6.712670e-05
5,21,31,30,8.255841e-05
5,21,0,31,1.035721e-04
6,22,1,0,9.621825e-05
6,22,2,1,8.783184e-05
6,22,3,2,6.171166e-05
6,22,4,3,2.812589e-04
6,22,5,4,3.578608e-04
6,22,8,7,-4.474165e-04
6,22,9,8,-2.404799e-04
6,22,10,9,-1.306851e-04
6,22,11,10,-6.552729e-05
6,22,12,11,-6.479359e-05
6,22,13,12,-1.549884e-05
6,22,14,13,-1.011288e-04
6,22,15,14,5.604757e-05
6,22,16,15,-1.174862e-04
6,22,17,16,-6.890386e-05
6,22,18,17,-7.175348e-05
6,22,19,18,-5.493253e-05
6,22,20,19,-4.091864e-05
6,22,21,20,-2.680891e-05
6,22,24,23,2.354083e-04
6,22,25,24,1.444565e-04
6,22,26,25,1.001785e-04
6,22,27,26,5.627555e-05
6,22,28,27,5.717678e-05
6,22,29,28,4.996654e-05
6,22,30,29,7.603630e-05
6,22,31,30,9.413136e-05
6,22,0,31,8.926052e-05
7,23,1,0,8.476916e-05
7,23,2,1,6.175039e-05
7,23,3,2,3.625379e-05
7,23,4,3,1.509235e-04
7,23,5,4,1.895956e-04
7,23,6,5,4.081310e-04
7,23,9,8,-4.209067e-04
7,23,10,9,-2.091957e-04
7,23,11,10,-1.005021e-04
