sin+,sin-,v_high,v_low,voltage
0,16,17,1,-1.289992e-03
0,16,18,2,-1.029434e-03
0,16,19,3,-9.228353e-04
0,16,20,4,-7.639863e-04
0,16,21,5,-6.383107e-04
0,16,22,6,-3.253896e-04
0,16,23,7,-1.519862e-04
0,16,24,8,3.368180e-05
0,16,25,9,2.157970e-04
0,16,26,10,3.844849e-04
0,16,27,11,4.858286e-04
0,16,28,12,6.178112e-04
0,16,29,13,7.114158e-04
0,16,30,14,1.046145e-03
0,16,31,15,1.069916e-03
0,16,1,17,1.292745e-03
0,16,2,18,1.030731e-03
0,16,3,19,9.177482e-04
0,16,4,20,7.603939e-04
0,16,5,21,6.366175e-04
0,16,6,22,3.254376e-04
0,16,7,23,1.553195e-04
0,16,8,24,-3.211429e-05
0,16,9,25,-2.170710e-04
0,16,10,26,-3.712501e-04
0,16,11,27,-4.984357e-04
0,16,12,28,-6.160419e-04
0,16,13,29,-7.086686e-04
0,16,14,30,-1.045390e-03
0,16,15,31,-1.069344e-03
1,17,16,0,-1.288419e-03
1,17,18,2,-1.493435e-03
1,17,19,3,-1.310438e-03
1,17,20,4,-1.060968e-03
1,17,21,5,-8.921894e-04
1,17,22,6,-4.815925e-04
1,17,23,7,-3.043040e-04
1,17,24,8,-1.071226e-04
1,17,25,9,6.923961e-05
1,17,26,10,2.202960e-04
1,17,27,11,3.268666e-04
1,17,28,12,4.376110e-04
1,17,29,13,5.153507e-04
1,17,30,14,7.662022e-04
1,17,31,15,7.922412e-04
1,17,0,16,1.290771e-03
1,17,2,18,1.493728e-03
1,17,3,19,1.313413e-03
1,17,4,20,1.063466e-03
1,17,5,21,8.883083e-04
1,17,6,22,4.929499e-04
1,17,7,23,3.011994e-04
1,17,8,24,1.089527e-04
1,17,9,25,-6.896402e-05
1,17,10,26,-2.176537e-04
1,17,11,27,-3.260486e-04
1,17,12,28,-4.393029e-04
1,17,13,29,-5.152354e-04
1,17,14,30,-7.643615e-04
1,17,15,31,-7.896659e-04
2,18,16,0,-1.029714e-03
2,18,17,1,-1.494691e-03
2,18,19,3,-1.904559e-03
2,18,20,4,-1.441402e-03
2,18,21,5,-1.169769e-03
2,18,22,6,-6.548759e-04
2,18,23,7,-4.246215e-04
2,18,24,8,-2.196008e-04
2,18,25,9,-3.506977e-05
2,18,26,10,1.096795e-04
2,18,27,11,2.140433e-04
2,18,28,12,3.187569e-04
2,18,29,13,3.940382e-04
2,18,30,14,6.095156e-04
2,18,31,15,6.348038e-04
2,18,0,16,1.028548e-03
2,18,1,17,1.491234e-03
2,18,3,19,1.898559e-03
2,18,4,20,1.446290e-03
2,18,5,21,1.173791e-03
2,18,6,22,6.483090e-04
2,18,7,23,4.315934e-04
2,18,8,24,2.210151e-04
2,18,9,25,3.311403e-05
2,18,10,26,-1.100286e-04
2,18,11,27,-2.170435e-04
2,18,12,28,-3.240983e-04
2,18,13,29,-3.931458e-04
2,18,14,30,-6.069138e-04
2,18,15,31,-6.358015e-04
3,19,16,0,-9.178669e-04
3,19,17,1,-1.310761e-03
3,19,18,2,-1.913795e-03
3,19,20,4,-1.892179e-03
3,19,21,5,-1.453377e-03
3,19,22,6,-7.592076e-04
3,19,23,7,-5.083042e-04
3,19,24,8,-2.831634e-04
3,19,25,9,-9.225949e-05
3,19,26,10,5.566731e-05
3,19,27,11,1.544207e-04
3,19,28,12,2.633555e-04
3,19,29,13,3.368525e-04
3,19,30,14,5.367125e-04
3,19,31,15,5.690242e-04
3,19,0,16,9.208076e-04
3,19,1,17,1.305121e-03
3,19,2,18,1.909502e-03
3,19,4,20,1.892977e-03
3,19,5,21,1.451121e-03
3,19,6,22,7.640890e-04
3,19,7,23,5.069847e-04
3,19,8,24,2.844276e-04
3,19,9,25,9.449900e-05
3,19,10,26,-4.829379e-05
3,19,11,27,-1.549248e-04
3,19,12,28,-2.646142e-04
3,19,13,29,-3.326202e-04
3,19,14,30,-5.348271e-04
3,19,15,31,-5.671424e-04
4,20,16,0,-7.551078e-04
4,20,17,1,-1.058865e-03
4,20,18,2,-1.434798e-03
4,20,19,3,-1.889347e-03
4,20,21,5,-2.294628e-03
4,20,22,6,-1.077852e-03
4,20,23,7,-6.887052e-04
4,20,24,8,-4.033507e-04
4,20,25,9,-1.915070e-04
4,20,26,10,-3.459008e-05
4,20,27,11,7.403360e-05
4,20,28,12,1.713365e-04
4,20,29,13,2.403110e-04
4,20,30,14,4.313472e-04
4,20,31,15,4.563498e-04
4,20,0,16,7.607101e-04
4,20,1,17,1.061564e-03
4,20,2,18,1.438446e-03
4,20,3,19,1.894094e-03
4,20,5,21,2.289366e-03
4,20,6,22,1.075867e-03
4,20,7,23,6.902730e-04
4,20,8,24,4.070407e-04
4,20,9,25,1.945977e-04
4,20,10,26,3.477442e-05
4,20,11,27,-7.254055e-05
4,20,12,28,-1.729651e-04
4,20,13,29,-2.381806e-04
4,20,14,30,-4.285603e-04
4,20,15,31,-4.510456e-04
5,21,16,0,-6.367690e-04
5,21,17,1,-8.834164e-04
5,21,18,2,-1.172961e-03
5,21,19,3,-1.450099e-03
5,21,20,4,-2.295682e-03
5,21,22,6,-1.471394e-03
5,21,23,7,-9.027401e-04
5,21,24,8,-5.449118e-04
5,21,25,9,-2.945514e-04
5,21,26,10,-1.200695e-04
5,21,27,11,-1.420789e-05
5,21,28,12,9.376642e-05
5,21,29,13,1.553054e-04
5,21,30,14,3.474106e-04
5,21,31,15,3.511816e-04
5,21,0,16,6.400925e-04
5,21,1,17,8.801944e-04
5,21,2,18,1.170189e-03
5,21,3,19,1.453669e-03
5,21,4,20,2.288633e-03
