sin+,sin-,v_high,v_low,voltage
0,1,18,2,2.358700e-04
0,1,19,3,2.104423e-04
0,1,20,4,1.476200e-04
0,1,21,5,1.234516e-04
0,1,22,6,9.844027e-05
0,1,23,7,8.577823e-05
0,1,24,8,6.215996e-05
0,1,25,9,6.444281e-05
0,1,26,10,6.672865e-05
0,1,27,11,7.524208e-05
0,1,28,12,8.405991e-05
0,1,29,13,1.019185e-04
0,1,30,14,1.057293e-04
0,1,31,15,1.696954e-04
0,1,2,18,-2.574103e-04
0,1,3,19,-2.081830e-04
0,1,4,20,-1.574603e-04
0,1,5,21,-1.123382e-04
0,1,6,22,-7.982992e-05
0,1,7,23,-7.726678e-05
0,1,8,24,-6.453192e-05
0,1,9,25,-6.890263e-05
0,1,10,26,-7.474299e-05
0,1,11,27,-6.926470e-05
0,1,12,28,-9.148723e-05
0,1,13,29,-1.019914e-04
0,1,14,30,-1.117395e-04
0,1,15,31,-1.694916e-04
1,2,16,0,-1.287093e-04
1,2,19,3,3.430112e-04
1,2,20,4,1.938902e-04
1,2,21,5,1.250594e-04
1,2,22,6,8.794088e-05
1,2,23,7,6.391746e-05
1,2,24,8,5.220058e-05
1,2,25,9,5.156805e-05
1,2,26,10,4.834721e-05
1,2,27,11,5.024602e-05
1,2,28,12,4.684404e-05
1,2,29,13,5.328560e-05
1,2,30,14,6.460381e-05
1,2,31,15,9.217070e-05
1,2,0,16,1.265971e-04
1,2,3,19,-3.392864e-04
1,2,4,20,-1.936757e-04
1,2,5,21,-1.290337e-04
1,2,6,22,-8.557869e-05
1,2,7,23,-6.117920e-05
1,2,8,24,-5.445741e-05
1,2,9,25,-4.792345e-05
1,2,10,26,-4.844119e-05
1,2,11,27,-4.741541e-05
1,2,12,28,-4.939859e-05
1,2,13,29,-5.633452e-05
1,2,14,30,-5.934719e-05
1,2,15,31,-8.963572e-05
2,3,16,0,-4.684549e-05
2,3,17,1,-7.535348e-05
2,3,20,4,2.306175e-04
2,3,21,5,1.172730e-04
2,3,22,6,6.924797e-05
2,3,23,7,3.841126e-05
2,3,24,8,2.542442e-05
2,3,25,9,2.037515e-05
2,3,26,10,2.031714e-05
2,3,27,11,2.312065e-05
