sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.202106e+01
0,16,3,2,-4.898871e+00
0,16,4,3,-9.783606e+00
0,16,5,4,-8.696186e+00
0,16,6,5,-9.669971e+00
0,16,7,6,-1.051443e+01
0,16,8,7,-9.793029e+00
0,16,9,8,-9.762034e+00
0,16,10,9,-8.762464e+00
0,16,11,10,-6.176994e+00
0,16,12,11,-7.090790e+00
0,16,13,12,-2.566358e+00
0,16,14,13,-2.295477e+01
0,16,15,14,1.521697e+01
0,16,18,17,1.357479e+01
0,16,19,18,7.143661e+00
0,16,20,19,5.974661e+00
0,16,21,20,4.131667e+00
0,16,22,21,2.221198e+01
0,16,23,22,6.013521e+00
0,16,24,23,8.744560e+00
0,16,25,24,9.009232e+00
0,16,26,25,7.162988e+00
0,16,27,26,4.715188e+00
0,16,28,27,6.972675e+00
0,16,29,28,6.102606e+00
0,16,30,29,1.051299e+01
0,16,31,30,1.703899e+01
5,21,1,0,1.266850e+01
5,21,2,1,1.289285e+01
5,21,3,2,1.176538e+01
5,21,4,3,5.782305e+01
5,21,7,6,-4.906799e+01
5,21,8,7,-2.811190e+01
5,21,9,8,-1.715566e+01
5,21,10,9,-1.053980e+01
5,21,11,10,-6.166497e+00
5,21,12,11,-6.233987e+00
5,21,13,12,-1.423320e+00
5,21,14,13,-1.112829e+01
5,21,15,14,8.457425e+00
5,21,16,15,-1.796352e+01
5,21,17,16,-1.340194e+01
5,21,18,17,-1.552084e+01
5,21,19,18,-1.643787e+01
5,21,20,19,-2.694466e+01
5,21,23,22,9.320849e+00
5,21,24,23,9.930337e+00
5,21,25,24,7.498112e+00
5,21,26,25,6.439225e+00
5,21,27,26,4.202770e+00
5,21,28,27,4.887939e+00
5,21,29,28,5.078155e+00
5,21,30,29,7.202187e+00
5,21,31,30,8.330157e+00
5,21,0,31,8.783455e+00
10,26,1,0,6.874035e+00
10,26,2,1,4.643143e+00
10,26,3,2,1.750747e+00
10,26,4,3,6.276818e+00
10,26,5,4,6.423627e+00
10,26,6,5,1.044488e+01
10,26,7,6,1.649779e+01
10,26,8,7,2.684001e+01
10,26,9,8,4.770914e+01
10,26,12,11,-5.865089e+01
10,26,13,12,-1.236901e+01
10,26,14,13,-2.560141e+01
10,26,15,14,1.213851e+01
10,26,16,15,-2.328700e+01
10,26,17,16,-7.874762e+00
10,26,18,17,-6.104072e+00
10,26,19,18,-3.799505e+00
10,26,20,19,-2.883817e+00
10,26,21,20,-2.161007e+00
10,26,22,21,-2.204046e+01
10,26,23,22,-7.768758e+00
10,26,24,23,-1.455799e+01
10,26,25,24,-2.237514e+01
10,26,28,27,1.848408e+01
10,26,29,28,1.214788e+01
10,26,30,29,1.292926e+01
10,26,31,30,1.170470e+01
10,26,0,31,9.841184e+00
15,31,1,0,1.674116e+01
15,31,2,1,8.463884e+00
15,31,3,2,3.056256e+00
15,31,4,3,8.497001e+00
15,31,5,4,7.509450e+00
15,31,6,5,8.859903e+00
15,31,7,6,1.098290e+01
15,31,8,7,1.232410e+01
15,31,9,8,1.369000e+01
15,31,10,9,1.249684e+01
15,31,11,10,1.292075e+01
15,31,12,11,1.561277e+01
15,31,13,12,5.498053e+00
15,31,14,13,-1.383256e+01
15,31,17,16,-1.182610e+01
15,31,18,17,-6.878332e+00
15,31,19,18,-2.001908e+00
15,31,20,19,-3.147124e+00
15,31,21,20,-1.132725e+00
15,31,22,21,-1.531618e+01
15,31,23,22,-6.092363e+00
15,31,24,23,-7.625483e+00
15,31,25,24,-9.326272e+00
15,31,26,25,-8.303097e+00
15,31,27,26,-6.921130e+00
15,31,28,27,-7.697992e+00
15,31,29,28,-7.780381e+00
15,31,30,29,-1.666510e+01
1,17,3,2,-6.307894e+00
1,17,4,3,-1.704582e+01
1,17,5,4,-1.163337e+01
1,17,6,5,-1.247006e+01
1,17,7,6,-1.200052e+01
1,17,8,7,-1.081529e+01
1,17,9,8,-9.613870e+00
1,17,10,9,-8.109445e+00
1,17,11,10,-5.824930e+00
1,17,12,11,-5.358854e+00
1,17,13,12,-2.036829e+00
1,17,14,13,-1.636645e+01
1,17,15,14,1.047417e+01
1,17,16,15,-3.173178e+01
1,17,19,18,1.127102e+01
1,17,20,19,7.604570e+00
1,17,21,20,4.291936e+00
1,17,22,21,2.616240e+01
1,17,23,22,5.864973e+00
1,17,24,23,8.342392e+00
1,17,25,24,7.853571e+00
1,17,26,25,6.777133e+00
1,17,27,26,5.201729e+00
1,17,28,27,4.838353e+00
1,17,29,28,5.641444e+00
1,17,30,29,8.450128e+00
1,17,31,30,1.321436e+01
1,17,0,31,2.024941e+01
6,22,1,0,9.978816e+00
6,22,2,1,9.704603e+00
6,22,3,2,5.977509e+00
6,22,4,3,2.741959e+01
6,22,5,4,3.728524e+01
6,22,8,7,-4.434639e+01
6,22,9,8,-2.286413e+01
6,22,10,9,-1.285635e+01
6,22,11,10,-7.404580e+00
6,22,12,11,-6.320189e+00
6,22,13,12,-1.404215e+00
6,22,14,13,-9.212728e+00
6,22,15,14,6.248896e+00
6,22,16,15,-1.217495e+01
6,22,17,16,-7.593261e+00
6,22,18,17,-6.745989e+00
6,22,19,18,-4.615968e+00
6,22,20,19,-4.456798e+00
6,22,21,20,-3.344257e+00
6,22,24,23,2.307394e+01
6,22,25,24,1.474641e+01
6,22,26,25,9.897238e+00
6,22,27,26,6.035683e+00
6,22,28,27,6.245871e+00
6,22,29,28,6.039082e+00
6,22,30,29,7.966955e+00
6,22,31,30,9.032473e+00
6,22,0,31,1.002116e+01
11,27,1,0,7.591976e+00
11,27,2,1,5.135671e+00
11,27,3,2,2.239042e+00
11,27,4,3,5.564099e+00
11,27,5,4,6.264364e+00
11,27,6,5,8.958283e+00
11,27,7,6,1.301115e+01
11,27,8,7,1.895629e+01
11,27,9,8,2.974503e+01
11,27,10,9,5.223816e+01
11,27,13,12,-2.308329e+01
11,27,14,13,-3.620118e+01
11,27,15,14,1.622825e+01
11,27,16,15,-2.793927e+01
11,27,17,16,-8.989302e+00
11,27,18,17,-6.322606e+00
11,27,19,18,-3.867256e+00
11,27,20,19,-2.976020e+00
11,27,21,20,-2.289719e+00
