sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.285117e+01
0,16,3,2,-4.041209e+00
0,16,4,3,-1.031341e+01
0,16,5,4,-8.931952e+00
0,16,6,5,-1.079144e+01
0,16,7,6,-1.146595e+01
0,16,8,7,-1.121115e+01
0,16,9,8,-9.688784e+00
0,16,10,9,-8.686403e+00
0,16,11,10,-6.311890e+00
0,16,12,11,-6.565417e+00
0,16,13,12,-2.182533e+00
0,16,14,13,-2.282180e+01
0,16,15,14,1.570619e+01
0,16,18,17,1.455312e+01
0,16,19,18,6.750546e+00
0,16,20,19,5.637504e+00
0,16,21,20,2.546232e+00
0,16,22,21,2.138335e+01
0,16,23,22,5.304394e+00
0,16,24,23,7.844897e+00
0,16,25,24,8.244157e+00
0,16,26,25,8.057101e+00
0,16,27,26,5.784291e+00
0,16,28,27,6.482868e+00
0,16,29,28,6.904878e+00
0,16,30,29,1.090324e+01
0,16,31,30,1.712384e+01
5,21,1,0,1.212468e+01
5,21,2,1,1.330512e+01
5,21,3,2,1.193785e+01
5,21,4,3,5.692720e+01
5,21,7,6,-4.856093e+01
5,21,8,7,-2.740216e+01
5,21,9,8,-1.630462e+01
5,21,10,9,-1.008656e+01
5,21,11,10,-6.737151e+00
5,21,12,11,-5.814765e+00
5,21,13,12,-2.742602e+00
5,21,14,13,-1.182668e+01
5,21,15,14,6.368957e+00
5,21,16,15,-1.758737e+01
5,21,17,16,-1.213806e+01
5,21,18,17,-1.522202e+01
5,21,19,18,-1.655577e+01
5,21,20,19,-2.697134e+01
5,21,23,22,8.413727e+00
5,21,24,23,9.635930e+00
5,21,25,24,8.262596e+00
5,21,26,25,6.381525e+00
5,21,27,26,4.745714e+00
5,21,28,27,5.520933e+00
5,21,29,28,4.766397e+00
5,21,30,29,5.308627e+00
5,21,31,30,7.042802e+00
5,21,0,31,1.200514e+01
10,26,1,0,9.347776e+00
10,26,2,1,6.458724e+00
10,26,3,2,3.113011e+00
10,26,4,3,6.530797e+00
10,26,5,4,7.658465e+00
10,26,6,5,9.339537e+00
10,26,7,6,1.491370e+01
10,26,8,7,2.540417e+01
10,26,9,8,4.656611e+01
10,26,12,11,-5.806791e+01
10,26,13,12,-1.316972e+01
10,26,14,13,-2.675719e+01
10,26,15,14,1.351367e+01
10,26,16,15,-2.161690e+01
10,26,17,16,-7.208878e+00
10,26,18,17,-5.310374e+00
10,26,19,18,-3.438594e+00
10,26,20,19,-2.854263e+00
10,26,21,20,-2.590285e+00
10,26,22,21,-2.177067e+01
10,26,23,22,-8.795323e+00
10,26,24,23,-1.493946e+01
10,26,25,24,-2.286443e+01
10,26,28,27,1.804931e+01
10,26,29,28,1.236864e+01
10,26,30,29,1.320346e+01
10,26,31,30,1.217376e+01
10,26,0,31,8.774089e+00
15,31,1,0,1.624304e+01
15,31,2,1,8.611147e+00
15,31,3,2,3.254698e+00
15,31,4,3,8.249742e+00
15,31,5,4,7.695955e+00
15,31,6,5,9.820394e+00
15,31,7,6,1.167218e+01
15,31,8,7,1.328720e+01
15,31,9,8,1.270541e+01
15,31,10,9,1.229159e+01
15,31,11,10,1.130663e+01
15,31,12,11,1.572784e+01
15,31,13,12,7.323881e+00
15,31,14,13,-1.291856e+01
15,31,17,16,-1.111128e+01
15,31,18,17,-6.854352e+00
15,31,19,18,-4.724368e+00
15,31,20,19,-2.526529e+00
15,31,21,20,-1.381572e+00
15,31,22,21,-1.581872e+01
15,31,23,22,-5.020427e+00
15,31,24,23,-7.369841e+00
15,31,25,24,-8.804921e+00
15,31,26,25,-8.158185e+00
15,31,27,26,-6.538099e+00
15,31,28,27,-7.360082e+00
15,31,29,28,-8.381608e+00
15,31,30,29,-1.538502e+01
1,17,3,2,-7.168745e+00
1,17,4,3,-1.698493e+01
1,17,5,4,-1.225373e+01
1,17,6,5,-1.317995e+01
1,17,7,6,-1.279484e+01
1,17,8,7,-1.162294e+01
1,17,9,8,-9.841890e+00
1,17,10,9,-7.898797e+00
1,17,11,10,-5.762800e+00
1,17,12,11,-5.796065e+00
1,17,13,12,-2.181977e+00
1,17,14,13,-1.617951e+01
1,17,15,14,1.053499e+01
1,17,16,15,-3.023351e+01
1,17,19,18,1.154342e+01
1,17,20,19,8.119109e+00
1,17,21,20,4.881311e+00
1,17,22,21,2.625754e+01
1,17,23,22,6.224139e+00
1,17,24,23,7.637603e+00
1,17,25,24,7.916378e+00
1,17,26,25,7.368044e+00
1,17,27,26,5.177811e+00
1,17,28,27,5.276651e+00
1,17,29,28,5.736463e+00
1,17,30,29,8.881468e+00
1,17,31,30,1.308329e+01
1,17,0,31,2.019555e+01
6,22,1,0,9.548561e+00
6,22,2,1,8.926436e+00
6,22,3,2,6.271758e+00
6,22,4,3,2.806741e+01
6,22,5,4,3.662912e+01
6,22,8,7,-4.441799e+01
6,22,9,8,-2.390197e+01
6,22,10,9,-1.339850e+01
6,22,11,10,-7.193691e+00
6,22,12,11,-6.204862e+00
6,22,13,12,-1.904174e+00
6,22,14,13,-9.816243e+00
6,22,15,14,5.207186e+00
6,22,16,15,-1.245878e+01
6,22,17,16,-7.292585e+00
6,22,18,17,-6.846114e+00
6,22,19,18,-5.065877e+00
6,22,20,19,-4.079349e+00
6,22,21,20,-3.175808e+00
6,22,24,23,2.309903e+01
6,22,25,24,1.402802e+01
6,22,26,25,9.829381e+00
6,22,27,26,6.264315e+00
6,22,28,27,5.922802e+00
6,22,29,28,5.660340e+00
6,22,30,29,8.077789e+00
6,22,31,30,8.933673e+00
6,22,0,31,9.665800e+00
11,27,1,0,7.732527e+00
11,27,2,1,4.605938e+00
11,27,3,2,1.818526e+00
11,27,4,3,5.796872e+00
11,27,5,4,5.914337e+00
11,27,6,5,8.904481e+00
