sin+,sin-,v_high,v_low,voltage
0,16,17,1,-1.297318e+02
0,16,18,2,-1.027440e+02
0,16,19,3,-9.181850e+01
0,16,20,4,-7.616041e+01
0,16,21,5,-6.454990e+01
0,16,22,6,-3.208481e+01
0,16,23,7,-1.535925e+01
0,16,24,8,3.358682e+00
0,16,25,9,2.203692e+01
0,16,26,10,3.724972e+01
0,16,27,11,4.957475e+01
0,16,28,12,6.232520e+01
0,16,29,13,7.107714e+01
0,16,30,14,1.050370e+02
0,16,31,15,1.070460e+02
0,16,1,17,1.296764e+02
0,16,2,18,1.030482e+02
0,16,3,19,9.187474e+01
0,16,4,20,7.616272e+01
0,16,5,21,6.379401e+01
0,16,6,22,3.224813e+01
0,16,7,23,1.502365e+01
0,16,8,24,-2.959192e+00
0,16,9,25,-2.133260e+01
0,16,10,26,-3.723608e+01
0,16,11,27,-4.923086e+01
0,16,12,28,-6.247477e+01
0,16,13,29,-7.126577e+01
0,16,14,30,-1.047162e+02
0,16,15,31,-1.069112e+02
5,21,16,0,-6.390185e+01
5,21,17,1,-8.870453e+01
5,21,18,2,-1.171113e+02
5,21,19,3,-1.449444e+02
5,21,20,4,-2.292528e+02
5,21,22,6,-1.475917e+02
5,21,23,7,-8.981329e+01
5,21,24,8,-5.439843e+01
5,21,25,9,-2.938792e+01
5,21,26,10,-1.143776e+01
5,21,27,11,-8.467229e-01
5,21,28,12,9.740226e+00
5,21,29,13,1.640981e+01
5,21,30,14,3.489483e+01
5,21,31,15,3.577058e+01
5,21,0,16,6.368700e+01
5,21,1,17,8.859257e+01
5,21,2,18,1.167159e+02
5,21,3,19,1.446050e+02
5,21,4,20,2.291621e+02
5,21,6,22,1.470434e+02
5,21,7,23,9.055944e+01
5,21,8,24,5.398644e+01
5,21,9,25,2.975813e+01
5,21,10,26,1.194179e+01
5,21,11,27,1.259668e+00
5,21,12,28,-9.706680e+00
5,21,13,29,-1.620194e+01
5,21,14,30,-3.482048e+01
5,21,15,31,-3.568319e+01
10,26,16,0,3.759100e+01
10,26,17,1,2.221886e+01
10,26,18,2,1.112958e+01
10,26,19,3,5.606923e+00
10,26,20,4,-3.616981e+00
10,26,21,5,-1.212731e+01
10,26,22,6,-4.352784e+01
10,26,23,7,-6.883077e+01
10,26,24,8,-1.104186e+02
10,26,25,9,-1.803823e+02
10,26,27,11,-2.075885e+02
10,26,28,12,-1.316219e+02
10,26,29,13,-1.078807e+02
10,26,30,14,-6.886609e+01
10,26,31,15,-6.925116e+01
10,26,0,16,-3.760793e+01
10,26,1,17,-2.176960e+01
10,26,2,18,-1.097473e+01
10,26,3,19,-6.070278e+00
10,26,4,20,3.693421e+00
10,26,5,21,1.203035e+01
10,26,6,22,4.453409e+01
10,26,7,23,6.939115e+01
10,26,8,24,1.105529e+02
10,26,9,25,1.805165e+02
10,26,11,27,2.078479e+02
10,26,12,28,1.317263e+02
10,26,13,29,1.073611e+02
10,26,14,30,6.891012e+01
10,26,15,31,6.942511e+01
15,31,16,0,1.070242e+02
15,31,17,1,7.885746e+01
15,31,18,2,6.423149e+01
15,31,19,3,5.697670e+01
15,31,20,4,4.549983e+01
15,31,21,5,3.494849e+01
15,31,22,6,9.615549e+00
15,31,23,7,-6.105475e+00
15,31,24,8,-2.706532e+01
15,31,25,9,-4.878553e+01
15,31,26,10,-6.818619e+01
15,31,27,11,-8.780998e+01
15,31,28,12,-1.103588e+02
15,31,29,13,-1.276696e+02
15,31,30,14,-1.300735e+02
15,31,0,16,-1.053105e+02
15,31,1,17,-7.849835e+01
15,31,2,18,-6.402056e+01
15,31,3,19,-5.602987e+01
15,31,4,20,-4.398894e+01
15,31,5,21,-3.528297e+01
15,31,6,22,-1.011358e+01
15,31,7,23,6.879076e+00
15,31,8,24,2.735131e+01
15,31,9,25,4.874145e+01
15,31,10,26,6.941914e+01
15,31,11,27,8.830021e+01
15,31,12,28,1.110985e+02
15,31,13,29,1.266545e+02
15,31,14,30,1.278002e+02
1,17,16,0,-1.300074e+02
1,17,18,2,-1.491161e+02
1,17,19,3,-1.312398e+02
1,17,20,4,-1.070126e+02
1,17,21,5,-8.893685e+01
1,17,22,6,-4.847633e+01
1,17,23,7,-3.013359e+01
1,17,24,8,-1.061501e+01
1,17,25,9,6.578284e+00
1,17,26,10,2.190611e+01
1,17,27,11,3.304929e+01
1,17,28,12,4.293957e+01
1,17,29,13,5.126921e+01
1,17,30,14,7.622340e+01
1,17,31,15,7.943691e+01
1,17,0,16,1.293309e+02
1,17,2,18,1.495878e+02
1,17,3,19,1.306010e+02
1,17,4,20,1.068647e+02
1,17,5,21,8.837766e+01
1,17,6,22,4.903513e+01
1,17,7,23,2.965725e+01
1,17,8,24,1.136722e+01
1,17,9,25,-6.562072e+00
1,17,10,26,-2.213117e+01
1,17,11,27,-3.212946e+01
1,17,12,28,-4.380959e+01
1,17,13,29,-5.184445e+01
1,17,14,30,-7.694295e+01
1,17,15,31,-7.916694e+01
6,22,16,0,-3.186723e+01
6,22,17,1,-4.964438e+01
6,22,18,2,-6.488120e+01
6,22,19,3,-7.630466e+01
6,22,20,4,-1.078878e+02
6,22,21,5,-1.478514e+02
6,22,23,7,-1.735141e+02
6,22,24,8,-1.056483e+02
6,22,25,9,-6.736061e+01
6,22,26,10,-4.482151e+01
6,22,27,11,-3.130928e+01
6,22,28,12,-1.816145e+01
6,22,29,13,-1.071605e+01
6,22,30,14,5.442691e+00
6,22,31,15,9.616094e+00
6,22,0,16,3.181571e+01
6,22,1,17,4.873689e+01
6,22,2,18,6.501770e+01
6,22,3,19,7.611322e+01
6,22,4,20,1.078854e+02
6,22,5,21,1.476638e+02
6,22,7,23,1.735369e+02
6,22,8,24,1.054529e+02
6,22,9,25,6.706075e+01
6,22,10,26,4.468042e+01
6,22,11,27,3.089432e+01
6,22,12,28,1.871820e+01
6,22,13,29,1.097670e+01
6,22,14,30,-6.139257e+00
6,22,15,31,-1.006409e+01
11,27,16,0,4.913664e+01
11,27,17,1,3.227026e+01
11,27,18,2,2.116927e+01
11,27,19,3,1.606384e+01
11,27,20,4,6.558367e+00
11,27,21,5,-1.079239e+00
11,27,22,6,-3.126309e+01
11,27,23,7,-5.184935e+01
11,27,24,8,-8.280259e+01
11,27,25,9,-1.303790e+02
11,27,26,10,-2.086188e+02
11,27,28,12,-1.800749e+02
11,27,29,13,-1.388145e+02
11,27,30,14,-8.639845e+01
11,27,31,15,-8.758493e+01
11,27,0,16,-4.785999e+01
11,27,1,17,-3.339398e+01
11,27,2,18,-2.008249e+01
11,27,3,19,-1.537559e+01
11,27,4,20,-6.257255e+00
11,27,5,21,1.580779e+00
11,27,6,22,3.047846e+01
11,27,7,23,5.099296e+01
11,27,8,24,8.396877e+01
11,27,9,25,1.318328e+02
11,27,10,26,2.081586e+02
11,27,12,28,1.805026e+02
11,27,13,29,1.379259e+02
11,27,14,30,8.564295e+01
11,27,15,31,8.720650e+01
2,18,16,0,-1.030998e+02
2,18,17,1,-1.500027e+02
2,18,19,3,-1.899965e+02
2,18,20,4,-1.441428e+02
2,18,21,5,-1.173595e+02
2,18,22,6,-6.480290e+01
2,18,23,7,-4.253482e+01
2,18,24,8,-2.178010e+01
2,18,25,9,-3.554669e+00
2,18,26,10,1.101680e+01
2,18,27,11,2.152083e+01
2,18,28,12,3.255326e+01
2,18,29,13,3.926406e+01
2,18,30,14,6.080603e+01
2,18,31,15,6.348774e+01
2,18,0,16,1.023951e+02
2,18,1,17,1.493616e+02
2,18,3,19,1.906826e+02
2,18,4,20,1.438148e+02
2,18,5,21,1.174365e+02
2,18,6,22,6.471527e+01
2,18,7,23,4.264336e+01
2,18,8,24,2.182611e+01
2,18,9,25,3.573278e+00
2,18,10,26,-1.130528e+01
2,18,11,27,-2.131647e+01
2,18,12,28,-3.202599e+01
2,18,13,29,-3.920853e+01
2,18,14,30,-6.071872e+01
2,18,15,31,-6.353204e+01
7,23,16,0,-1.537272e+01
7,23,17,1,-2.992628e+01
7,23,18,2,-4.304158e+01
7,23,19,3,-5.078072e+01
7,23,20,4,-6.931085e+01
7,23,21,5,-9.078336e+01
7,23,22,6,-1.735409e+02
7,23,24,8,-1.622257e+02
7,23,25,9,-1.014641e+02
7,23,26,10,-6.984921e+01
7,23,27,11,-5.106672e+01
7,23,28,12,-3.664689e+01
7,23,29,13,-2.906295e+01
7,23,30,14,-1.008812e+01
7,23,31,15,-5.560039e+00
7,23,0,16,1.598000e+01
7,23,1,17,2.979244e+01
7,23,2,18,4.177145e+01
7,23,3,19,5.077554e+01
7,23,4,20,6.936756e+01
7,23,5,21,9.055040e+01
7,23,6,22,1.728562e+02
7,23,8,24,1.617493e+02
7,23,9,25,1.018738e+02
7,23,10,26,6.961555e+01
7,23,11,27,5.162016e+01
7,23,12,28,3.652825e+01
7,23,13,29,2.858952e+01
7,23,14,30,9.745738e+00
7,23,15,31,6.509041e+00
12,28,16,0,6.140888e+01
12,28,17,1,4.409154e+01
12,28,18,2,3.332749e+01
12,28,19,3,2.641682e+01
12,28,20,4,1.780394e+01
12,28,21,5,9.562958e+00
12,28,22,6,-1.885467e+01
12,28,23,7,-3.684974e+01
12,28,24,8,-6.063423e+01
12,28,25,9,-9.257924e+01
12,28,26,10,-1.318680e+02
12,28,27,11,-1.811968e+02
12,28,29,13,-1.875513e+02
12,28,30,14,-1.058763e+02
12,28,31,15,-1.110317e+02
12,28,0,16,-6.199941e+01
12,28,1,17,-4.380009e+01
12,28,2,18,-3.210359e+01
12,28,3,19,-2.623004e+01
12,28,4,20,-1.732684e+01
12,28,5,21,-9.601183e+00
12,28,6,22,1.877523e+01
12,28,7,23,3.624716e+01
12,28,8,24,6.084397e+01
12,28,9,25,9.233496e+01
12,28,10,26,1.316211e+02
12,28,11,27,1.806076e+02
12,28,13,29,1.873759e+02
12,28,14,30,1.058482e+02
12,28,15,31,1.111626e+02
8,24,7,25,1.634992e+02
8,24,7,23,1.621585e+02
8,24,9,25,1.654803e+02
8,24,6,25,1.212491e+02
8,24,10,25,1.264264e+02
8,24,9,23,1.642252e+02
8,24,7,26,1.489323e+02
8,24,6,23,1.193241e+02
8,24,10,23,1.244907e+02
8,24,11,25,1.077342e+02
8,24,7,27,1.392268e+02
8,24,11,23,1.061310e+02
8,24,7,28,1.316770e+02
8,24,7,22,1.481804e+02
8,24,12,25,9.217216e+01
8,24,9,26,1.504105e+02
8,24,13,25,8.888124e+01
8,24,12,23,9.067246e+01
