sin+,sin-,v_high,v_low,voltage
0,31,17,1,-2.052592e+01
0,31,18,2,-1.553503e+01
0,31,19,3,-1.531149e+01
0,31,20,4,-1.346066e+01
0,31,21,5,-1.108746e+01
0,31,22,6,-9.820165e+00
0,31,23,7,-8.404370e+00
0,31,24,8,-7.405323e+00
0,31,25,9,-8.256589e+00
0,31,26,10,-1.030254e+01
0,31,27,11,-1.241539e+01
0,31,28,12,-1.093296e+01
0,31,29,13,-1.361791e+01
0,31,30,14,-1.972570e+01
0,31,1,17,2.123797e+01
0,31,2,18,1.671803e+01
0,31,3,19,1.518430e+01
0,31,4,20,1.255718e+01
0,31,5,21,1.010150e+01
0,31,6,22,9.276116e+00
0,31,7,23,8.572338e+00
0,31,8,24,8.240317e+00
0,31,9,25,8.829341e+00
0,31,10,26,9.540901e+00
0,31,11,27,1.060803e+01
0,31,12,28,1.229991e+01
0,31,13,29,1.497631e+01
0,31,14,30,1.858234e+01
24,25,16,0,8.047200e+00
24,25,17,1,8.135140e+00
24,25,18,2,8.472871e+00
24,25,19,3,8.863995e+00
24,25,20,4,8.481394e+00
24,25,21,5,7.805874e+00
24,25,22,6,1.412566e+01
24,25,23,7,1.827439e+01
24,25,26,10,-2.189288e+01
24,25,27,11,-1.799339e+01
24,25,28,12,-1.517619e+01
24,25,29,13,-1.250339e+01
24,25,30,14,-1.093154e+01
24,25,31,15,-8.812659e+00
24,25,0,16,-8.394214e+00
24,25,1,17,-7.660202e+00
24,25,2,18,-8.395653e+00
24,25,3,19,-7.796512e+00
24,25,4,20,-8.441239e+00
24,25,5,21,-8.362294e+00
24,25,6,22,-1.455276e+01
24,25,7,23,-1.818640e+01
24,25,10,26,2.223351e+01
24,25,11,27,1.832480e+01
24,25,12,28,1.460235e+01
24,25,13,29,1.266207e+01
24,25,14,30,1.050965e+01
24,25,15,31,7.967379e+00
19,20,16,0,4.768160e+00
19,20,17,1,8.734399e+00
19,20,18,2,1.504284e+01
19,20,21,5,-2.717385e+01
19,20,22,6,-4.100004e+00
19,20,23,7,-2.866712e+00
19,20,24,8,-2.609195e+00
19,20,25,9,-2.692641e+00
19,20,26,10,-2.610135e+00
19,20,27,11,-2.933733e+00
19,20,28,12,-2.437822e+00
19,20,29,13,-2.796246e+00
19,20,30,14,-4.406062e+00
19,20,31,15,-3.558429e+00
19,20,0,16,-4.642170e+00
19,20,1,17,-8.206107e+00
19,20,2,18,-1.516816e+01
19,20,5,21,2.705850e+01
19,20,6,22,3.990982e+00
19,20,7,23,3.731309e+00
19,20,8,24,3.022057e+00
19,20,9,25,2.551112e+00
19,20,10,26,3.746610e+00
19,20,11,27,3.539289e+00
19,20,12,28,3.165370e+00
19,20,13,29,2.775333e+00
19,20,14,30,4.140878e+00
19,20,15,31,3.324173e+00
9,10,16,0,-7.884356e+00
9,10,17,1,-7.776922e+00
9,10,18,2,-7.722133e+00
9,10,19,3,-7.624393e+00
9,10,20,4,-9.008060e+00
9,10,21,5,-1.043149e+01
9,10,22,6,-1.323764e+01
9,10,23,7,-2.159719e+01
9,10,24,8,-3.997108e+01
9,10,27,11,5.186709e+01
9,10,28,12,2.225846e+01
9,10,29,13,1.673238e+01
9,10,30,14,9.241953e+00
9,10,31,15,1.314752e+01
9,10,0,16,9.282278e+00
9,10,1,17,7.580191e+00
9,10,2,18,8.372997e+00
9,10,3,19,7.522915e+00
9,10,4,20,8.929895e+00
9,10,5,21,1.067871e+01
9,10,6,22,1.314846e+01
9,10,7,23,2.140240e+01
9,10,8,24,4.017634e+01
9,10,11,27,-5.227383e+01
9,10,12,28,-2.223511e+01
9,10,13,29,-1.695424e+01
9,10,14,30,-9.210205e+00
9,10,15,31,-1.308765e+01
4,5,16,0,-8.856972e+00
4,5,17,1,-1.182880e+01
4,5,18,2,-1.918268e+01
4,5,19,3,-3.006248e+01
4,5,22,6,3.623590e+01
4,5,23,7,1.887694e+01
4,5,24,8,1.083761e+01
4,5,25,9,8.242133e+00
4,5,26,10,6.947380e+00
4,5,27,11,7.149080e+00
4,5,28,12,4.249260e+00
4,5,29,13,4.920967e+00
4,5,30,14,5.577541e+00
4,5,31,15,9.278567e+00
4,5,0,16,9.769917e+00
4,5,1,17,1.210643e+01
4,5,2,18,1.808588e+01
4,5,3,19,2.930776e+01
4,5,6,22,-3.728426e+01
4,5,7,23,-1.922542e+01
4,5,8,24,-1.230240e+01
4,5,9,25,-8.567401e+00
4,5,10,26,-7.634801e+00
4,5,11,27,-6.015402e+00
4,5,12,28,-4.929888e+00
4,5,13,29,-7.595915e+00
4,5,14,30,-5.289177e+00
4,5,15,31,-6.491829e+00
14,15,16,0,1.455072e+01
14,15,17,1,1.091100e+01
14,15,18,2,7.741972e+00
14,15,19,3,7.816030e+00
14,15,20,4,8.068226e+00
14,15,21,5,7.900019e+00
14,15,22,6,6.020417e+00
14,15,23,7,5.604645e+00
14,15,24,8,7.810604e+00
14,15,25,9,8.821721e+00
14,15,26,10,1.245159e+01
14,15,27,11,1.650726e+01
14,15,28,12,2.290712e+01
14,15,29,13,2.557163e+01
14,15,0,16,-1.537727e+01
14,15,1,17,-1.065864e+01
14,15,2,18,-8.837392e+00
14,15,3,19,-7.836014e+00
14,15,4,20,-6.901434e+00
14,15,5,21,-7.417837e+00
14,15,6,22,-6.050318e+00
14,15,7,23,-6.346071e+00
14,15,8,24,-7.546799e+00
14,15,9,25,-9.527344e+00
14,15,10,26,-1.281858e+01
14,15,11,27,-1.622646e+01
14,15,12,28,-2.237633e+01
14,15,13,29,-2.511741e+01
29,30,16,0,1.044660e+01
