sin+,sin-,v_high,v_low,voltage
0,31,17,1,-2.042462e+01
0,31,18,2,-1.612194e+01
0,31,19,3,-1.467967e+01
0,31,20,4,-1.189354e+01
0,31,21,5,-9.954092e+00
0,31,22,6,-9.167815e+00
0,31,23,7,-8.647287e+00
0,31,24,8,-8.392390e+00
0,31,25,9,-9.020763e+00
0,31,26,10,-9.644154e+00
0,31,27,11,-1.061745e+01
0,31,28,12,-1.275755e+01
0,31,29,13,-1.376953e+01
0,31,30,14,-1.826908e+01
0,31,1,17,2.106484e+01
0,31,2,18,1.590442e+01
0,31,3,19,1.538358e+01
0,31,4,20,1.283127e+01
0,31,5,21,1.052688e+01
0,31,6,22,9.871935e+00
0,31,7,23,8.531228e+00
0,31,8,24,8.890083e+00
0,31,9,25,8.323845e+00
0,31,10,26,1.019021e+01
0,31,11,27,1.048732e+01
0,31,12,28,1.144317e+01
0,31,13,29,1.357085e+01
0,31,14,30,1.907517e+01
24,25,16,0,8.393925e+00
24,25,17,1,7.332946e+00
24,25,18,2,8.362010e+00
24,25,19,3,7.830714e+00
24,25,20,4,9.291930e+00
24,25,21,5,7.939614e+00
24,25,22,6,1.468224e+01
24,25,23,7,1.865961e+01
24,25,26,10,-2.239740e+01
24,25,27,11,-1.741964e+01
24,25,28,12,-1.466722e+01
24,25,29,13,-1.187332e+01
24,25,30,14,-1.066172e+01
24,25,31,15,-7.735213e+00
24,25,0,16,-8.244881e+00
24,25,1,17,-8.074404e+00
24,25,2,18,-8.639219e+00
24,25,3,19,-8.837624e+00
24,25,4,20,-8.785034e+00
24,25,5,21,-7.609083e+00
24,25,6,22,-1.397579e+01
24,25,7,23,-1.795294e+01
24,25,10,26,2.250690e+01
24,25,11,27,1.782497e+01
24,25,12,28,1.462038e+01
24,25,13,29,1.237464e+01
24,25,14,30,1.077169e+01
24,25,15,31,8.579727e+00
19,20,16,0,5.135175e+00
19,20,17,1,8.260102e+00
19,20,18,2,1.507503e+01
19,20,21,5,-2.680725e+01
19,20,22,6,-4.066281e+00
19,20,23,7,-3.331180e+00
19,20,24,8,-2.929301e+00
19,20,25,9,-2.944431e+00
19,20,26,10,-2.796651e+00
19,20,27,11,-2.537018e+00
19,20,28,12,-2.976215e+00
19,20,29,13,-2.921873e+00
19,20,30,14,-3.846984e+00
19,20,31,15,-3.144316e+00
19,20,0,16,-5.390940e+00
19,20,1,17,-8.288799e+00
19,20,2,18,-1.615748e+01
19,20,5,21,2.667860e+01
19,20,6,22,3.920736e+00
19,20,7,23,3.394648e+00
19,20,8,24,3.187052e+00
19,20,9,25,2.958404e+00
19,20,10,26,2.662446e+00
19,20,11,27,2.968434e+00
19,20,12,28,3.266827e+00
19,20,13,29,3.010485e+00
19,20,14,30,4.064326e+00
19,20,15,31,3.126428e+00
9,10,16,0,-8.299683e+00
9,10,17,1,-7.957534e+00
9,10,18,2,-7.598559e+00
9,10,19,3,-7.477678e+00
9,10,20,4,-8.871214e+00
