sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.164071e-04
0,16,3,2,-4.755503e-05
0,16,4,3,-1.025605e-04
0,16,5,4,-8.722825e-05
0,16,6,5,-1.048920e-04
0,16,7,6,-1.050104e-04
0,16,8,7,-1.016421e-04
0,16,9,8,-1.036333e-04
0,16,10,9,-8.431688e-05
0,16,11,10,-6.593634e-05
0,16,12,11,-7.709856e-05
0,16,13,12,-2.644288e-05
0,16,14,13,-7.740816e-05
0,16,15,14,-1.585069e-04
0,16,18,17,1.625923e-04
0,16,19,18,7.138379e-05
0,16,20,19,7.411169e-05
0,16,21,20,5.006993e-05
0,16,22,21,7.809677e-05
0,16,23,22,8.275502e-05
0,16,24,23,7.471831e-05
0,16,25,24,9.018837e-05
0,16,26,25,5.700491e-05
0,16,27,26,5.282012e-05
0,16,28,27,7.787270e-05
0,16,29,28,5.521409e-05
0,16,30,29,1.110036e-04
0,16,31,30,1.807748e-04
1,17,3,2,-6.821100e-05
1,17,4,3,-1.595664e-04
1,17,5,4,-1.215500e-04
1,17,6,5,-1.292044e-04
1,17,7,6,-1.215180e-04
1,17,8,7,-1.242979e-04
1,17,9,8,-1.058954e-04
1,17,10,9,-8.115088e-05
1,17,11,10,-5.858131e-05
1,17,12,11,-6.454060e-05
1,17,13,12,-1.867083e-05
1,17,14,13,-5.817849e-05
1,17,15,14,-1.065632e-04
1,17,16,15,-1.836394e-04
1,17,19,18,1.302211e-04
1,17,20,19,1.107137e-04
1,17,21,20,8.753376e-05
1,17,22,21,9.786323e-05
1,17,23,22,9.970833e-05
1,17,24,23,9.378195e-05
1,17,25,24,8.637610e-05
1,17,26,25,7.449074e-05
1,17,27,26,6.040555e-05
1,17,28,27,4.997422e-05
1,17,29,28,5.795091e-05
1,17,30,29,8.252995e-05
1,17,31,30,1.225566e-04
1,17,0,31,1.923960e-04
2,18,1,0,2.590684e-04
2,18,4,3,-2.976474e-04
2,18,5,4,-1.775170e-04
2,18,6,5,-1.733789e-04
2,18,7,6,-1.599593e-04
2,18,8,7,-1.274453e-04
2,18,9,8,-1.099697e-04
2,18,10,9,-7.848933e-05
2,18,11,10,-5.885139e-05
2,18,12,11,-6.011702e-05
2,18,13,12,-1.561681e-05
2,18,14,13,-5.736736e-05
2,18,15,14,-8.640642e-05
2,18,16,15,-1.181155e-04
2,18,17,16,-1.971174e-04
2,18,20,19,1.862387e-04
2,18,21,20,1.365261e-04
2,18,22,21,1.148305e-04
2,18,23,22,1.178012e-04
2,18,24,23,1.166089e-04
2,18,25,24,7.698376e-05
2,18,26,25,8.166110e-05
2,18,27,26,3.549326e-05
2,18,28,27,6.286429e-05
2,18,29,28,6.784324e-05
2,18,30,29,7.659837e-05
2,18,31,30,9.918655e-05
2,18,0,31,1.685523e-04
3,19,1,0,2.341093e-04
3,19,2,1,3.485180e-04
3,19,5,4,-2.858601e-04
3,19,6,5,-2.348580e-04
3,19,7,6,-1.597331e-04
3,19,8,7,-1.246550e-04
3,19,9,8,-1.147934e-04
3,19,10,9,-8.640340e-05
3,19,11,10,-5.420436e-05
3,19,12,11,-5.962236e-05
3,19,13,12,-1.193570e-05
3,19,14,13,-4.978999e-05
3,19,15,14,-6.812863e-05
3,19,16,15,-1.132128e-04
3,19,17,16,-1.617864e-04
3,19,18,17,-2.350227e-04
3,19,21,20,1.965552e-04
3,19,22,21,1.721724e-04
3,19,23,22,1.365047e-04
3,19,24,23,1.253822e-04
3,19,25,24,9.732023e-05
3,19,26,25,7.952256e-05
3,19,27,26,4.671809e-05
3,19,28,27,5.034015e-05
3,19,29,28,5.112592e-05
3,19,30,29,7.773760e-05
3,19,31,30,1.123160e-04
3,19,0,31,1.570382e-04
4,20,1,0,1.594105e-04
4,20,2,1,1.986288e-04
4,20,3,2,2.401382e-04
4,20,6,5,-5.293708e-04
4,20,7,6,-3.067444e-04
4,20,8,7,-2.016419e-04
4,20,9,8,-1.308925e-04
4,20,10,9,-8.779906e-05
4,20,11,10,-5.042702e-05
4,20,12,11,-5.573520e-05
4,20,13,12,-1.301367e-05
4,20,14,13,-3.762167e-05
4,20,15,14,-6.177621e-05
4,20,16,15,-8.650536e-05
4,20,17,16,-1.298102e-04
4,20,18,17,-1.556802e-04
4,20,19,18,-1.890988e-04
4,20,22,21,2.516679e-04
4,20,23,22,1.707220e-04
4,20,24,23,1.276837e-04
4,20,25,24,9.702594e-05
4,20,26,25,7.140660e-05
4,20,27,26,5.983203e-05
4,20,28,27,2.998217e-05
4,20,29,28,4.426442e-05
4,20,30,29,7.260245e-05
4,20,31,30,9.335478e-05
4,20,0,31,1.235545e-04
5,21,1,0,1.269620e-04
5,21,2,1,1.320675e-04
5,21,3,2,1.080546e-04
5,21,4,3,5.759597e-04
5,21,7,6,-4.803402e-04
5,21,8,7,-2.636182e-04
5,21,9,8,-1.582908e-04
5,21,10,9,-1.035563e-04
5,21,11,10,-7.625987e-05
5,21,12,11,-5.840679e-05
5,21,13,12,-1.567105e-05
5,21,14,13,-4.328148e-05
5,21,15,14,-6.822593e-05
5,21,16,15,-8.952319e-05
5,21,17,16,-1.032597e-04
5,21,18,17,-1.160007e-04
5,21,19,18,-1.220526e-04
5,21,20,19,-1.909600e-04
5,21,23,22,2.151794e-04
5,21,24,23,1.574779e-04
5,21,25,24,1.032857e-04
5,21,26,25,7.365940e-05
5,21,27,26,3.673755e-05
5,21,28,27,5.584493e-05
5,21,29,28,4.308752e-05
5,21,30,29,6.422195e-05
5,21,31,30,8.790880e-05
5,21,0,31,1.177295e-04
6,22,1,0,1.073042e-04
6,22,2,1,7.863742e-05
6,22,3,2,5.494852e-05
6,22,4,3,2.599043e-04
6,22,5,4,3.418634e-04
6,22,8,7,-4.548768e-04
6,22,9,8,-2.265356e-04
6,22,10,9,-1.443644e-04
6,22,11,10,-6.979981e-05
6,22,12,11,-8.085326e-05
6,22,13,12,-2.439406e-05
6,22,14,13,-5.480693e-05
6,22,15,14,-7.489687e-05
6,22,16,15,-7.259297e-05
6,22,17,16,-7.458396e-05
6,22,18,17,-9.851326e-05
6,22,19,18,-9.449645e-05
6,22,20,19,-9.060848e-05
6,22,21,20,-1.126554e-04
6,22,24,23,1.956410e-04
6,22,25,24,1.278670e-04
6,22,26,25,7.897206e-05
6,22,27,26,6.586879e-05
6,22,28,27,2.909589e-05
6,22,29,28,5.278821e-05
6,22,30,29,8.901276e-05
6,22,31,30,7.534755e-05
6,22,0,31,8.539905e-05
7,23,1,0,7.476282e-05
7,23,2,1,4.465868e-05
7,23,3,2,3.455826e-05
7,23,4,3,1.408834e-04
7,23,5,4,2.062300e-04
7,23,6,5,4.023733e-04
7,23,9,8,-4.179791e-04
7,23,10,9,-2.209128e-04
7,23,11,10,-1.120526e-04
7,23,12,11,-9.758143e-05
7,23,13,12,-1.569116e-05
7,23,14,13,-3.965645e-05
7,23,15,14,-7.679132e-05
7,23,16,15,-7.682274e-05
7,23,17,16,-6.821725e-05
7,23,18,17,-7.257373e-05
7,23,19,18,-5.952832e-05
7,23,20,19,-7.625302e-05
7,23,21,20,-7.766544e-05
7,23,22,21,-1.478234e-04
7,23,25,24,1.705988e-04
7,23,26,25,1.040662e-04
7,23,27,26,5.766843e-05
7,23,28,27,5.430191e-05
7,23,29,28,5.235296e-05
7,23,30,29,6.645465e-05
7,23,31,30,7.562151e-05
7,23,0,31,8.563384e-05
8,24,1,0,6.721475e-05
8,24,2,1,4.781485e-05
8,24,3,2,2.276500e-05
8,24,4,3,9.189251e-05
8,24,5,4,1.075065e-04
8,24,6,5,2.091533e-04
8,24,7,6,4.183452e-04
8,24,10,9,-3.921759e-04
8,24,11,10,-1.843373e-04
8,24,12,11,-1.494993e-04
8,24,13,12,-3.387863e-05
8,24,14,13,-5.714312e-05
8,24,15,14,-7.703996e-05
8,24,16,15,-6.588795e-05
8,24,17,16,-5.883611e-05
8,24,18,17,-5.111715e-05
8,24,19,18,-3.934029e-05
8,24,20,19,-6.762049e-05
8,24,21,20,-5.963839e-05
8,24,22,21,-1.058346e-04
8,24,23,22,-1.713896e-04
8,24,26,25,1.401300e-04
8,24,27,26,7.207361e-05
8,24,28,27,5.233824e-05
8,24,29,28,7.024492e-05
8,24,30,29,6.409138e-05
8,24,31,30,9.365398e-05
8,24,0,31,7.356839e-05
9,25,1,0,5.841884e-05
9,25,2,1,3.927831e-05
9,25,3,2,3.027348e-05
9,25,4,3,6.416505e-05
9,25,5,4,7.476680e-05
9,25,6,5,1.356324e-04
9,25,7,6,2.467190e-04
9,25,8,7,4.518931e-04
9,25,11,10,-3.611596e-04
9,25,12,11,-2.732432e-04
9,25,13,12,-6.637640e-05
9,25,14,13,-8.856486e-05
9,25,15,14,-9.448975e-05
9,25,16,15,-8.398482e-05
9,25,17,16,-7.998873e-05
9,25,18,17,-6.186072e-05
9,25,19,18,-5.101726e-05
9,25,20,19,-5.030778e-05
9,25,21,20,-4.506852e-05
9,25,22,21,-8.372972e-05
9,25,23,22,-1.294135e-04
9,25,24,23,-1.958652e-04
9,25,27,26,1.253953e-04
9,25,28,27,1.006384e-04
9,25,29,28,8.005033e-05
9,25,30,29,8.903247e-05
9,25,31,30,8.235207e-05
9,25,0,31,8.028375e-05
10,26,1,0,6.403075e-05
10,26,2,1,4.580984e-05
10,26,3,2,1.486140e-05
10,26,4,3,5.865489e-05
10,26,5,4,6.504161e-05
10,26,6,5,1.061410e-04
10,26,7,6,1.663768e-04
10,26,8,7,2.670318e-04
10,26,9,8,4.798438e-04
10,26,12,11,-5.719609e-04
10,26,13,12,-1.170303e-04
10,26,14,13,-1.315037e-04
10,26,15,14,-1.217864e-04
10,26,16,15,-9.761675e-05
10,26,17,16,-8.658428e-05
10,26,18,17,-6.344981e-05
10,26,19,18,-4.557571e-05
10,26,20,19,-5.008734e-05
10,26,21,20,-4.772816e-05
10,26,22,21,-7.461035e-05
10,26,23,22,-1.079232e-04
10,26,24,23,-1.474374e-04
10,26,25,24,-2.197432e-04
10,26,28,27,1.808090e-04
10,26,29,28,1.204654e-04
10,26,30,29,1.176562e-04
10,26,31,30,1.002229e-04
10,26,0,31,8.406564e-05
11,27,1,0,6.796586e-05
11,27,2,1,4.743577e-05
11,27,3,2,1.672815e-05
11,27,4,3,5.096433e-05
11,27,5,4,6.707637e-05
11,27,6,5,8.643673e-05
11,27,7,6,1.324101e-04
11,27,8,7,1.962147e-04
11,27,9,8,3.041122e-04
11,27,10,9,5.259095e-04
11,27,13,12,-2.300475e-04
11,27,14,13,-1.984294e-04
11,27,15,14,-1.532802e-04
11,27,16,15,-1.227454e-04
11,27,17,16,-9.021329e-05
11,27,18,17,-6.453786e-05
11,27,19,18,-4.806028e-05
11,27,20,19,-5.206647e-05
11,27,21,20,-4.520422e-05
11,27,22,21,-6.149757e-05
11,27,23,22,-1.060379e-04
11,27,24,23,-1.255270e-04
11,27,25,24,-1.721703e-04
11,27,26,25,-2.483879e-04
11,27,29,28,1.864056e-04
11,27,30,29,1.557437e-04
11,27,31,30,1.249494e-04
11,27,0,31,9.307775e-05
12,28,1,0,7.471268e-05
12,28,2,1,4.973957e-05
12,28,3,2,1.265711e-05
12,28,4,3,5.074821e-05
12,28,5,4,5.222733e-05
12,28,6,5,8.503230e-05
12,28,7,6,1.053068e-04
12,28,8,7,1.381787e-04
12,28,9,8,1.778028e-04
12,28,10,9,2.234912e-04
12,28,11,10,3.007646e-04
12,28,14,13,-3.464803e-04
12,28,15,14,-2.192940e-04
12,28,16,15,-1.467824e-04
12,28,17,16,-1.091556e-04
12,28,18,17,-7.864964e-05
12,28,19,18,-5.528294e-05
12,28,20,19,-4.987139e-05
12,28,21,20,-4.666006e-05
12,28,22,21,-7.026359e-05
12,28,23,22,-9.225232e-05
12,28,24,23,-1.147078e-04
12,28,25,24,-1.412520e-04
12,28,26,25,-1.697288e-04
12,28,27,26,-2.007594e-04
12,28,30,29,2.297201e-04
12,28,31,30,1.611652e-04
12,28,0,31,1.054901e-04
13,29,1,0,8.183782e-05
13,29,2,1,5.578696e-05
13,29,3,2,1.850053e-05
13,29,4,3,5.807759e-05
13,29,5,4,4.537739e-05
13,29,6,5,8.075070e-05
13,29,7,6,1.011357e-04
13,29,8,7,1.263587e-04
13,29,9,8,1.485740e-04
13,29,10,9,1.747880e-04
13,29,11,10,1.854501e-04
13,29,12,11,3.084227e-04
13,29,15,14,-2.441401e-04
13,29,16,15,-1.666956e-04
13,29,17,16,-1.070630e-04
13,29,18,17,-8.366818e-05
13,29,19,18,-4.629353e-05
13,29,20,19,-5.232998e-05
13,29,21,20,-5.185977e-05
13,29,22,21,-7.071099e-05
13,29,23,22,-8.015699e-05
13,29,24,23,-1.012584e-04
13,29,25,24,-1.154946e-04
13,29,26,25,-1.304128e-04
13,29,27,26,-1.192059e-04
13,29,28,27,-1.955256e-04
13,29,31,30,2.082874e-04
13,29,0,31,1.243555e-04
14,30,1,0,1.059577e-04
14,30,2,1,5.396686e-05
14,30,3,2,2.399197e-05
14,30,4,3,6.218628e-05
14,30,5,4,6.132839e-05
14,30,6,5,8.677648e-05
14,30,7,6,1.072884e-04
14,30,8,7,1.098191e-04
14,30,9,8,1.298461e-04
14,30,10,9,1.344182e-04
14,30,11,10,1.221178e-04
14,30,12,11,1.646304e-04
14,30,13,12,7.387785e-05
14,30,16,15,-2.039179e-04
14,30,17,16,-1.218917e-04
14,30,18,17,-8.091445e-05
14,30,19,18,-5.946644e-05
14,30,20,19,-4.566843e-05
14,30,21,20,-5.018300e-05
14,30,22,21,-6.401190e-05
14,30,23,22,-8.260005e-05
14,30,24,23,-9.234036e-05
14,30,25,24,-1.021532e-04
14,30,26,25,-9.610294e-05
14,30,27,26,-8.533669e-05
14,30,28,27,-1.119487e-04
14,30,29,28,-1.311254e-04
