sin+,sin-,v high,v low,mean V,std, mean R,std
0,32,2,1,-1.066379e-06,1.108374e-09,-1.066379e-02,1.108374e-05
0,32,3,2,-6.973085e-07,5.182325e-10,-6.973085e-03,5.182325e-06
0,32,4,3,-5.236941e-07,3.634801e-09,-5.236941e-03,3.634801e-05
0,32,5,4,-4.190821e-07,4.230237e-10,-4.190821e-03,4.230237e-06
0,32,6,5,-3.500815e-07,4.858048e-10,-3.500815e-03,4.858048e-06
0,32,7,6,-3.024191e-07,1.468072e-09,-3.024191e-03,1.468072e-05
0,32,8,7,-2.786043e-07,1.463505e-09,-2.786043e-03,1.463505e-05
0,32,9,8,-2.216627e-07,1.911401e-09,-2.216627e-03,1.911401e-05
0,32,10,9,-1.935865e-07,2.485502e-09,-1.935865e-03,2.485502e-05
0,32,11,10,-1.592868e-07,2.722652e-09,-1.592868e-03,2.722652e-05
0,32,12,11,-1.391270e-07,1.136336e-09,-1.391270e-03,1.136336e-05
0,32,13,12,-1.137088e-07,2.545314e-09,-1.137088e-03,2.545314e-05
0,32,14,13,-1.333030e-07,1.790997e-09,-1.333030e-03,1.790997e-05
0,32,15,14,-5.303586e-08,1.908531e-09,-5.303586e-04,1.908531e-05
0,32,16,15,-5.865092e-08,9.288283e-09,-5.865092e-04,9.288283e-05
0,32,17,16,-5.497242e-08,3.242633e-09,-5.497242e-04,3.242633e-05
0,32,18,17,-8.830707e-08,2.085104e-09,-8.830707e-04,2.085104e-05
0,32,19,18,-1.093601e-07,2.683759e-09,-1.093601e-03,2.683759e-05
0,32,20,19,-1.424043e-07,1.147881e-09,-1.424043e-03,1.147881e-05
0,32,21,20,-1.699804e-07,2.292692e-09,-1.699804e-03,2.292692e-05
0,32,22,21,-1.974776e-07,7.296031e-10,-1.974776e-03,7.296031e-06
0,32,23,22,-2.308335e-07,8.045533e-10,-2.308335e-03,8.045533e-06
0,32,24,23,-2.593142e-07,1.539569e-09,-2.593142e-03,1.539569e-05
0,32,25,24,-2.929215e-07,6.743726e-10,-2.929215e-03,6.743726e-06
0,32,26,25,-3.495134e-07,3.059457e-09,-3.495134e-03,3.059457e-05
0,32,27,26,-4.124116e-07,9.376613e-10,-4.124116e-03,9.376613e-06
0,32,28,27,-5.057001e-07,2.540661e-09,-5.057001e-03,2.540661e-05
0,32,29,28,-6.452770e-07,2.528935e-09,-6.452770e-03,2.528935e-05
0,32,30,29,-8.219858e-07,1.281087e-09,-8.219858e-03,1.281087e-05
0,32,31,30,-1.337109e-06,2.590630e-09,-1.337109e-02,2.590630e-05
0,32,34,33,1.213961e-06,1.233546e-09,1.213961e-02,1.233546e-05
0,32,35,34,6.869030e-07,3.265792e-10,6.869030e-03,3.265792e-06
0,32,36,35,4.788825e-07,1.522255e-09,4.788825e-03,1.522255e-05
0,32,37,36,3.734841e-07,5.663967e-10,3.734841e-03,5.663967e-06
0,32,38,37,2.967475e-07,4.806885e-10,2.967475e-03,4.806885e-06
0,32,39,38,2.548364e-07,1.033949e-09,2.548364e-03,1.033949e-05
0,32,40,39,1.884637e-07,2.160039e-09,1.884637e-03,2.160039e-05
0,32,41,40,1.668889e-07,6.678562e-10,1.668889e-03,6.678562e-06
0,32,42,41,1.363736e-07,1.147296e-09,1.363736e-03,1.147296e-05
0,32,43,42,1.109317e-07,1.794652e-09,1.109317e-03,1.794652e-05
0,32,44,43,8.123431e-08,1.201884e-09,8.123431e-04,1.201884e-05
0,32,45,44,5.758137e-08,4.048567e-10,5.758137e-04,4.048567e-06
0,32,46,45,3.607308e-08,6.875596e-10,3.607308e-04,6.875596e-06
0,32,47,46,2.710145e-12,1.077926e-09,2.710145e-08,1.077926e-05
0,32,48,47,-1.636346e-08,1.820615e-09,-1.636346e-04,1.820615e-05
0,32,49,48,3.045453e-09,1.641198e-09,3.045453e-05,1.641198e-05
0,32,50,49,3.324606e-08,1.825291e-09,3.324606e-04,1.825291e-05
0,32,51,50,6.010084e-08,1.085936e-09,6.010084e-04,1.085936e-05
0,32,52,51,7.852659e-08,1.099135e-09,7.852659e-04,1.099135e-05
0,32,53,52,1.111685e-07,1.068935e-09,1.111685e-03,1.068935e-05
0,32,54,53,1.392203e-07,4.850000e-10,1.392203e-03,4.850000e-06
0,32,55,54,1.670113e-07,9.421924e-10,1.670113e-03,9.421924e-06
0,32,56,55,1.829009e-07,8.053939e-10,1.829009e-03,8.053939e-06
0,32,57,56,2.475458e-07,2.823762e-10,2.475458e-03,2.823762e-06
0,32,58,57,2.889102e-07,1.119242e-09,2.889102e-03,1.119242e-05
0,32,59,58,3.499088e-07,1.113774e-09,3.499088e-03,1.113774e-05
0,32,60,59,4.270455e-07,1.182303e-09,4.270455e-03,1.182303e-05
0,32,61,60,5.635043e-07,3.263608e-10,5.635043e-03,3.263608e-06
0,32,62,61,7.830753e-07,5.419222e-10,7.830753e-03,5.419222e-06
0,32,63,62,1.193905e-06,4.804987e-10,1.193905e-02,4.804987e-06
25,57,1,0,4.105316e-08,1.415245e-09,4.105316e-04,1.415245e-05
25,57,2,1,7.041802e-08,3.064449e-09,7.041802e-04,3.064449e-05
25,57,3,2,1.106103e-07,1.135389e-09,1.106103e-03,1.135389e-05
25,57,4,3,1.210150e-07,2.183481e-09,1.210150e-03,2.183481e-05
25,57,5,4,1.308201e-07,6.034310e-10,1.308201e-03,6.034310e-06
25,57,6,5,1.427365e-07,1.859486e-09,1.427365e-03,1.859486e-05
25,57,7,6,1.402262e-07,1.147972e-09,1.402262e-03,1.147972e-05
25,57,8,7,1.479960e-07,2.208496e-09,1.479960e-03,2.208496e-05
25,57,9,8,1.392482e-07,1.130566e-09,1.392482e-03,1.130566e-05
25,57,10,9,1.147568e-07,5.795072e-09,1.147568e-03,5.795072e-05
25,57,11,10,1.035014e-07,7.323743e-09,1.035014e-03,7.323743e-05
25,57,12,11,8.738376e-08,1.467746e-09,8.738376e-04,1.467746e-05
25,57,13,12,6.494272e-08,4.097529e-09,6.494272e-04,4.097529e-05
25,57,14,13,3.180109e-08,4.318867e-09,3.180109e-04,4.318867e-05
25,57,15,14,3.111832e-08,3.988729e-09,3.111832e-04,3.988729e-05
25,57,16,15,-1.574637e-08,2.638008e-09,-1.574637e-04,2.638008e-05
25,57,17,16,1.896764e-08,1.324920e-09,1.896764e-04,1.324920e-05
25,57,18,17,4.544096e-08,1.321736e-09,4.544096e-04,1.321736e-05
25,57,19,18,8.373174e-08,7.916565e-10,8.373174e-04,7.916565e-06
25,57,20,19,1.254229e-07,3.915890e-10,1.254229e-03,3.915890e-06
25,57,21,20,1.860897e-07,1.278008e-09,1.860897e-03,1.278008e-05
25,57,22,21,2.672426e-07,2.176626e-09,2.672426e-03,2.176626e-05
25,57,23,22,4.526139e-07,5.519071e-10,4.526139e-03,5.519071e-06
25,57,24,23,9.933976e-07,2.027980e-09,9.933976e-03,2.027980e-05
25,57,27,26,-1.006471e-06,7.699861e-10,-1.006471e-02,7.699861e-06
25,57,28,27,-4.379723e-07,2.878686e-09,-4.379723e-03,2.878686e-05
25,57,29,28,-2.573131e-07,6.016777e-09,-2.573131e-03,6.016777e-05
25,57,30,29,-1.559830e-07,1.433827e-09,-1.559830e-03,1.433827e-05
25,57,31,30,-1.089992e-07,1.271019e-09,-1.089992e-03,1.271019e-05
25,57,32,31,-6.528919e-08,3.679371e-09,-6.528919e-04,3.679371e-05
25,57,33,32,-1.094868e-07,1.358873e-09,-1.094868e-03,1.358873e-05
25,57,34,33,-1.109228e-07,3.862108e-10,-1.109228e-03,3.862108e-06
25,57,35,34,-1.635415e-07,1.230777e-09,-1.635415e-03,1.230777e-05
25,57,36,35,-1.797998e-07,1.097624e-09,-1.797998e-03,1.097624e-05
25,57,37,36,-1.943959e-07,1.864340e-09,-1.943959e-03,1.864340e-05
25,57,38,37,-1.990999e-07,9.381895e-10,-1.990999e-03,9.381895e-06
25,57,39,38,-2.095362e-07,3.665754e-10,-2.095362e-03,3.665754e-06
25,57,40,39,-2.004450e-07,2.876092e-09,-2.004450e-03,2.876092e-05
25,57,41,40,-1.856612e-07,2.542988e-10,-1.856612e-03,2.542988e-06
25,57,42,41,-1.779922e-07,7.496801e-10,-1.779922e-03,7.496801e-06
25,57,43,42,-1.572527e-07,2.945829e-09,-1.572527e-03,2.945829e-05
25,57,44,43,-1.443245e-07,1.049171e-09,-1.443245e-03,1.049171e-05
25,57,45,44,-1.164596e-07,6.023757e-10,-1.164596e-03,6.023757e-06
25,57,46,45,-9.594434e-08,1.215567e-09,-9.594434e-04,1.215567e-05
25,57,47,46,-7.322769e-08,4.392085e-10,-7.322769e-04,4.392085e-06
25,57,48,47,-5.645320e-08,6.172865e-10,-5.645320e-04,6.172865e-06
25,57,49,48,-7.171537e-08,7.421539e-10,-7.171537e-04,7.421539e-06
25,57,50,49,-9.726258e-08,5.636140e-10,-9.726258e-04,5.636140e-06
25,57,51,50,-1.413269e-07,1.037244e-09,-1.413269e-03,1.037244e-05
25,57,52,51,-1.818614e-07,8.060654e-10,-1.818614e-03,8.060654e-06
25,57,53,52,-2.402237e-07,1.211913e-09,-2.402237e-03,1.211913e-05
25,57,54,53,-3.378712e-07,9.196656e-10,-3.378712e-03,9.196656e-06
25,57,55,54,-5.065614e-07,1.730526e-09,-5.065614e-03,1.730526e-05
25,57,56,55,-1.007106e-06,2.113979e-10,-1.007106e-02,2.113979e-06
25,57,59,58,8.119679e-07,2.046944e-09,8.119679e-03,2.046944e-05
25,57,60,59,3.561729e-07,7.570483e-10,3.561729e-03,7.570483e-06
25,57,61,60,1.949623e-07,6.484838e-10,1.949623e-03,6.484838e-06
25,57,62,61,1.082417e-07,1.089123e-09,1.082417e-03,1.089123e-05
25,57,63,62,3.923630e-08,5.571850e-10,3.923630e-04,5.571850e-06
25,57,0,63,-1.695549e-08,2.632828e-08,-1.695549e-04,2.632828e-04
20,52,1,0,8.220439e-09,2.212392e-09,8.220439e-05,2.212392e-05
20,52,2,1,3.963342e-08,5.413943e-09,3.963342e-04,5.413943e-05
20,52,3,2,5.392106e-08,3.064982e-09,5.392106e-04,3.064982e-05
20,52,4,3,6.968336e-08,2.654282e-09,6.968336e-04,2.654282e-05
20,52,5,4,1.074140e-07,1.331344e-09,1.074140e-03,1.331344e-05
20,52,6,5,1.263974e-07,2.359537e-09,1.263974e-03,2.359537e-05
20,52,7,6,1.361969e-07,1.023598e-09,1.361969e-03,1.023598e-05
20,52,8,7,1.477089e-07,4.889483e-09,1.477089e-03,4.889483e-05
20,52,9,8,1.790651e-07,5.609673e-10,1.790651e-03,5.609673e-06
20,52,10,9,1.861159e-07,2.135017e-09,1.861159e-03,2.135017e-05
20,52,11,10,1.860727e-07,2.248931e-09,1.860727e-03,2.248931e-05
20,52,12,11,1.890605e-07,2.018991e-09,1.890605e-03,2.018991e-05
20,52,13,12,1.703335e-07,3.428705e-09,1.703335e-03,3.428705e-05
20,52,14,13,1.186853e-07,4.142100e-09,1.186853e-03,4.142100e-05
20,52,15,14,9.825967e-08,4.596626e-09,9.825967e-04,4.596626e-05
20,52,16,15,2.563766e-08,6.428957e-09,2.563766e-04,6.428957e-05
20,52,17,16,1.167750e-07,2.129054e-09,1.167750e-03,2.129054e-05
20,52,18,17,3.142778e-07,6.990231e-09,3.142778e-03,6.990231e-05
20,52,19,18,8.598455e-07,1.187629e-09,8.598455e-03,1.187629e-05
20,52,22,21,-1.016051e-06,8.035734e-09,-1.016051e-02,8.035734e-05
20,52,23,22,-5.618583e-07,1.214681e-09,-5.618583e-03,1.214681e-05
20,52,24,23,-3.802628e-07,1.757969e-09,-3.802628e-03,1.757969e-05
20,52,25,24,-2.849665e-07,1.622375e-09,-2.849665e-03,1.622375e-05
20,52,26,25,-2.409519e-07,1.602048e-09,-2.409519e-03,1.602048e-05
20,52,27,26,-1.853673e-07,8.537931e-10,-1.853673e-03,8.537931e-06
20,52,28,27,-1.612198e-07,1.210187e-09,-1.612198e-03,1.210187e-05
20,52,29,28,-1.220268e-07,8.749814e-09,-1.220268e-03,8.749814e-05
20,52,30,29,-9.648538e-08,3.649839e-09,-9.648538e-04,3.649839e-05
20,52,31,30,-5.827854e-08,1.971265e-09,-5.827854e-04,1.971265e-05
20,52,32,31,-3.437187e-08,9.171902e-09,-3.437187e-04,9.171902e-05
20,52,33,32,-7.936586e-08,5.755099e-10,-7.936586e-04,5.755099e-06
20,52,34,33,-6.880058e-08,2.254657e-09,-6.880058e-04,2.254657e-05
20,52,35,34,-1.156851e-07,2.222155e-09,-1.156851e-03,2.222155e-05
20,52,36,35,-1.406459e-07,1.314499e-09,-1.406459e-03,1.314499e-05
20,52,37,36,-1.517413e-07,1.146646e-09,-1.517413e-03,1.146646e-05
20,52,38,37,-1.725360e-07,2.146970e-09,-1.725360e-03,2.146970e-05
20,52,39,38,-2.025274e-07,1.022337e-09,-2.025274e-03,1.022337e-05
20,52,40,39,-2.087952e-07,3.958839e-09,-2.087952e-03,3.958839e-05
20,52,41,40,-2.326123e-07,1.444879e-09,-2.326123e-03,1.444879e-05
20,52,42,41,-2.385091e-07,1.492734e-09,-2.385091e-03,1.492734e-05
20,52,43,42,-2.354350e-07,1.916781e-09,-2.354350e-03,1.916781e-05
20,52,44,43,-2.475211e-07,1.040149e-09,-2.475211e-03,1.040149e-05
20,52,45,44,-2.382906e-07,7.957570e-10,-2.382906e-03,7.957570e-06
20,52,46,45,-2.028718e-07,1.420923e-09,-2.028718e-03,1.420923e-05
20,52,47,46,-1.425525e-07,1.182128e-09,-1.425525e-03,1.182128e-05
20,52,48,47,-1.055810e-07,1.451968e-09,-1.055810e-03,1.451968e-05
20,52,49,48,-1.731549e-07,2.477305e-09,-1.731549e-03,2.477305e-05
20,52,50,49,-3.323434e-07,7.649456e-10,-3.323434e-03,7.649456e-06
20,52,51,50,-9.144824e-07,1.106361e-09,-9.144824e-03,1.106361e-05
20,52,54,53,9.937638e-07,1.108712e-09,9.937638e-03,1.108712e-05
20,52,55,54,4.988076e-07,7.883298e-10,4.988076e-03,7.883298e-06
20,52,56,55,3.148111e-07,2.886153e-09,3.148111e-03,2.886153e-05
20,52,57,56,2.514183e-07,8.662106e-10,2.514183e-03,8.662106e-06
20,52,58,57,1.747060e-07,8.035317e-10,1.747060e-03,8.035317e-06
20,52,59,58,1.388536e-07,6.871637e-10,1.388536e-03,6.871637e-06
20,52,60,59,9.283367e-08,2.955666e-10,9.283367e-04,2.955666e-06
20,52,61,60,6.098163e-08,2.390059e-09,6.098163e-04,2.390059e-05
20,52,62,61,3.061575e-08,6.674212e-10,3.061575e-04,6.674212e-06
20,52,63,62,3.608901e-09,3.118018e-09,3.608901e-05,3.118018e-05
20,52,0,63,-5.872149e-08,2.794493e-08,-5.872149e-04,2.794493e-04
30,62,1,0,5.220946e-07,5.039617e-10,5.220946e-03,5.039617e-06
30,62,2,1,5.214057e-07,2.589489e-09,5.214057e-03,2.589489e-05
30,62,3,2,4.546306e-07,4.097911e-09,4.546306e-03,4.097911e-05
30,62,4,3,3.893870e-07,4.074995e-09,3.893870e-03,4.074995e-05
30,62,5,4,3.188622e-07,2.346377e-10,3.188622e-03,2.346377e-06
30,62,6,5,2.657486e-07,8.972456e-10,2.657486e-03,8.972456e-06
30,62,7,6,2.214574e-07,6.158480e-10,2.214574e-03,6.158480e-06
30,62,8,7,1.889893e-07,4.183783e-09,1.889893e-03,4.183783e-05
30,62,9,8,1.702538e-07,1.520670e-09,1.702538e-03,1.520670e-05
30,62,10,9,1.466089e-07,2.975585e-09,1.466089e-03,2.975585e-05
30,62,11,10,9.486180e-08,2.939725e-09,9.486180e-04,2.939725e-05
30,62,12,11,8.256380e-08,8.884703e-10,8.256380e-04,8.884703e-06
30,62,13,12,6.116813e-08,9.371759e-10,6.116813e-04,9.371759e-06
30,62,14,13,1.920663e-08,2.160856e-09,1.920663e-04,2.160856e-05
30,62,15,14,1.419464e-08,4.182709e-09,1.419464e-04,4.182709e-05
30,62,16,15,-8.382511e-10,2.760918e-09,-8.382511e-06,2.760918e-05
30,62,17,16,1.094722e-08,1.038101e-09,1.094722e-04,1.038101e-05
30,62,18,17,2.751213e-08,3.045028e-09,2.751213e-04,3.045028e-05
30,62,19,18,5.335303e-08,1.545570e-09,5.335303e-04,1.545570e-05
30,62,20,19,8.786750e-08,4.652220e-10,8.786750e-04,4.652220e-06
30,62,21,20,1.094388e-07,1.661370e-09,1.094388e-03,1.661370e-05
30,62,22,21,1.372710e-07,1.438105e-09,1.372710e-03,1.438105e-05
30,62,23,22,1.650419e-07,9.443483e-10,1.650419e-03,9.443483e-06
30,62,24,23,2.182118e-07,4.122649e-10,2.182118e-03,4.122649e-06
30,62,25,24,2.684604e-07,1.029783e-09,2.684604e-03,1.029783e-05
30,62,26,25,3.155445e-07,4.981222e-10,3.155445e-03,4.981222e-06
30,62,27,26,4.452253e-07,6.953376e-10,4.452253e-03,6.953376e-06
30,62,28,27,6.207743e-07,1.033211e-09,6.207743e-03,1.033211e-05
30,62,29,28,1.336982e-06,1.268091e-09,1.336982e-02,1.268091e-05
30,62,32,31,-6.413614e-07,5.479307e-09,-6.413614e-03,5.479307e-05
30,62,33,32,-5.606521e-07,8.113081e-10,-5.606521e-03,8.113081e-06
30,62,34,33,-5.960411e-07,1.040602e-09,-5.960411e-03,1.040602e-05
30,62,35,34,-5.188159e-07,9.385191e-10,-5.188159e-03,9.385191e-06
30,62,36,35,-4.421698e-07,1.183782e-09,-4.421698e-03,1.183782e-05
30,62,37,36,-3.772504e-07,8.133416e-10,-3.772504e-03,8.133416e-06
30,62,38,37,-3.221854e-07,1.360772e-09,-3.221854e-03,1.360772e-05
30,62,39,38,-2.999576e-07,1.258396e-09,-2.999576e-03,1.258396e-05
30,62,40,39,-2.305581e-07,4.808022e-09,-2.305581e-03,4.808022e-05
30,62,41,40,-2.205394e-07,2.996095e-10,-2.205394e-03,2.996095e-06
30,62,42,41,-1.950887e-07,1.532650e-09,-1.950887e-03,1.532650e-05
30,62,43,42,-1.594692e-07,2.143839e-09,-1.594692e-03,2.143839e-05
30,62,44,43,-1.426185e-07,9.623986e-10,-1.426185e-03,9.623986e-06
30,62,45,44,-1.139052e-07,8.902272e-10,-1.139052e-03,8.902272e-06
30,62,46,45,-8.659793e-08,1.136401e-09,-8.659793e-04,1.136401e-05
30,62,47,46,-6.497119e-08,2.080346e-09,-6.497119e-04,2.080346e-05
30,62,48,47,-5.496776e-08,1.352147e-09,-5.496776e-04,1.352147e-05
30,62,49,48,-6.433482e-08,1.361729e-09,-6.433482e-04,1.361729e-05
30,62,50,49,-8.421253e-08,3.924121e-10,-8.421253e-04,3.924121e-06
30,62,51,50,-1.137512e-07,2.445253e-09,-1.137512e-03,2.445253e-05
30,62,52,51,-1.408855e-07,1.379794e-09,-1.408855e-03,1.379794e-05
30,62,53,52,-1.669844e-07,1.330294e-09,-1.669844e-03,1.330294e-05
30,62,54,53,-2.012213e-07,1.491798e-09,-2.012213e-03,1.491798e-05
30,62,55,54,-2.289781e-07,4.357351e-10,-2.289781e-03,4.357351e-06
30,62,56,55,-2.804759e-07,1.066674e-09,-2.804759e-03,1.066674e-05
30,62,57,56,-3.060118e-07,1.005843e-09,-3.060118e-03,1.005843e-05
30,62,58,57,-3.895472e-07,6.059130e-10,-3.895472e-03,6.059130e-06
30,62,59,58,-4.695135e-07,1.038188e-09,-4.695135e-03,1.038188e-05
30,62,60,59,-6.557759e-07,1.341211e-09,-6.557759e-03,1.341211e-05
30,62,61,60,-1.221861e-06,6.977571e-10,-1.221861e-02,6.977571e-06
30,62,0,63,6.829171e-07,1.040377e-08,6.829171e-03,1.040377e-04
10,42,1,0,1.302717e-08,4.997565e-10,1.302717e-04,4.997565e-06
10,42,2,1,3.328848e-08,3.237030e-09,3.328848e-04,3.237030e-05
10,42,3,2,7.266427e-08,1.142933e-09,7.266427e-04,1.142933e-05
10,42,4,3,1.137760e-07,4.371414e-09,1.137760e-03,4.371414e-05
10,42,5,4,1.491352e-07,3.070414e-10,1.491352e-03,3.070414e-06
10,42,6,5,2.070979e-07,8.822314e-10,2.070979e-03,8.822314e-06
10,42,7,6,2.877512e-07,3.329491e-10,2.877512e-03,3.329491e-06
10,42,8,7,4.961812e-07,2.832676e-09,4.961812e-03,2.832676e-05
10,42,9,8,8.848371e-07,7.977797e-10,8.848371e-03,7.977797e-06
10,42,12,11,-7.604334e-07,1.099635e-09,-7.604334e-03,1.099635e-05
10,42,13,12,-3.738662e-07,2.499288e-09,-3.738662e-03,2.499288e-05
